N, N, MST_Cost, MST_Runtime, RunType, C173_MFC_Cost, C173_MFC_Completion_Cost, C173_MFC_Runtime, C173_Gamma, C173_Cluster_Size_Mu, C173_Cluster_Size_Sigma, C173_Sub_Clustering_Runtime, C173_Completion_Edges_Runtime, C173_Completion_Runtime, C173_Clustering_Runtime, C173_Find_Reps_Runtime, C173_Pick_Reps_Runtime, C173_Rep_Count, C173_Reps_Cost, C173_Clustering_Dist_Calls, C173_Sub_Clustering_Dist_Calls, C173_MFC_Dist_Calls, C173_Dist_Calls, C86_MFC_Cost, C86_MFC_Completion_Cost, C86_MFC_Runtime, C86_Gamma, C86_Cluster_Size_Mu, C86_Cluster_Size_Sigma, C86_Sub_Clustering_Runtime, C86_Completion_Edges_Runtime, C86_Completion_Runtime, C86_Clustering_Runtime, C86_Find_Reps_Runtime, C86_Pick_Reps_Runtime, C86_Rep_Count, C86_Reps_Cost, C86_Clustering_Dist_Calls, C86_Sub_Clustering_Dist_Calls, C86_MFC_Dist_Calls, C86_Dist_Calls, C43_MFC_Cost, C43_MFC_Completion_Cost, C43_MFC_Runtime, C43_Gamma, C43_Cluster_Size_Mu, C43_Cluster_Size_Sigma, C43_Sub_Clustering_Runtime, C43_Completion_Edges_Runtime, C43_Completion_Runtime, C43_Clustering_Runtime, C43_Find_Reps_Runtime, C43_Pick_Reps_Runtime, C43_Rep_Count, C43_Reps_Cost, C43_Clustering_Dist_Calls, C43_Sub_Clustering_Dist_Calls, C43_MFC_Dist_Calls, C43_Dist_Calls
30000, 30000, 0, 0, dp_1.000000, 37784, 1350, 87381.508149, inf, 173.41040462427745, 2150.4981407881714, 83414.232078, 1393.327906, 0.827102, 2568.846561, 4.263501, 0.011001, 173, 0, 10350001, 402617711, 5469157, 418436869, 37403, 722, 84680.791883, inf, 348.83720930232556, 3109.2280985556567, 82550.972291, 700.325201, 0.136456, 1425.453773, 3.898952, 0.00521, 86, 0, 5130001, 420911431, 2663811, 428705243, 36749, 347, 85826.771695, inf, 697.6744186046511, 4435.832166603672, 84731.923171, 344.291952, 0.034655, 746.793906, 3.724434, 0.003577, 43, 0, 2550001, 433497167, 1313101, 437360269
30000, 30000, 0, 0, dp_11.000000, 37507, 1073, 104160.08501499999, inf, 173.41040462427745, 2150.4981407881714, 83414.232078, 10292.070152, 0.855554, 2568.846561, 7718.467628, 165.613042, 1903, 6, 10350001, 402617711, 98956163, 511923875, 37243, 562, 94962.41153499999, inf, 348.83720930232556, 3109.2280985556567, 82550.972291, 6665.802136, 0.155812, 1425.453773, 4300.941326, 19.086197, 946, 17, 5130001, 420911431, 54989929, 481031361, 36666, 264, 91455.348878, inf, 697.6744186046511, 4435.832166603672, 84731.923171, 3456.377142, 0.040486, 746.793906, 2517.811858, 2.402315, 473, 35, 2550001, 433497167, 27285853, 463333021
30000, 30000, 0, 0, dp_13.000000, 37507, 1073, 108004.09528, inf, 173.41040462427745, 2150.4981407881714, 83414.232078, 12715.934705, 0.669114, 2568.846561, 9072.713692, 231.69913, 2249, 6, 10350001, 402617711, 119715471, 532683183, 37243, 562, 96399.75129799999, inf, 348.83720930232556, 3109.2280985556567, 82550.972291, 7299.122162, 0.169167, 1425.453773, 5097.037793, 26.996112, 1118, 9, 5130001, 420911431, 62316069, 488357501, 36662, 260, 92524.51046, inf, 697.6744186046511, 4435.832166603672, 84731.923171, 4059.625178, 0.043221, 746.793906, 2982.750638, 3.374346, 559, 15, 2550001, 433497167, 32491957, 468539125
30000, 30000, 0, 0, dp_15.000000, 37507, 1073, 108998.38707000001, inf, 173.41040462427745, 2150.4981407881714, 83414.232078, 12323.634638, 0.687468, 2568.846561, 10377.025165, 313.96116, 2595, 5, 10350001, 402617711, 128302333, 541270045, 37243, 562, 97936.396531, inf, 348.83720930232556, 3109.2280985556567, 82550.972291, 8092.479242, 0.169227, 1425.453773, 5830.618419, 36.703579, 1290, 8, 5130001, 420911431, 69908675, 495950107, 36662, 260, 93108.95123100001, inf, 697.6744186046511, 4435.832166603672, 84731.923171, 4184.802012, 0.044032, 746.793906, 3440.903734, 4.484376, 645, 11, 2550001, 433497167, 35679028, 471726196
30000, 30000, 0, 0, dp_17.000000, 37507, 1073, 112741.82843899999, inf, 173.41040462427745, 2150.4981407881714, 83414.232078, 14550.760097, 0.831478, 2568.846561, 11805.229299, 401.928926, 2941, 5, 10350001, 402617711, 149061641, 562029353, 37243, 562, 98988.649096, inf, 348.83720930232556, 3109.2280985556567, 82550.972291, 8424.01206, 0.168035, 1425.453773, 6540.678794, 47.364143, 1462, 7, 5130001, 420911431, 75441358, 501482790, 36662, 260, 93758.561725, inf, 697.6744186046511, 4435.832166603672, 84731.923171, 4428.375311, 0.043141, 746.793906, 3845.608379, 5.817817, 731, 10, 2550001, 433497167, 39366562, 475413730
30000, 30000, 0, 0, dp_19.000000, 37507, 1073, 111111.74943499999, inf, 173.41040462427745, 2150.4981407881714, 83414.232078, 11426.9918, 0.647524, 2568.846561, 13197.46568, 503.565792, 3287, 4, 10350001, 402617711, 145419309, 558387021, 37243, 562, 98511.762773, inf, 348.83720930232556, 3109.2280985556567, 82550.972291, 7205.589571, 0.169618, 1425.453773, 7270.02015, 59.55737, 1634, 6, 5130001, 420911431, 77492481, 503533913, 36662, 260, 94178.77381799999, inf, 697.6744186046511, 4435.832166603672, 84731.923171, 4425.469011, 0.05862, 746.793906, 4267.25342, 7.27569, 817, 9, 2550001, 433497167, 41964853, 478012021
30000, 30000, 0, 0, dp_21.000000, 37507, 1073, 114881.637283, inf, 173.41040462427745, 2150.4981407881714, 83414.232078, 13754.350473, 0.657673, 2568.846561, 14521.093107, 622.457391, 3633, 4, 10350001, 402617711, 166178617, 579146329, 37243, 562, 101242.184281, inf, 348.83720930232556, 3109.2280985556567, 82550.972291, 9184.828185, 0.15469, 1425.453773, 8007.399756, 73.375586, 1806, 6, 5130001, 420911431, 87812309, 513853741, 36662, 260, 95129.65190600001, inf, 697.6744186046511, 4435.832166603672, 84731.923171, 4942.279657, 0.04781, 746.793906, 4699.648076, 8.959286, 903, 9, 2550001, 433497167, 47124337, 483171505
30000, 30000, 0, 0, dp_23.000000, 37507, 1073, 118595.165781, inf, 173.41040462427745, 2150.4981407881714, 83414.232078, 16133.547526, 0.811721, 2568.846561, 15736.667076, 741.060819, 3979, 4, 10350001, 402617711, 186937925, 599905637, 37243, 562, 103476.569351, inf, 348.83720930232556, 3109.2280985556567, 82550.972291, 10648.179481, 0.17077, 1425.453773, 8763.215759, 88.577277, 1978, 6, 5130001, 420911431, 98132137, 524173569, 36662, 260, 95182.269424, inf, 697.6744186046511, 4435.832166603672, 84731.923171, 4579.928521, 0.057418, 746.793906, 5112.806327, 10.760081, 989, 8, 2550001, 433497167, 47809093, 483856261
30000, 30000, 0, 0, dp_25.000000, 37507, 1073, 122406.22924, inf, 173.41040462427745, 2150.4981407881714, 83414.232078, 18550.114269, 0.825618, 2568.846561, 16986.535957, 885.674757, 4325, 4, 10350001, 402617711, 207697233, 620664945, 37243, 562, 101424.605823, inf, 348.83720930232556, 3109.2280985556567, 82550.972291, 7849.371534, 0.159009, 1425.453773, 9493.252084, 105.397132, 2150, 5, 5130001, 420911431, 94902894, 520944326, 36662, 260, 96098.93266700002, inf, 697.6744186046511, 4435.832166603672, 84731.923171, 5126.513592, 0.04266, 746.793906, 5480.910278, 12.74906, 1075, 8, 2550001, 433497167, 52968577, 489015745
30000, 30000, 0, 0, dp_27.000000, 37507, 1073, 126117.63853100002, inf, 173.41040462427745, 2150.4981407881714, 83414.232078, 20852.460093, 0.662674, 2568.846561, 18256.042719, 1025.394406, 4671, 4, 10350001, 402617711, 228456541, 641424253, 37243, 562, 104082.96466700001, inf, 348.83720930232556, 3109.2280985556567, 82550.972291, 9858.05392, 0.156924, 1425.453773, 10125.033391, 123.294368, 2322, 5, 5130001, 420911431, 105222722, 531264154, 36662, 260, 95663.919089, inf, 697.6744186046511, 4435.832166603672, 84731.923171, 4271.321711, 0.040356, 746.793906, 5898.946675, 14.89327, 1161, 7, 2550001, 433497167, 51239335, 487286503
30000, 30000, 0, 0, dp_29.000000, 37507, 1073, 119483.54515699999, inf, 173.41040462427745, 2150.4981407881714, 83414.232078, 12766.339417, 0.652004, 2568.846561, 19544.799815, 1188.675282, 5017, 3, 10350001, 402617711, 203193221, 616160933, 37243, 562, 106226.46678700001, inf, 348.83720930232556, 3109.2280985556567, 82550.972291, 11271.261893, 0.222888, 1425.453773, 10835.907575, 142.648367, 2494, 5, 5130001, 420911431, 115542550, 541583982, 36662, 260, 96573.34862300001, inf, 697.6744186046511, 4435.832166603672, 84731.923171, 4792.514326, 0.039323, 746.793906, 6284.757957, 17.31994, 1247, 7, 2550001, 433497167, 56398819, 492445987
30000, 30000, 0, 0, dp_3.000000, 37565, 1131, 91618.13179199999, inf, 173.41040462427745, 2150.4981407881714, 83414.232078, 3902.097023, 1.000498, 2568.846561, 1723.231739, 8.723893, 519, 403, 10350001, 402617711, 26788745, 439756457, 37301, 620, 86962.28463499999, inf, 348.83720930232556, 3109.2280985556567, 82550.972291, 1999.356522, 0.167955, 1425.453773, 985.195889, 1.138205, 258, 346, 5130001, 420911431, 13153231, 439194663, 36708, 306, 87063.56968200002, inf, 697.6744186046511, 4435.832166603672, 84731.923171, 1014.286426, 0.048401, 746.793906, 570.354231, 0.163547, 129, 291, 2550001, 433497167, 6517540, 442564708
30000, 30000, 0, 0, dp_31.000000, 37507, 1073, 123373.213088, inf, 173.41040462427745, 2150.4981407881714, 83414.232078, 15184.629735, 0.835067, 2568.846561, 20837.041692, 1367.627955, 5363, 3, 10350001, 402617711, 223952529, 636920241, 37243, 562, 108589.926541, inf, 348.83720930232556, 3109.2280985556567, 82550.972291, 12980.124527, 0.173114, 1425.453773, 11469.609202, 163.593634, 2666, 5, 5130001, 420911431, 125862378, 551903810, 36662, 260, 97506.41807000003, inf, 697.6744186046511, 4435.832166603672, 84731.923171, 5326.205469, 0.041618, 746.793906, 6681.638065, 19.815841, 1333, 7, 2550001, 433497167, 61558303, 497605471
30000, 30000, 0, 0, dp_33.000000, 37507, 1073, 127015.79776600002, inf, 173.41040462427745, 2150.4981407881714, 83414.232078, 17378.34729, 0.658588, 2568.846561, 22121.243755, 1532.469494, 5709, 3, 10350001, 402617711, 244711837, 657679549, 37243, 562, 110968.99078400002, inf, 348.83720930232556, 3109.2280985556567, 82550.972291, 14657.763541, 0.220834, 1425.453773, 12148.769104, 185.811241, 2838, 5, 5130001, 420911431, 136182206, 562223638, 36662, 260, 98391.630843, inf, 697.6744186046511, 4435.832166603672, 84731.923171, 5801.889783, 0.040606, 746.793906, 7088.537343, 22.446034, 1419, 7, 2550001, 433497167, 66717787, 502764955
30000, 30000, 0, 0, dp_35.000000, 37507, 1073, 130926.88836299999, inf, 173.41040462427745, 2150.4981407881714, 83414.232078, 19757.945906, 0.821633, 2568.846561, 23439.365384, 1745.676801, 6055, 3, 10350001, 402617711, 265471145, 678438857, 37243, 562, 104616.04940500001, inf, 348.83720930232556, 3109.2280985556567, 82550.972291, 7581.845293, 0.171331, 1425.453773, 12848.412384, 209.194333, 3010, 4, 5130001, 420911431, 120042178, 546083610, 36662, 260, 97383.849986, inf, 697.6744186046511, 4435.832166603672, 84731.923171, 4456.737406, 0.041678, 746.793906, 7422.892817, 25.461008, 1505, 6, 2550001, 433497167, 62309596, 498356764
30000, 30000, 0, 0, dp_37.000000, 37507, 1073, 134781.184381, inf, 173.41040462427745, 2150.4981407881714, 83414.232078, 22116.314596, 0.667073, 2568.846561, 24724.746044, 1956.378029, 6401, 3, 10350001, 402617711, 286230453, 699198165, 37243, 562, 107140.233321, inf, 348.83720930232556, 3109.2280985556567, 82550.972291, 9368.155069, 0.162304, 1425.453773, 13561.322226, 234.167658, 3182, 4, 5130001, 420911431, 130362006, 556403438, 36662, 260, 98220.747831, inf, 697.6744186046511, 4435.832166603672, 84731.923171, 4948.103517, 0.04228, 746.793906, 7765.467806, 28.417151, 1591, 6, 2550001, 433497167, 67469080, 503516248
