N, N, MST_Cost, MST_Runtime, RunType, C173_MFC_Cost, C173_MFC_Completion_Cost, C173_MFC_Runtime, C173_Gamma, C173_Cluster_Size_Mu, C173_Cluster_Size_Sigma, C173_Sub_Clustering_Runtime, C173_Completion_Edges_Runtime, C173_Completion_Runtime, C173_Clustering_Runtime, C173_Find_Reps_Runtime, C173_Pick_Reps_Runtime, C173_Rep_Count, C173_Reps_Cost, C173_Clustering_Dist_Calls, C173_Sub_Clustering_Dist_Calls, C173_MFC_Dist_Calls, C173_Dist_Calls, C86_MFC_Cost, C86_MFC_Completion_Cost, C86_MFC_Runtime, C86_Gamma, C86_Cluster_Size_Mu, C86_Cluster_Size_Sigma, C86_Sub_Clustering_Runtime, C86_Completion_Edges_Runtime, C86_Completion_Runtime, C86_Clustering_Runtime, C86_Find_Reps_Runtime, C86_Pick_Reps_Runtime, C86_Rep_Count, C86_Reps_Cost, C86_Clustering_Dist_Calls, C86_Sub_Clustering_Dist_Calls, C86_MFC_Dist_Calls, C86_Dist_Calls, C43_MFC_Cost, C43_MFC_Completion_Cost, C43_MFC_Runtime, C43_Gamma, C43_Cluster_Size_Mu, C43_Cluster_Size_Sigma, C43_Sub_Clustering_Runtime, C43_Completion_Edges_Runtime, C43_Completion_Runtime, C43_Clustering_Runtime, C43_Find_Reps_Runtime, C43_Pick_Reps_Runtime, C43_Rep_Count, C43_Reps_Cost, C43_Clustering_Dist_Calls, C43_Sub_Clustering_Dist_Calls, C43_MFC_Dist_Calls, C43_Dist_Calls
30000, 30000, 0, 0, dp_1.000000, 1007991, 26883, 335567.920376, inf, 173.41040462427745, 792.8598556133293, 254271.824415, 36840.96647, 1.475126, 44310.060054, 143.582709, 0.011602, 173, 0, 10350001, 56962370, 8607985, 75920356, 1016062, 15432, 458248.925625, inf, 348.83720930232556, 1451.634803043164, 419622.758706, 16767.126274, 0.371777, 21709.186419, 149.475075, 0.007374, 86, 0, 5130001, 95829033, 3972301, 104931335, 991385, 8062, 684159.008895, inf, 697.6744186046511, 2562.2230874400284, 665722.240255, 7569.292047, 0.063298, 10718.323336, 149.084369, 0.00559, 43, 0, 2550001, 151597340, 1781653, 155928994
30000, 30000, 0, 0, dp_11.000000, 1002017, 20909, 900409.484749, inf, 173.41040462427745, 792.8598556133293, 254271.824415, 384570.031105, 1.489934, 44310.060054, 217093.424376, 162.654865, 1903, 10993, 10350001, 56962370, 146545550, 213857921, 1011248, 10618, 727945.2000379999, inf, 348.83720930232556, 1451.634803043164, 419622.758706, 177677.228084, 0.409508, 21709.186419, 108916.430159, 19.187162, 946, 9106, 5130001, 95829033, 69506153, 170465187, 989300, 5977, 810522.968974, inf, 697.6744186046511, 2562.2230874400284, 665722.240255, 78496.965576, 0.100729, 10718.323336, 55582.676947, 2.662131, 473, 4886, 2550001, 151597340, 32343431, 186490772
30000, 30000, 0, 0, dp_13.000000, 1001777, 20669, 1007333.892414, inf, 173.41040462427745, 792.8598556133293, 254271.824415, 450004.395667, 1.271755, 44310.060054, 258516.745119, 229.595404, 2249, 9484, 10350001, 56962370, 173891394, 241203765, 1011163, 10533, 781348.826289, inf, 348.83720930232556, 1451.634803043164, 419622.758706, 209583.475842, 0.407654, 21709.186419, 130405.849828, 27.14784, 1118, 8301, 5130001, 95829033, 82559771, 183518805, 989229, 5906, 834944.5145209999, inf, 697.6744186046511, 2562.2230874400284, 665722.240255, 92383.042315, 0.095669, 10718.323336, 66117.210902, 3.602044, 559, 4603, 2550001, 151597340, 38510061, 192657402
30000, 30000, 0, 0, dp_15.000000, 1001737, 20629, 1116652.3969780002, inf, 173.41040462427745, 792.8598556133293, 254271.824415, 516965.947533, 1.484313, 44310.060054, 300794.661285, 308.419378, 2595, 8242, 10350001, 56962370, 200987111, 268299482, 1011126, 10496, 833853.616592, inf, 348.83720930232556, 1451.634803043164, 419622.758706, 241285.978402, 0.38956, 21709.186419, 151198.766019, 36.537486, 1290, 7631, 5130001, 95829033, 95696959, 196655993, 989153, 5830, 859810.1498519998, inf, 697.6744186046511, 2562.2230874400284, 665722.240255, 106658.308535, 0.09587, 10718.323336, 76706.37809, 4.803766, 645, 4357, 2550001, 151597340, 44663622, 198810963
30000, 30000, 0, 0, dp_17.000000, 1001645, 20537, 1228189.322532, inf, 173.41040462427745, 792.8598556133293, 254271.824415, 585229.245729, 1.469415, 44310.060054, 343978.098707, 398.624212, 2941, 7157, 10350001, 56962370, 228382633, 295695004, 1011083, 10453, 888844.365607, inf, 348.83720930232556, 1451.634803043164, 419622.758706, 273686.560435, 0.393328, 21709.186419, 173778.264994, 47.201725, 1462, 7062, 5130001, 95829033, 108834147, 209793181, 989144, 5821, 884924.5093419999, inf, 697.6744186046511, 2562.2230874400284, 665722.240255, 120849.960069, 0.097904, 10718.323336, 87627.843555, 6.044223, 731, 4140, 2550001, 151597340, 50830252, 204977593
30000, 30000, 0, 0, dp_19.000000, 1001602, 20494, 1340454.1208590001, inf, 173.41040462427745, 792.8598556133293, 254271.824415, 654041.67569, 1.476459, 44310.060054, 387329.128875, 499.955366, 3287, 6257, 10350001, 56962370, 255838695, 323151066, 1011061, 10431, 941540.9359459999, inf, 348.83720930232556, 1451.634803043164, 419622.758706, 304728.904294, 0.390482, 21709.186419, 195419.962608, 59.733437, 1634, 6537, 5130001, 95829033, 121891528, 222850562, 989122, 5799, 911197.060488, inf, 697.6744186046511, 2562.2230874400284, 665722.240255, 136807.832167, 0.135434, 10718.323336, 97940.942412, 7.586884, 817, 3942, 2550001, 151597340, 56996882, 211144223
30000, 30000, 0, 0, dp_21.000000, 1001549, 20441, 1457884.6078620001, inf, 173.41040462427745, 792.8598556133293, 254271.824415, 726853.687223, 1.652409, 44310.060054, 431834.370651, 613.01311, 3633, 5504, 10350001, 56962370, 282754529, 350066900, 1011021, 10391, 993609.6094649999, inf, 348.83720930232556, 1451.634803043164, 419622.758706, 335021.218789, 0.388689, 21709.186419, 217182.492578, 73.564284, 1806, 6089, 5130001, 95829033, 135028716, 235987750, 989102, 5779, 937256.209363, inf, 697.6744186046511, 2562.2230874400284, 665722.240255, 149636.194416, 0.157135, 10718.323336, 111170.033228, 9.260993, 903, 3749, 2550001, 151597340, 63163512, 217310853
30000, 30000, 0, 0, dp_23.000000, 1001527, 20419, 1566171.2624760002, inf, 173.41040462427745, 792.8598556133293, 254271.824415, 791018.315947, 1.485236, 44310.060054, 475832.409406, 737.167418, 3979, 4878, 10350001, 56962370, 310229999, 377542370, 1011008, 10378, 1047281.506273, inf, 348.83720930232556, 1451.634803043164, 419622.758706, 366018.059051, 0.38919, 21709.186419, 239842.397528, 88.715379, 1978, 5677, 5130001, 95829033, 148165904, 249124938, 989060, 5737, 959263.997217, inf, 697.6744186046511, 2562.2230874400284, 665722.240255, 162845.300276, 0.109496, 10718.323336, 119966.985619, 11.038235, 989, 3565, 2550001, 151597340, 69015146, 223162487
30000, 30000, 0, 0, dp_25.000000, 1001493, 20385, 1683050.6346220002, inf, 173.41040462427745, 792.8598556133293, 254271.824415, 862163.175833, 1.549907, 44310.060054, 521429.30451, 874.719903, 4325, 4343, 10350001, 56962370, 337865365, 405177736, 1010934, 10304, 1104816.231973, inf, 348.83720930232556, 1451.634803043164, 419622.758706, 402127.435207, 0.593393, 21709.186419, 261246.957985, 109.300263, 2150, 5300, 5130001, 95829033, 161002240, 261961274, 989060, 5737, 985265.095968, inf, 697.6744186046511, 2562.2230874400284, 665722.240255, 177972.931493, 0.11164, 10718.323336, 130838.440268, 13.048976, 1075, 3395, 2550001, 151597340, 75181776, 229329117
30000, 30000, 0, 0, dp_27.000000, 1001467, 20359, 1798892.844735, inf, 173.41040462427745, 792.8598556133293, 254271.824415, 938374.46991, 1.484434, 44310.060054, 560917.000967, 1018.004955, 4671, 3894, 10350001, 56962370, 365411079, 432723450, 1010927, 10297, 1155822.019752, inf, 348.83720930232556, 1451.634803043164, 419622.758706, 433385.189814, 0.388248, 21709.186419, 280980.111319, 124.385246, 2322, 4948, 5130001, 95829033, 174139428, 275098462, 989051, 5728, 1012002.8540449998, inf, 697.6744186046511, 2562.2230874400284, 665722.240255, 193342.433609, 0.100648, 10718.323336, 142204.752275, 15.003922, 1161, 3230, 2550001, 151597340, 81348406, 235495747
