N, N, MST_Cost, MST_Runtime, RunType, C173_MFC_Cost, C173_MFC_Completion_Cost, C173_MFC_Runtime, C173_Gamma, C173_Cluster_Size_Mu, C173_Cluster_Size_Sigma, C173_Sub_Clustering_Runtime, C173_Completion_Edges_Runtime, C173_Completion_Runtime, C173_Clustering_Runtime, C173_Find_Reps_Runtime, C173_Pick_Reps_Runtime, C173_Rep_Count, C173_Reps_Cost, C173_Clustering_Dist_Calls, C173_Sub_Clustering_Dist_Calls, C173_MFC_Dist_Calls, C173_Dist_Calls, C86_MFC_Cost, C86_MFC_Completion_Cost, C86_MFC_Runtime, C86_Gamma, C86_Cluster_Size_Mu, C86_Cluster_Size_Sigma, C86_Sub_Clustering_Runtime, C86_Completion_Edges_Runtime, C86_Completion_Runtime, C86_Clustering_Runtime, C86_Find_Reps_Runtime, C86_Pick_Reps_Runtime, C86_Rep_Count, C86_Reps_Cost, C86_Clustering_Dist_Calls, C86_Sub_Clustering_Dist_Calls, C86_MFC_Dist_Calls, C86_Dist_Calls, C43_MFC_Cost, C43_MFC_Completion_Cost, C43_MFC_Runtime, C43_Gamma, C43_Cluster_Size_Mu, C43_Cluster_Size_Sigma, C43_Sub_Clustering_Runtime, C43_Completion_Edges_Runtime, C43_Completion_Runtime, C43_Clustering_Runtime, C43_Find_Reps_Runtime, C43_Pick_Reps_Runtime, C43_Rep_Count, C43_Reps_Cost, C43_Clustering_Dist_Calls, C43_Sub_Clustering_Dist_Calls, C43_MFC_Dist_Calls, C43_Dist_Calls
30000, 30000, 0, 0, dp_1.000000, 30130937.97071266, 231571.5633544922, 45751.163895000005, inf, 173.41040462427745, 429.21150896651875, 25978.568121, 7143.528354, 2.130175, 12589.726805, 37.200511, 0.009929, 173, 0, 10350001, 18521404, 9750925, 38622330, 29928364.170511246, 110513.71301269531, 56226.376818000004, inf, 348.83720930232556, 803.7279543862956, 46582.46293, 3450.286756, 0.413887, 6155.765108, 37.441374, 0.006763, 86, 0, 5130001, 32994639, 4800371, 42925011, 29761668.0534153, 52905.75329589844, 95469.97139400001, inf, 697.6744186046511, 1566.3909447105386, 90772.861585, 1602.41684, 0.071514, 3057.083432, 37.533394, 0.004629, 43, 0, 2550001, 63202099, 2213581, 67965681
30000, 30000, 0, 0, dp_11.000000, 30097209.089731216, 197842.68237304688, 176673.807252, inf, 173.41040462427745, 429.21150896651875, 25978.568121, 70865.429066, 2.814888, 12589.726805, 67074.454402, 162.81397, 1903, 136752.21875, 10350001, 18521404, 159197541, 188068946, 29910790.830179214, 92940.37268066406, 120670.00552, inf, 348.83720930232556, 803.7279543862956, 46582.46293, 34516.847358, 0.479288, 6155.765108, 33395.362502, 19.088334, 946, 99560.3984375, 5130001, 32994639, 78206952, 116331592, 29752443.22162819, 43680.92150878906, 126802.912397, inf, 697.6744186046511, 1566.3909447105386, 90772.861585, 15967.252087, 0.091892, 3057.083432, 17003.232507, 2.390894, 473, 69536.5, 2550001, 63202099, 37112807, 102864907
30000, 30000, 0, 0, dp_13.000000, 30095235.21619606, 195868.80883789062, 202558.68250099997, inf, 173.41040462427745, 429.21150896651875, 25978.568121, 83514.651398, 2.172374, 12589.726805, 80244.314562, 229.249241, 2249, 123245.765625, 10350001, 18521404, 189077989, 217949394, 29909434.05756569, 91583.60006713867, 133626.901852, inf, 348.83720930232556, 803.7279543862956, 46582.46293, 40666.326253, 0.476033, 6155.765108, 40194.844136, 27.027392, 1118, 93339.90625, 5130001, 32994639, 92839914, 130964554, 29752165.588998795, 43403.28887939453, 132223.777242, inf, 697.6744186046511, 1566.3909447105386, 90772.861585, 18061.811845, 0.092043, 3057.083432, 20328.552376, 3.375961, 559, 66553.375, 2550001, 63202099, 42906726, 108658826
30000, 30000, 0, 0, dp_15.000000, 30093797.232492447, 194430.82513427734, 228617.005329, inf, 173.41040462427745, 429.21150896651875, 25978.568121, 96242.988984, 2.267803, 12589.726805, 93494.580052, 308.873564, 2595, 111862.9609375, 10350001, 18521404, 219012525, 247883930, 29908737.88642311, 90887.42892456055, 146494.887396, inf, 348.83720930232556, 803.7279543862956, 46582.46293, 47065.610768, 0.467657, 6155.765108, 46654.060181, 36.520752, 1290, 88248.4609375, 5130001, 32994639, 107652726, 145777366, 29751880.11225319, 43117.81213378906, 138598.624332, inf, 697.6744186046511, 1566.3909447105386, 90772.861585, 21053.070564, 0.090901, 3057.083432, 23710.99021, 4.52764, 645, 63730.83984375, 2550001, 63202099, 49957780, 115709880
30000, 30000, 0, 0, dp_17.000000, 30093212.664377213, 193846.25701904297, 254970.60085, inf, 173.41040462427745, 429.21150896651875, 25978.568121, 109016.125935, 2.179167, 12589.726805, 106982.951406, 401.049416, 2941, 102569.703125, 10350001, 18521404, 248947061, 277818466, 29907745.763620377, 89895.30612182617, 159527.332525, inf, 348.83720930232556, 803.7279543862956, 46582.46293, 53359.22926, 0.471905, 6155.765108, 53381.814004, 47.589318, 1462, 83721.671875, 5130001, 32994639, 122465538, 160590178, 29751331.3525486, 42569.05242919922, 144890.55950700003, inf, 697.6744186046511, 1566.3909447105386, 90772.861585, 23932.93308, 0.104717, 3057.083432, 27121.741802, 5.834891, 731, 61238.30859375, 2550001, 63202099, 57008834, 122760934
30000, 30000, 0, 0, dp_19.000000, 30091501.864053726, 192135.45669555664, 280938.5721529999, inf, 173.41040462427745, 429.21150896651875, 25978.568121, 121773.42799, 2.150744, 12589.726805, 120094.26333, 500.435163, 3287, 93915.4609375, 10350001, 18521404, 278881597, 307753002, 29907531.586374283, 89681.12887573242, 172498.636672, inf, 348.83720930232556, 803.7279543862956, 46582.46293, 59700.113261, 0.463569, 6155.765108, 60000.171209, 59.660595, 1634, 79980.8203125, 5130001, 32994639, 137278350, 175402990, 29751133.180002213, 42370.8798828125, 151080.21778200002, inf, 697.6744186046511, 1566.3909447105386, 90772.861585, 26840.00268, 0.091982, 3057.083432, 30402.779279, 7.398824, 817, 58835.0625, 2550001, 63202099, 64059888, 129811988
30000, 30000, 0, 0, dp_21.000000, 30090450.805215836, 191084.39785766602, 307161.341803, inf, 173.41040462427745, 429.21150896651875, 25978.568121, 134492.706785, 2.150464, 12589.726805, 133484.973595, 613.216033, 3633, 86094.7890625, 10350001, 18521404, 308816133, 337687538, 29906593.81940651, 88743.36190795898, 185612.92276800002, inf, 348.83720930232556, 803.7279543862956, 46582.46293, 66042.354661, 0.472486, 6155.765108, 66758.252568, 73.615015, 1806, 76481.5859375, 5130001, 32994639, 152091162, 190215802, 29750741.467294693, 41979.16717529297, 157411.37161399997, inf, 697.6744186046511, 1566.3909447105386, 90772.861585, 29797.320933, 0.304732, 3057.083432, 33774.853673, 8.947259, 903, 56811.70703125, 2550001, 63202099, 71110942, 136863042
30000, 30000, 0, 0, dp_23.000000, 30088874.368722916, 189507.9613647461, 333293.357439, inf, 173.41040462427745, 429.21150896651875, 25978.568121, 147173.472753, 2.195718, 12589.726805, 146812.152132, 737.24191, 3979, 79367.2265625, 10350001, 18521404, 338514893, 367386298, 29906118.155649185, 88267.69815063477, 198709.130921, inf, 348.83720930232556, 803.7279543862956, 46582.46293, 72359.166407, 0.471074, 6155.765108, 73522.415618, 88.849784, 1978, 73078.34375, 5130001, 32994639, 166903974, 205028614, 29750662.60657692, 41900.30645751953, 164033.330571, inf, 697.6744186046511, 1566.3909447105386, 90772.861585, 32583.942372, 0.103915, 3057.083432, 37608.490453, 10.848814, 989, 54913.64453125, 2550001, 63202099, 77922524, 143674624
30000, 30000, 0, 0, dp_25.000000, 30088698.854745865, 189332.4473876953, 359538.20627599995, inf, 173.41040462427745, 429.21150896651875, 25978.568121, 159973.569011, 2.364975, 12589.726805, 160118.958609, 875.018755, 4325, 73620.28125, 10350001, 18521404, 368419957, 397291362, 29905514.386850357, 87663.92935180664, 211427.478634, inf, 348.83720930232556, 803.7279543862956, 46582.46293, 78698.686063, 0.471094, 6155.765108, 79884.459467, 105.633972, 2150, 69662.9765625, 5130001, 32994639, 181716786, 219841426, 29750451.84546852, 41689.545349121094, 170246.600669, inf, 697.6744186046511, 1566.3909447105386, 90772.861585, 35483.695653, 0.108103, 3057.083432, 40919.982413, 12.869483, 1075, 53328.34375, 2550001, 63202099, 84973578, 150725678
30000, 30000, 0, 0, dp_27.000000, 30088118.248361588, 188751.84100341797, 385917.634628, inf, 173.41040462427745, 429.21150896651875, 25978.568121, 172873.113274, 2.183455, 12589.726805, 173456.268877, 1017.774096, 4671, 68433.78125, 10350001, 18521404, 398354493, 427225898, 29905350.683908463, 87500.22640991211, 224015.911259, inf, 348.83720930232556, 803.7279543862956, 46582.46293, 84747.814699, 0.472967, 6155.765108, 86405.669466, 123.726089, 2322, 66347.734375, 5130001, 32994639, 196259823, 234384463, 29749827.684152603, 41065.384033203125, 176669.56155500002, inf, 697.6744186046511, 1566.3909447105386, 90772.861585, 38448.970697, 0.103995, 3057.083432, 44375.512151, 15.029695, 1161, 51751.7578125, 2550001, 63202099, 92024632, 157776732
30000, 30000, 0, 0, dp_29.000000, 30086921.851633072, 187555.44427490234, 412124.328749, inf, 173.41040462427745, 429.21150896651875, 25978.568121, 185565.614145, 2.160853, 12589.726805, 186813.331444, 1174.927381, 5017, 63764.3125, 10350001, 18521404, 428072677, 456944082, 29904834.169260025, 86983.71176147461, 237589.33220700003, inf, 348.83720930232556, 803.7279543862956, 46582.46293, 90994.87556, 0.476874, 6155.765108, 93713.063616, 142.688119, 2494, 63262.14453125, 5130001, 32994639, 211072635, 249197275, 29749583.203256607, 40820.90313720703, 182645.641716, inf, 697.6744186046511, 1566.3909447105386, 90772.861585, 41183.841744, 0.102082, 3057.083432, 47614.33554, 17.417333, 1247, 50317.95703125, 2550001, 63202099, 98866148, 164618248
30000, 30000, 0, 0, dp_3.000000, 30112416.123422623, 213049.71606445312, 72137.048078, inf, 173.41040462427745, 429.21150896651875, 25978.568121, 20062.839836, 2.322715, 12589.726805, 13495.003578, 8.587023, 519, 252844.109375, 10350001, 18521404, 39658417, 68529822, 29920570.480875015, 102720.02337646484, 69193.23435, inf, 348.83720930232556, 803.7279543862956, 46582.46293, 9754.336041, 0.422813, 6155.765108, 6699.183403, 1.064055, 258, 155070.171875, 5130001, 32994639, 19613183, 57737823, 29759033.28864479, 50270.988525390625, 101772.99016900001, inf, 697.6744186046511, 1566.3909447105386, 90772.861585, 4499.183986, 0.089498, 3057.083432, 3443.612479, 0.159189, 129, 95089.5625, 2550001, 63202099, 9234701, 74986801
30000, 30000, 0, 0, dp_31.000000, 30086180.543161392, 186814.13580322266, 438491.653326, inf, 173.41040462427745, 429.21150896651875, 25978.568121, 198420.675731, 2.124183, 12589.726805, 200156.85604, 1343.702446, 5363, 59697.09375, 10350001, 18521404, 458007213, 486878618, 29904776.99555397, 86926.53805541992, 250776.417755, inf, 348.83720930232556, 803.7279543862956, 46582.46293, 97355.782907, 0.484007, 6155.765108, 100518.545372, 163.377431, 2666, 60431.3203125, 5130001, 32994639, 225885447, 264010087, 29748990.553354263, 40228.25323486328, 189197.783474, inf, 697.6744186046511, 1566.3909447105386, 90772.861585, 44141.062523, 0.103143, 3057.083432, 51206.747516, 19.925275, 1333, 49104.12109375, 2550001, 63202099, 105917202, 171669302
30000, 30000, 0, 0, dp_33.000000, 30085696.512765884, 186330.10540771484, 464579.557311, inf, 173.41040462427745, 429.21150896651875, 25978.568121, 211042.105999, 2.144482, 12589.726805, 213444.154076, 1522.857828, 5709, 56055.75390625, 10350001, 18521404, 487470197, 516341602, 29904776.99555397, 86926.53805541992, 263274.109205, inf, 348.83720930232556, 803.7279543862956, 46582.46293, 103730.666355, 0.479499, 6155.765108, 106619.454256, 185.281057, 2838, 57850.703125, 5130001, 32994639, 240698259, 278822899, 29748895.644174576, 40133.34405517578, 195150.8943, inf, 697.6744186046511, 1566.3909447105386, 90772.861585, 47031.277624, 0.107541, 3057.083432, 54266.92303, 22.641088, 1419, 47919.21875, 2550001, 63202099, 112968256, 178720356
30000, 30000, 0, 0, dp_35.000000, 30085595.69715309, 186229.28979492188, 490602.058821, inf, 173.41040462427745, 429.21150896651875, 25978.568121, 223507.28967, 2.17022, 12589.726805, 226810.112616, 1714.191389, 6055, 52724.265625, 10350001, 18521404, 516886041, 545757446, 29903867.939035416, 86017.48153686523, 276356.383039, inf, 348.83720930232556, 803.7279543862956, 46582.46293, 110117.664852, 0.480431, 6155.765108, 113290.607286, 209.402432, 3010, 55384.359375, 5130001, 32994639, 255511071, 293635711, 29748501.10407448, 39738.803955078125, 201301.98714299998, inf, 697.6744186046511, 1566.3909447105386, 90772.861585, 49986.113222, 0.093776, 3057.083432, 57460.233377, 25.601751, 1505, 46826.3125, 2550001, 63202099, 120019310, 185771410
30000, 30000, 0, 0, dp_37.000000, 30085042.951272964, 185676.54391479492, 517052.61599099997, inf, 173.41040462427745, 429.21150896651875, 25978.568121, 236470.467307, 2.180729, 12589.726805, 240092.794432, 1918.878597, 6401, 49676.3671875, 10350001, 18521404, 546820577, 575691982, 29903867.939035416, 86017.48153686523, 289305.564687, inf, 348.83720930232556, 803.7279543862956, 46582.46293, 116350.835537, 0.484038, 6155.765108, 119981.790637, 234.226437, 3182, 53404.8125, 5130001, 32994639, 270323883, 308448523, 29748299.773935318, 39537.47381591797, 207688.098798, inf, 697.6744186046511, 1566.3909447105386, 90772.861585, 52902.390658, 0.103905, 3057.083432, 60927.287063, 28.372155, 1591, 45719.578125, 2550001, 63202099, 127070364, 192822464
30000, 30000, 0, 0, dp_39.000000, 30085015.0629673, 185648.65560913086, 543679.0381, inf, 173.41040462427745, 429.21150896651875, 25978.568121, 249572.809999, 2.184055, 12589.726805, 253402.599541, 2133.149579, 6747, 46837.28515625, 10350001, 18521404, 576755113, 605626518, 29903731.20673561, 85880.74923706055, 301943.96532, inf, 348.83720930232556, 803.7279543862956, 46582.46293, 122687.860233, 0.483016, 6155.765108, 126256.79706, 260.596973, 3354, 51585.4453125, 5130001, 32994639, 285136695, 323261335, 29748431.094125748, 39668.794006347656, 214387.21128000002, inf, 697.6744186046511, 1566.3909447105386, 90772.861585, 55873.837021, 0.108774, 3057.083432, 64651.488556, 31.831912, 1677, 44656.1015625, 2550001, 63202099, 134121418, 199873518
30000, 30000, 0, 0, dp_5.000000, 30106766.890695572, 207400.48333740234, 98325.375804, inf, 173.41040462427745, 429.21150896651875, 25978.568121, 32845.230746, 2.787287, 12589.726805, 26879.403446, 29.659399, 865, 201603.421875, 10350001, 18521404, 69536437, 98407842, 29916749.692789078, 98899.23529052734, 82200.760772, inf, 348.83720930232556, 803.7279543862956, 46582.46293, 16117.757178, 0.471314, 6155.765108, 13340.912111, 3.392131, 430, 132419.59375, 5130001, 32994639, 34396020, 72520660, 29755572.751413345, 46810.45129394531, 108167.852119, inf, 697.6744186046511, 1566.3909447105386, 90772.861585, 7405.733967, 0.089338, 3057.083432, 6931.620017, 0.46378, 215, 85288.703125, 2550001, 63202099, 16225887, 81977987
30000, 30000, 0, 0, dp_7.000000, 30102284.89966774, 202918.4923095703, 124346.02097900001, inf, 173.41040462427745, 429.21150896651875, 25978.568121, 45525.222756, 2.896121, 12589.726805, 40188.044362, 61.562814, 1211, 172340.703125, 10350001, 18521404, 99443929, 128315334, 29914153.87674904, 96303.41925048828, 94721.590587, inf, 348.83720930232556, 803.7279543862956, 46582.46293, 21918.554491, 0.473829, 6155.765108, 20056.966923, 7.367306, 602, 117967.7109375, 5130001, 32994639, 48581328, 86705968, 29754325.523935318, 45563.22381591797, 114376.68460800001, inf, 697.6744186046511, 1566.3909447105386, 90772.861585, 10212.741152, 0.093185, 3057.083432, 10332.774293, 1.130961, 301, 78841.7109375, 2550001, 63202099, 23100501, 88852601
30000, 30000, 0, 0, dp_9.000000, 30098730.077646255, 199363.67028808594, 150704.896763, inf, 173.41040462427745, 429.21150896651875, 25978.568121, 58400.592701, 3.20006, 12589.726805, 53627.730112, 105.078964, 1557, 152783.859375, 10350001, 18521404, 129378465, 158249870, 29912596.967264175, 94746.509765625, 107641.470984, inf, 348.83720930232556, 803.7279543862956, 46582.46293, 28260.197604, 0.420549, 6155.765108, 26629.964361, 12.660432, 774, 107622.4921875, 5130001, 32994639, 63394140, 101518780, 29753208.056222916, 44445.756103515625, 120573.19020000001, inf, 697.6744186046511, 1566.3909447105386, 90772.861585, 13138.506744, 0.108674, 3057.083432, 13603.044412, 1.585353, 387, 73732.28125, 2550001, 63202099, 30151555, 95903655
30000, 30000, 0, 0, fixed_reps_1, 30130937.97071266, 231571.5633544922, 45859.583796, inf, 173.41040462427745, 429.21150896651875, 25978.568121, 7235.943427, 2.188482, 12589.726805, 53.156961, 0, 173, 402844.875, 10350001, 18521404, 9750925, 38622330, 29928364.170511246, 110513.71301269531, 56277.320403, inf, 348.83720930232556, 803.7279543862956, 46582.46293, 3485.648891, 0.424907, 6155.765108, 53.018567, 0, 86, 218335.234375, 5130001, 32994639, 4800371, 42925011, 29761668.0534153, 52905.75329589844, 95467.596292, inf, 697.6744186046511, 1566.3909447105386, 90772.861585, 1586.623157, 0.091611, 3057.083432, 50.936507, 0, 43, 120407.1171875, 2550001, 63202099, 2213581, 67965681
30000, 30000, 0, 0, fixed_reps_11, 30105932.070444107, 206565.6630859375, 109485.005865, inf, 173.41040462427745, 429.21150896651875, 25978.568121, 70487.097069, 2.183342, 12589.726805, 427.430528, 0, 1903, 212221.546875, 10350001, 18521404, 107258445, 136129850, 29916849.920022964, 98999.46252441406, 87800.079293, inf, 348.83720930232556, 803.7279543862956, 46582.46293, 34634.315987, 0.475913, 6155.765108, 427.059355, 0, 946, 129811.7578125, 5130001, 32994639, 52803221, 90927861, 29753904.15296364, 45141.85284423828, 110098.09997400001, inf, 697.6744186046511, 1566.3909447105386, 90772.861585, 15835.94804, 0.091462, 3057.083432, 432.115455, 0, 473, 84461.953125, 2550001, 63202099, 24348961, 90101061
30000, 30000, 0, 0, fixed_reps_13, 30103066.392404556, 203699.98504638672, 122194.96520500001, inf, 173.41040462427745, 429.21150896651875, 25978.568121, 83121.47212, 2.197178, 12589.726805, 503.000981, 0, 2249, 192640.0625, 10350001, 18521404, 126759949, 155631354, 29916288.062906265, 98437.60540771484, 94098.73463100001, inf, 348.83720930232556, 803.7279543862956, 46582.46293, 40854.471969, 0.432641, 6155.765108, 505.601983, 0, 1118, 124622.4296875, 5130001, 32994639, 62403791, 100528431, 29753745.227060318, 44982.92694091797, 113021.593578, inf, 697.6744186046511, 1566.3909447105386, 90772.861585, 18681.160744, 0.091261, 3057.083432, 510.396556, 0, 559, 81812.6640625, 2550001, 63202099, 28776037, 94528137
30000, 30000, 0, 0, fixed_reps_15, 30101617.266672134, 202250.85931396484, 134826.4307, inf, 173.41040462427745, 429.21150896651875, 25978.568121, 95676.350401, 2.163346, 12589.726805, 579.622027, 0, 2595, 179065.203125, 10350001, 18521404, 146261453, 175132858, 29915449.27152443, 97598.8140258789, 100405.797464, inf, 348.83720930232556, 803.7279543862956, 46582.46293, 47076.944797, 0.469701, 6155.765108, 590.154928, 0, 1290, 118666.8984375, 5130001, 32994639, 72004361, 110129001, 29753399.455514908, 44637.15539550781, 116004.97359200001, inf, 697.6744186046511, 1566.3909447105386, 90772.861585, 21579.924988, 0.113293, 3057.083432, 594.990294, 0, 645, 78034.859375, 2550001, 63202099, 33203113, 98955213
