N, N, MST_Cost, MST_Runtime, RunType, C199_MFC_Cost, C199_MFC_Completion_Cost, C199_MFC_Runtime, C199_Gamma, C199_Cluster_Size_Mu, C199_Cluster_Size_Sigma, C199_Sub_Clustering_Runtime, C199_Completion_Edges_Runtime, C199_Completion_Runtime, C199_Clustering_Runtime, C199_Find_Reps_Runtime, C199_Pick_Reps_Runtime, C199_Rep_Count, C199_Reps_Cost, C199_Clustering_Dist_Calls, C199_Sub_Clustering_Dist_Calls, C199_MFC_Dist_Calls, C199_Dist_Calls, C99_MFC_Cost, C99_MFC_Completion_Cost, C99_MFC_Runtime, C99_Gamma, C99_Cluster_Size_Mu, C99_Cluster_Size_Sigma, C99_Sub_Clustering_Runtime, C99_Completion_Edges_Runtime, C99_Completion_Runtime, C99_Clustering_Runtime, C99_Find_Reps_Runtime, C99_Pick_Reps_Runtime, C99_Rep_Count, C99_Reps_Cost, C99_Clustering_Dist_Calls, C99_Sub_Clustering_Dist_Calls, C99_MFC_Dist_Calls, C99_Dist_Calls, C49_MFC_Cost, C49_MFC_Completion_Cost, C49_MFC_Runtime, C49_Gamma, C49_Cluster_Size_Mu, C49_Cluster_Size_Sigma, C49_Sub_Clustering_Runtime, C49_Completion_Edges_Runtime, C49_Completion_Runtime, C49_Clustering_Runtime, C49_Find_Reps_Runtime, C49_Pick_Reps_Runtime, C49_Rep_Count, C49_Reps_Cost, C49_Clustering_Dist_Calls, C49_Sub_Clustering_Dist_Calls, C49_MFC_Dist_Calls, C49_Dist_Calls
39774, 39774, 0, 0, dp_1.000000, 25945.358884632587, 121.87608116865158, 96378.687792, inf, 199.86934673366835, 486.52553736429223, 53739.25014, 22307.341521, 1.315287, 20258.549701, 72.219512, 0.011631, 199, 0, 15790279, 27507271, 14643661, 57941211, 25614.909478127956, 59.51630651950836, 119894.25717799999, inf, 401.75757575757575, 915.3829257892276, 99694.848449, 10900.106636, 0.299161, 9233.902408, 65.095695, 0.004829, 99, 0, 7835479, 49447198, 7039719, 64322396, 25406.593398571014, 29.045291364192963, 129399.498386, inf, 811.7142857142857, 1369.379138328679, 119085.599921, 5366.391869, 0.076554, 4885.003293, 62.423242, 0.003507, 49, 0, 3858079, 62065056, 3429775, 69352910
39774, 39774, 0, 0, dp_11.000000, 25915.346759676933, 91.86395621299744, 448481.42457900004, inf, 199.86934673366835, 486.52553736429223, 53739.25014, 239470.985839, 1.297964, 20258.549701, 134762.493067, 248.847868, 2189, 105.81201934814453, 15790279, 27507271, 240568361, 283865911, 25600.349752485752, 44.95658087730408, 300543.367869, inf, 401.75757575757575, 915.3829257892276, 99694.848449, 120059.389439, 0.339536, 9233.902408, 71525.65024, 29.237797, 1089, 66.99092102050781, 7835479, 49447198, 115543459, 172826136, 25400.09000378847, 22.54189658164978, 218766.160119, inf, 811.7142857142857, 1369.379138328679, 119085.599921, 60608.90008, 0.093686, 4885.003293, 34182.976142, 3.586997, 539, 38.57817077636719, 3858079, 62065056, 56876483, 122799618
39774, 39774, 0, 0, dp_13.000000, 25912.99605703354, 89.51325356960297, 516908.22439700004, inf, 199.86934673366835, 486.52553736429223, 53739.25014, 285119.399722, 1.313283, 20258.549701, 157432.37487, 357.336681, 2587, 98.11878204345703, 15790279, 27507271, 285684927, 328982477, 25599.109006643295, 43.71583503484726, 337842.744925, inf, 401.75757575757575, 915.3829257892276, 99694.848449, 143369.568045, 0.343504, 9233.902408, 85502.734974, 41.347545, 1287, 64.5602798461914, 7835479, 49447198, 137561257, 194843934, 25398.80627632141, 21.25816911458969, 237605.88647300002, inf, 811.7142857142857, 1369.379138328679, 119085.599921, 72427.109221, 0.090108, 4885.003293, 41202.719931, 5.363999, 637, 37.70099639892578, 3858079, 62065056, 67695487, 133618622
39774, 39774, 0, 0, dp_15.000000, 25910.816473305225, 87.33366984128952, 595558.082089, inf, 199.86934673366835, 486.52553736429223, 53739.25014, 336715.250984, 1.33836, 20258.549701, 184375.063772, 468.629132, 2985, 91.46089935302734, 15790279, 27507271, 330869867, 374167417, 25597.5519130826, 42.15874147415161, 371010.715784, inf, 401.75757575757575, 915.3829257892276, 99694.848449, 163147.966069, 0.348323, 9233.902408, 98877.868031, 55.782504, 1485, 62.099674224853516, 7835479, 49447198, 159579055, 216861732, 25398.506634116173, 20.95852690935135, 254890.38857799998, inf, 811.7142857142857, 1369.379138328679, 119085.599921, 81715.188021, 0.095198, 4885.003293, 49197.773787, 6.728358, 735, 37.13543701171875, 3858079, 62065056, 78514491, 144437626
39774, 39774, 0, 0, dp_17.000000, 25908.524156928062, 85.04135346412659, 672138.278314, inf, 199.86934673366835, 486.52553736429223, 53739.25014, 381345.624202, 1.312181, 20258.549701, 216187.692318, 605.849772, 3383, 85.65715026855469, 15790279, 27507271, 376054807, 419352357, 25596.426691174507, 41.03351956605911, 408915.21111900004, inf, 401.75757575757575, 915.3829257892276, 99694.848449, 190251.949465, 0.344707, 9233.902408, 109661.629575, 72.536515, 1683, 59.88228988647461, 7835479, 49447198, 181596853, 238879530, 25397.7410299778, 20.19292277097702, 276221.34072, inf, 811.7142857142857, 1369.379138328679, 119085.599921, 95852.409463, 0.093575, 4885.003293, 56389.38856, 8.845908, 833, 36.43988037109375, 3858079, 62065056, 89333495, 155256630
39774, 39774, 0, 0, dp_19.000000, 25907.562669813633, 84.07986634969711, 736318.727281, inf, 199.86934673366835, 486.52553736429223, 53739.25014, 421492.07513, 1.348809, 20258.549701, 240044.233614, 783.269887, 3781, 80.37731170654297, 15790279, 27507271, 421239747, 464537297, 25595.75478219986, 40.36161059141159, 447719.35074599995, inf, 401.75757575757575, 915.3829257892276, 99694.848449, 213416.079954, 0.335219, 9233.902408, 125282.619617, 91.565099, 1881, 57.8294677734375, 7835479, 49447198, 203614651, 260897328, 25397.153935670853, 19.60582846403122, 294496.44689300004, inf, 811.7142857142857, 1369.379138328679, 119085.599921, 106914.918294, 0.098064, 4885.003293, 63599.954351, 10.87297, 931, 35.85032272338867, 3858079, 62065056, 100152499, 166075634
39774, 39774, 0, 0, dp_21.000000, 25906.253553926945, 82.77075046300888, 798502.573019, inf, 199.86934673366835, 486.52553736429223, 53739.25014, 461600.56084, 1.31735, 20258.549701, 261973.321736, 929.573252, 4179, 75.46295166015625, 15790279, 27507271, 466424687, 509722237, 25594.461517572403, 39.068345963954926, 484610.06264499994, inf, 401.75757575757575, 915.3829257892276, 99694.848449, 237145.726226, 0.348884, 9233.902408, 138422.167943, 113.068735, 2079, 55.859771728515625, 7835479, 49447198, 225632449, 282915126, 25397.05129110813, 19.503183901309967, 316633.947963, inf, 811.7142857142857, 1369.379138328679, 119085.599921, 122264.651189, 0.092754, 4885.003293, 70385.322185, 13.278621, 1029, 35.3249397277832, 3858079, 62065056, 110971503, 176894638
39774, 39774, 0, 0, dp_23.000000, 25905.456600785255, 81.97379732131958, 867638.373453, inf, 199.86934673366835, 486.52553736429223, 53739.25014, 506940.040858, 1.556799, 20258.549701, 285580.622247, 1118.353708, 4577, 71.15337371826172, 15790279, 27507271, 511609627, 554907177, 25594.123594224453, 38.730422616004944, 518509.356786, inf, 401.75757575757575, 915.3829257892276, 99694.848449, 258494.103802, 0.35224, 9233.902408, 150949.7405, 136.409387, 2277, 53.99335861206055, 7835479, 49447198, 247650247, 304932924, 25396.726951539516, 19.178844332695007, 332751.216026, inf, 811.7142857142857, 1369.379138328679, 119085.599921, 130873.385565, 0.091602, 4885.003293, 77891.087411, 16.048234, 1127, 34.70109558105469, 3858079, 62065056, 121790507, 187713642
39774, 39774, 0, 0, dp_25.000000, 25904.305626749992, 80.82282328605652, 950805.351118, inf, 199.86934673366835, 486.52553736429223, 53739.25014, 562629.498181, 1.292304, 20258.549701, 312853.795099, 1322.965693, 4975, 67.06722259521484, 15790279, 27507271, 556794567, 600092117, 25593.844948470592, 38.45177686214447, 555237.719374, inf, 401.75757575757575, 915.3829257892276, 99694.848449, 283199.002852, 0.283201, 9233.902408, 162947.45482, 162.227644, 2475, 52.266563415527344, 7835479, 49447198, 269668045, 326950722, 25396.624306976795, 19.076199769973755, 352509.89939900005, inf, 811.7142857142857, 1369.379138328679, 119085.599921, 143485.471985, 0.096661, 4885.003293, 85034.645346, 19.082193, 1225, 34.26652526855469, 3858079, 62065056, 132609511, 198532646
39774, 39774, 0, 0, dp_27.000000, 25903.790120005608, 80.30731654167175, 1022974.9024699999, inf, 199.86934673366835, 486.52553736429223, 53739.25014, 601431.107289, 1.485626, 20258.549701, 345999.969918, 1544.539796, 5373, 63.241310119628906, 15790279, 27507271, 601979507, 645277057, 25593.539176404476, 38.14600479602814, 588446.065038, inf, 401.75757575757575, 915.3829257892276, 99694.848449, 302854.877116, 0.339156, 9233.902408, 176472.432166, 189.665743, 2673, 50.62956619262695, 7835479, 49447198, 291685843, 348968520, 25395.871490061283, 18.32338285446167, 367712.016119, inf, 811.7142857142857, 1369.379138328679, 119085.599921, 153539.835504, 0.095028, 4885.003293, 90179.363745, 22.118628, 1323, 33.5894775390625, 3858079, 62065056, 143428515, 209351650
