N_mu, N_sigma, N, MST_Cost_mu, MST_Cost_sigma, MST_Runtime_mu, MST_Runtime_sigma, RunType, C173_MFC_Cost_mu, C173_MFC_Cost_sigma, C173_MFC_Completion_Cost_mu, C173_MFC_Completion_Cost_sigma, C173_MFC_Runtime_mu, C173_MFC_Runtime_sigma, C173_Gamma_mu, C173_Gamma_sigma, C173_Cluster_Size_Mu_mu, C173_Cluster_Size_Mu_sigma, C173_Cluster_Size_Sigma_mu, C173_Cluster_Size_Sigma_sigma, C173_Sub_Clustering_Runtime_mu, C173_Sub_Clustering_Runtime_sigma, C173_Completion_Edges_Runtime_mu, C173_Completion_Edges_Runtime_sigma, C173_Completion_Runtime_mu, C173_Completion_Runtime_sigma, C173_Clustering_Runtime_mu, C173_Clustering_Runtime_sigma, C173_Find_Reps_Runtime_mu, C173_Find_Reps_Runtime_sigma, C173_Pick_Reps_Runtime_mu, C173_Pick_Reps_Runtime_sigma, C173_Rep_Count_mu, C173_Rep_Count_sigma, C173_Reps_Cost_mu, C173_Reps_Cost_sigma, C173_Clustering_Dist_Calls_mu, C173_Clustering_Dist_Calls_sigma, C173_Sub_Clustering_Dist_Calls_mu, C173_Sub_Clustering_Dist_Calls_sigma, C173_MFC_Dist_Calls_mu, C173_MFC_Dist_Calls_sigma, C173_Dist_Calls_mu, C173_Dist_Calls_sigma, C86_MFC_Cost_mu, C86_MFC_Cost_sigma, C86_MFC_Completion_Cost_mu, C86_MFC_Completion_Cost_sigma, C86_MFC_Runtime_mu, C86_MFC_Runtime_sigma, C86_Gamma_mu, C86_Gamma_sigma, C86_Cluster_Size_Mu_mu, C86_Cluster_Size_Mu_sigma, C86_Cluster_Size_Sigma_mu, C86_Cluster_Size_Sigma_sigma, C86_Sub_Clustering_Runtime_mu, C86_Sub_Clustering_Runtime_sigma, C86_Completion_Edges_Runtime_mu, C86_Completion_Edges_Runtime_sigma, C86_Completion_Runtime_mu, C86_Completion_Runtime_sigma, C86_Clustering_Runtime_mu, C86_Clustering_Runtime_sigma, C86_Find_Reps_Runtime_mu, C86_Find_Reps_Runtime_sigma, C86_Pick_Reps_Runtime_mu, C86_Pick_Reps_Runtime_sigma, C86_Rep_Count_mu, C86_Rep_Count_sigma, C86_Reps_Cost_mu, C86_Reps_Cost_sigma, C86_Clustering_Dist_Calls_mu, C86_Clustering_Dist_Calls_sigma, C86_Sub_Clustering_Dist_Calls_mu, C86_Sub_Clustering_Dist_Calls_sigma, C86_MFC_Dist_Calls_mu, C86_MFC_Dist_Calls_sigma, C86_Dist_Calls_mu, C86_Dist_Calls_sigma, C43_MFC_Cost_mu, C43_MFC_Cost_sigma, C43_MFC_Completion_Cost_mu, C43_MFC_Completion_Cost_sigma, C43_MFC_Runtime_mu, C43_MFC_Runtime_sigma, C43_Gamma_mu, C43_Gamma_sigma, C43_Cluster_Size_Mu_mu, C43_Cluster_Size_Mu_sigma, C43_Cluster_Size_Sigma_mu, C43_Cluster_Size_Sigma_sigma, C43_Sub_Clustering_Runtime_mu, C43_Sub_Clustering_Runtime_sigma, C43_Completion_Edges_Runtime_mu, C43_Completion_Edges_Runtime_sigma, C43_Completion_Runtime_mu, C43_Completion_Runtime_sigma, C43_Clustering_Runtime_mu, C43_Clustering_Runtime_sigma, C43_Find_Reps_Runtime_mu, C43_Find_Reps_Runtime_sigma, C43_Pick_Reps_Runtime_mu, C43_Pick_Reps_Runtime_sigma, C43_Rep_Count_mu, C43_Rep_Count_sigma, C43_Reps_Cost_mu, C43_Reps_Cost_sigma, C43_Clustering_Dist_Calls_mu, C43_Clustering_Dist_Calls_sigma, C43_Sub_Clustering_Dist_Calls_mu, C43_Sub_Clustering_Dist_Calls_sigma, C43_MFC_Dist_Calls_mu, C43_MFC_Dist_Calls_sigma, C43_Dist_Calls_mu, C43_Dist_Calls_sigma
30000, 0, 30000, 0, 0, 0, 0, dp_1.000000, 37939.5625, 383.27502670243206, 1382.3125, 76.42211619518267, 88401.010526375, 4721.963853039088, inf, -nan, 173.4104046242774, 5.684341886080802e-14, 2143.003381004631, 50.06174186471143, 84335.210751, 4731.558160382658, 1405.1834264374997, 31.67287339103832, 0.7347376250000001, 0.32761206828749356, 2655.8840816875004, 79.20721230167543, 3.9880260625, 0.5622511881335233, 0.009503562500000002, 0.0009742709433693228, 173, 0, 0, 0, 10350001, 0, 400051032.4375, 18149050.587031905, 5485357.25, 112935.62139970498, 415886390.6875, 18036138.661463678, 37338.3125, 294.3273515046639, 788.0625, 49.713515202105754, 83164.806439875, 5662.46777060667, inf, -nan, 348.83720930232545, 1.1368683772161603e-13, 3121.14525223446, 16.823256673688842, 80960.814773125, 5633.343040482302, 722.2776190624999, 25.628792094031837, 0.1513239375, 0.010611290446198978, 1477.299899375, 54.05143742348529, 4.2573771875, 1.1271925863913639, 0.005447187500000001, 0.0007058205525087448, 86, 0, 0, 0, 5130001, 0, 424116278.5625, 4516613.681740156, 2652553.8125, 12582.511296531537, 431898833.375, 4504145.760909995, 36715.8125, 280.65909453240596, 450.1875, 48.21983351018541, 82952.91954643751, 5384.656845005282, inf, -nan, 697.6744186046509, 2.2737367544323206e-13, 4452.664427484341, 14.080255125399102, 81764.94794306249, 5361.588822507926, 380.52900862499996, 20.339011465869287, 0.033967624999999994, 0.003588650388290143, 803.2566263749999, 46.65339643600011, 4.1488091250000005, 1.1752326336696, 0.003191624999999999, 0.0005775547457817311, 43, 0, 0, 0, 2550001, 0, 436718119.5625, 2698136.6068654205, 1307861.5, 3703.94104299731, 440575982.0625, 2694621.23499128
30000, 0, 30000, 0, 0, 0, 0, dp_11.000000, 37710.6875, 377.8410245642339, 1153.4375, 85.2767324288988, 105248.16836749998, 4023.0386305887428, inf, -nan, 173.4104046242774, 5.684341886080802e-14, 2143.003381004631, 50.06174186471143, 84335.210751, 4731.558160382658, 10274.15342825, 940.6244329017541, 0.8061316875, 0.23504509373541466, 2655.8840816875004, 79.20721230167543, 7817.307722812499, 167.4341010814196, 164.8062520625, 0.8780734135965262, 1903, 0, 6.9375, 2.1350863565673404, 10350001, 0, 400051032.4375, 18149050.587031905, 99341020.5, 6493652.479189495, 509742053.9375, 12319712.618000548, 37199.75, 288.9295978261833, 649.5, 59.719134287094285, 92864.23978343749, 5593.731526426071, inf, -nan, 348.83720930232545, 1.1368683772161603e-13, 3121.14525223446, 16.823256673688842, 80960.814773125, 5633.343040482302, 5939.231700124999, 578.7947542578211, 0.180625, 0.017539610421842322, 1477.299899375, 54.05143742348529, 4467.6089963125, 157.88946599407276, 19.1037895, 0.05639801462374369, 946, 0, 10.4375, 2.499218627891526, 5130001, 0, 424116278.5625, 4516613.681740156, 51545132.625, 2770332.4119928703, 480791412.1875, 2689696.043514471, 36642.4375, 281.124075976694, 376.8125, 52.0783289262434, 88333.70684399999, 5207.113524715784, inf, -nan, 697.6744186046509, 2.2737367544323206e-13, 4452.664427484341, 14.080255125399102, 81764.94794306249, 5361.588822507926, 3159.8126279999997, 447.78926187854086, 0.0444716875, 0.0033683220733539943, 803.2566263749999, 46.65339643600011, 2603.2331261875, 86.14768964386275, 2.4120486875, 0.01934654787913964, 473, 0, 18.25, 9.283722313813572, 2550001, 0, 436718119.5625, 2698136.6068654205, 25807384.875, 2002354.8498932412, 465075505.4375, 1129718.247157669
30000, 0, 30000, 0, 0, 0, 0, dp_13.000000, 37710.6875, 377.8410245642339, 1153.4375, 85.2767324288988, 106997.964882625, 3886.0308126688997, inf, -nan, 173.4104046242774, 5.684341886080802e-14, 2143.003381004631, 50.06174186471143, 84335.210751, 4731.558160382658, 10598.291877874999, 1797.1127038356005, 0.75822175, 0.2307193272052918, 2655.8840816875004, 79.20721230167543, 9176.3067669375, 207.88415057569338, 231.513183375, 1.1904943519925777, 2249, 0, 5.6875, 1.0439558180306292, 10350001, 0, 400051032.4375, 18149050.587031905, 111796153.375, 11123729.673752714, 522197186.8125, 10677413.823478192, 37199.75, 288.9295978261833, 649.5, 59.719134287094285, 94020.41207906249, 5695.171045293904, inf, -nan, 348.83720930232545, 1.1368683772161603e-13, 3121.14525223446, 16.823256673688842, 80960.814773125, 5633.343040482302, 6301.0541378749995, 568.9615427078056, 0.1768968125, 0.014783934998076249, 1477.299899375, 54.05143742348529, 5254.011191187499, 156.1384085229526, 27.055180687500002, 0.11646489819132105, 1118, 0, 8.25, 0.4330127018922193, 5130001, 0, 424116278.5625, 4516613.681740156, 58339312.5625, 2609661.6683452222, 487585592.125, 3272683.3069854323, 36641.6875, 280.8408621332551, 376.0625, 52.92857067548679, 89099.82813343749, 5275.648783159303, inf, -nan, 697.6744186046509, 2.2737367544323206e-13, 4452.664427484341, 14.080255125399102, 81764.94794306249, 5361.588822507926, 3462.1008188124997, 456.88642070232527, 0.045092, 0.0039076069403152615, 803.2566263749999, 46.65339643600011, 3066.0893080625, 91.79436364530088, 3.3883451250000003, 0.015667013363572967, 559, 0, 11.375, 1.5360257159305635, 2550001, 0, 436718119.5625, 2698136.6068654205, 29741460.625, 2068024.676707246, 469009581.1875, 892677.8962055839
30000, 0, 30000, 0, 0, 0, 0, dp_15.000000, 37710.6875, 377.8410245642339, 1153.4375, 85.2767324288988, 109758.721675, 4066.473024014391, inf, -nan, 173.4104046242774, 5.684341886080802e-14, 2143.003381004631, 50.06174186471143, 84335.210751, 4731.558160382658, 11943.7056145, 975.8665210080818, 0.70919375, 0.08363246344235892, 2655.8840816875004, 79.20721230167543, 10511.745827125002, 206.95921455121714, 311.4662069375, 1.6664718358168953, 2595, 0, 5.1875, 0.5266343608235224, 10350001, 0, 400051032.4375, 18149050.587031905, 128063706.8125, 7792822.979932041, 538464740.25, 10736008.117209371, 37199.75, 288.9295978261833, 649.5, 59.719134287094285, 94907.00594100001, 5698.920373361792, inf, -nan, 348.83720930232545, 1.1368683772161603e-13, 3121.14525223446, 16.823256673688842, 80960.814773125, 5633.343040482302, 6382.8020591875, 851.0090906446043, 0.180979375, 0.017994689341146602, 1477.299899375, 54.05143742348529, 6049.4852260625, 173.51895288278232, 36.423003875, 0.09157293066108145, 1290, 0, 7.25, 0.4330127018922193, 5130001, 0, 424116278.5625, 4516613.681740156, 63657004.1875, 3913326.713141202, 492903283.75, 3175686.5841605123, 36641.6875, 280.8408621332551, 376.0625, 52.92857067548679, 89618.57917200001, 5240.539295040931, inf, -nan, 697.6744186046509, 2.2737367544323206e-13, 4452.664427484341, 14.080255125399102, 81764.94794306249, 5361.588822507926, 3515.4275578750003, 555.0434231975861, 0.048176687499999996, 0.004537685667258559, 803.2566263749999, 46.65339643600011, 3530.3726833124992, 99.1910159172341, 4.526184687500001, 0.021079466091788145, 645, 0, 9.8125, 0.6343057228182637, 2550001, 0, 436718119.5625, 2698136.6068654205, 32502334.6875, 2530320.6306370716, 471770455.25, 730664.1985449352
30000, 0, 30000, 0, 0, 0, 0, dp_17.000000, 37710.6875, 377.8410245642339, 1153.4375, 85.2767324288988, 113188.468424375, 4722.54256108944, inf, -nan, 173.4104046242774, 5.684341886080802e-14, 2143.003381004631, 50.06174186471143, 84335.210751, 4731.558160382658, 13893.164283812499, 854.8723685791681, 0.7479708125000002, 0.09968070106859875, 2655.8840816875004, 79.20721230167543, 11901.525553937503, 208.35262264046605, 401.935783125, 1.4366893874762465, 2941, 0, 5.0625, 0.24206145913796356, 10350001, 0, 400051032.4375, 18149050.587031905, 147706761.625, 5394081.357978146, 558107795.0625, 13671044.440871332, 37199.75, 288.9295978261833, 649.5, 59.719134287094285, 96453.99674587499, 5647.029140885767, inf, -nan, 348.83720930232545, 1.1368683772161603e-13, 3121.14525223446, 16.823256673688842, 80960.814773125, 5633.343040482302, 7171.475801875, 553.0721639068674, 0.1886881875, 0.018977556643370707, 1477.299899375, 54.05143742348529, 6796.9162975625, 218.82232461526374, 47.301285750000005, 0.1254001098760983, 1462, 0, 7, 0, 5130001, 0, 424116278.5625, 4516613.681740156, 72684675.8125, 2197343.293738464, 501930955.375, 3144440.9529879442, 36641.6875, 280.8408621332551, 376.0625, 52.92857067548679, 90289.006927, 5345.115581582122, inf, -nan, 697.6744186046509, 2.2737367544323206e-13, 4452.664427484341, 14.080255125399102, 81764.94794306249, 5361.588822507926, 3745.1070523750004, 446.37257494259705, 0.0457878125, 0.004163537246422055, 803.2566263749999, 46.65339643600011, 3969.80817, 124.18889743135553, 5.841347374999999, 0.016758948896317273, 731, 0, 9.25, 0.4330127018922193, 2550001, 0, 436718119.5625, 2698136.6068654205, 36143439.3125, 2090422.5559048972, 475411559.875, 1264419.082978616
30000, 0, 30000, 0, 0, 0, 0, dp_19.000000, 37710.6875, 377.8410245642339, 1153.4375, 85.2767324288988, 112237.90525356248, 3406.3041387522294, inf, -nan, 173.4104046242774, 5.684341886080802e-14, 2143.003381004631, 50.06174186471143, 84335.210751, 4731.558160382658, 11453.214497062498, 1812.7845454145104, 0.7249061874999999, 0.0953143875657151, 2655.8840816875004, 79.20721230167543, 13289.567764374999, 223.87876375893404, 503.30325324999995, 1.1770500509442328, 3287, 0, 4.125, 0.33071891388307384, 10350001, 0, 400051032.4375, 18149050.587031905, 146251419.125, 11094677.575155692, 556652452.5625, 7307556.95188724, 37199.75, 288.9295978261833, 649.5, 59.719134287094285, 96484.8393345625, 5666.639840480435, inf, -nan, 348.83720930232545, 1.1368683772161603e-13, 3121.14525223446, 16.823256673688842, 80960.814773125, 5633.343040482302, 6470.672474937499, 598.282113886162, 0.177537875, 0.010659780854190908, 1477.299899375, 54.05143742348529, 7516.2789139375, 219.32012384109046, 59.59573531249999, 0.12286499930702348, 1634, 0, 6, 0, 5130001, 0, 424116278.5625, 4516613.681740156, 74220138.75, 2670732.616478845, 503466418.3125, 3128313.826950445, 36641.6875, 280.8408621332551, 376.0625, 52.92857067548679, 90769.3041789375, 5175.248050781671, inf, -nan, 697.6744186046509, 2.2737367544323206e-13, 4452.664427484341, 14.080255125399102, 81764.94794306249, 5361.588822507926, 3790.6167175625, 736.4289834918352, 0.0494885, 0.0063014850134710315, 803.2566263749999, 46.65339643600011, 4403.113836875001, 134.94218217786096, 7.3195665624999995, 0.018938254842938824, 817, 0, 8.6875, 0.46351240544347894, 2550001, 0, 436718119.5625, 2698136.6068654205, 38913891.6875, 3439286.409201237, 478182012.25, 1290068.963469468
30000, 0, 30000, 0, 0, 0, 0, dp_21.000000, 37710.6875, 377.8410245642339, 1153.4375, 85.2767324288988, 115935.8328415, 3526.0142697959495, inf, -nan, 173.4104046242774, 5.684341886080802e-14, 2143.003381004631, 50.06174186471143, 84335.210751, 4731.558160382658, 13684.573339437498, 1981.4085758345677, 0.756700375, 0.08690910139182419, 2655.8840816875004, 79.20721230167543, 14641.9777979375, 274.88949169040006, 617.4301710625, 1.8553378638271194, 3633, 0, 4.125, 0.33071891388307384, 10350001, 0, 400051032.4375, 18149050.587031905, 167008694.375, 11093120.443408791, 577409727.8125, 7309174.239740305, 37199.75, 288.9295978261833, 649.5, 59.719134287094285, 98299.20037512499, 5694.604269709429, inf, -nan, 348.83720930232545, 1.1368683772161603e-13, 3121.14525223446, 16.823256673688842, 80960.814773125, 5633.343040482302, 7538.237814687501, 682.0200209807538, 0.1801385, 0.017095334615765786, 1477.299899375, 54.05143742348529, 8249.1759565625, 218.9510217719388, 73.49179287499999, 0.23475381144080415, 1806, 0, 6, 0, 5130001, 0, 424116278.5625, 4516613.681740156, 84536086, 2668952.4544331995, 513782365.5625, 3128989.0315441736, 36641.6875, 280.8408621332551, 376.0625, 52.92857067548679, 91197.7759465625, 5388.141792483869, inf, -nan, 697.6744186046509, 2.2737367544323206e-13, 4452.664427484341, 14.080255125399102, 81764.94794306249, 5361.588822507926, 3783.0822179375004, 545.9870743826863, 0.04892981249999999, 0.006293755647651389, 803.2566263749999, 46.65339643600011, 4837.442177749999, 129.53214367057325, 8.998051625, 0.060592403585221645, 903, 0, 8.125, 0.33071891388307384, 2550001, 0, 436718119.5625, 2698136.6068654205, 41366504.375, 2519535.899761052, 480634624.9375, 1412399.766825706
30000, 0, 30000, 0, 0, 0, 0, dp_23.000000, 37710.6875, 377.8410245642339, 1153.4375, 85.2767324288988, 118967.143176625, 4758.824042144579, inf, -nan, 173.4104046242774, 5.684341886080802e-14, 2143.003381004631, 50.06174186471143, 84335.210751, 4731.558160382658, 15354.770517875002, 1143.9664426427478, 0.7635996875000001, 0.07825234014928781, 2655.8840816875004, 79.20721230167543, 15879.023369562503, 304.0960115998119, 741.4908568125, 1.743212881452717, 3979, 0, 4, 0, 10350001, 0, 400051032.4375, 18149050.587031905, 185192949.875, 5267998.742098497, 595593983.3125, 13868207.851199657, 37199.75, 288.9295978261833, 649.5, 59.719134287094285, 100114.52599287502, 5721.868542629055, inf, -nan, 348.83720930232545, 1.1368683772161603e-13, 3121.14525223446, 16.823256673688842, 80960.814773125, 5633.343040482302, 8590.3523871875, 768.2724692684261, 0.1783236875, 0.01272734523437012, 1477.299899375, 54.05143742348529, 8997.129874, 219.97848568831037, 88.7507355, 0.2506603660284167, 1978, 0, 6, 0, 5130001, 0, 424116278.5625, 4516613.681740156, 94852033.25, 2667176.3243240854, 524098312.8125, 3129668.5391374957, 36641.6875, 280.8408621332551, 376.0625, 52.92857067548679, 92071.038631125, 5351.655771975398, inf, -nan, 697.6744186046509, 2.2737367544323206e-13, 4452.664427484341, 14.080255125399102, 81764.94794306249, 5361.588822507926, 4222.590371374999, 347.1232207463683, 0.048413312500000014, 0.0044724201602537005, 803.2566263749999, 46.65339643600011, 5269.404879062499, 141.83671206182007, 10.7903979375, 0.039180331697595404, 989, 0, 8, 0, 2550001, 0, 436718119.5625, 2698136.6068654205, 45983617.75, 1665524.9542702932, 485251738.3125, 1271713.4035787466
30000, 0, 30000, 0, 0, 0, 0, dp_25.000000, 37710.6875, 377.8410245642339, 1153.4375, 85.2767324288988, 122578.30215637501, 4875.723921818496, inf, -nan, 173.4104046242774, 5.684341886080802e-14, 2143.003381004631, 50.06174186471143, 84335.210751, 4731.558160382658, 17571.1026163125, 1638.8910181610088, 0.7610450624999998, 0.08289264986826994, 2655.8840816875004, 79.20721230167543, 17131.4457260625, 316.60805743809533, 883.89793625, 3.527406722379897, 4325, 0, 4, 0, 10350001, 0, 400051032.4375, 18149050.587031905, 205950225.125, 5266395.260483194, 616351258.5625, 13869696.683181673, 37199.75, 288.9295978261833, 649.5, 59.719134287094285, 99069.5895335, 5718.303156321105, inf, -nan, 348.83720930232545, 1.1368683772161603e-13, 3121.14525223446, 16.823256673688842, 80960.814773125, 5633.343040482302, 6777.9334173125, 1036.627856015286, 0.17822499999999997, 0.015351971050161605, 1477.299899375, 54.05143742348529, 9747.793357437502, 232.1652312417356, 105.56986125, 0.33430563655255957, 2150, 0, 5.0625, 0.24206145913796356, 5130001, 0, 424116278.5625, 4516613.681740156, 91094102.625, 5261005.631507414, 520340382.1875, 4206356.595163626, 36641.6875, 280.8408621332551, 376.0625, 52.92857067548679, 92468.1824308125, 5100.832262231272, inf, -nan, 697.6744186046509, 2.2737367544323206e-13, 4452.664427484341, 14.080255125399102, 81764.94794306249, 5361.588822507926, 4208.2761415, 979.1673931728822, 0.045667374999999996, 0.002938509015534069, 803.2566263749999, 46.65339643600011, 5678.87817425, 171.54786624571736, 12.77787825, 0.030252461204627577, 1075, 0, 7.625, 0.4841229182759271, 2550001, 0, 436718119.5625, 2698136.6068654205, 48522533.625, 4605108.815238175, 487790654.1875, 2322609.2940824176
30000, 0, 30000, 0, 0, 0, 0, dp_27.000000, 37710.6875, 377.8410245642339, 1153.4375, 85.2767324288988, 124882.01594231252, 5205.286990747605, inf, -nan, 173.4104046242774, 5.684341886080802e-14, 2143.003381004631, 50.06174186471143, 84335.210751, 4731.558160382658, 18475.017701, 3998.56808968918, 0.7408300000000001, 0.08933040715092481, 2655.8840816875004, 79.20721230167543, 18390.061536125, 305.94123909120896, 1025.1010425, 3.1690123465620186, 4671, 0, 3.875, 0.33071891388307384, 10350001, 0, 400051032.4375, 18149050.587031905, 220879760.6875, 17480729.542624116, 631280794.125, 18761487.772454552, 37199.75, 288.9295978261833, 649.5, 59.719134287094285, 100722.10000425, 5706.023475585943, inf, -nan, 348.83720930232545, 1.1368683772161603e-13, 3121.14525223446, 16.823256673688842, 80960.814773125, 5633.343040482302, 7699.699572125001, 836.8810979758682, 0.19103587500000002, 0.02190094381777587, 1477.299899375, 54.05143742348529, 10460.4100323125, 281.73558025420647, 123.68469143749999, 0.6489696092609012, 2322, 0, 5, 0, 5130001, 0, 424116278.5625, 4516613.681740156, 100459140.5, 3224667.5078178407, 529705420.0625, 3089575.5483095986, 36641.6875, 280.8408621332551, 376.0625, 52.92857067548679, 92516.7262135, 5305.109848118644, inf, -nan, 697.6744186046509, 2.2737367544323206e-13, 4452.664427484341, 14.080255125399102, 81764.94794306249, 5361.588822507926, 3853.7023657499994, 458.4280467027523, 0.0468255, 0.006221482650863859, 803.2566263749999, 46.65339643600011, 6079.8102025625, 191.4664520864886, 14.962250249999999, 0.056906122609412434, 1161, 0, 7, 0, 2550001, 0, 436718119.5625, 2698136.6068654205, 49327385.9375, 2059117.3089572403, 488595506.5, 1284852.5190853132
