N_mu, N_sigma, N, MST_Cost_mu, MST_Cost_sigma, MST_Runtime_mu, MST_Runtime_sigma, RunType, C173_MFC_Cost_mu, C173_MFC_Cost_sigma, C173_MFC_Completion_Cost_mu, C173_MFC_Completion_Cost_sigma, C173_MFC_Runtime_mu, C173_MFC_Runtime_sigma, C173_Gamma_mu, C173_Gamma_sigma, C173_Cluster_Size_Mu_mu, C173_Cluster_Size_Mu_sigma, C173_Cluster_Size_Sigma_mu, C173_Cluster_Size_Sigma_sigma, C173_Sub_Clustering_Runtime_mu, C173_Sub_Clustering_Runtime_sigma, C173_Completion_Edges_Runtime_mu, C173_Completion_Edges_Runtime_sigma, C173_Completion_Runtime_mu, C173_Completion_Runtime_sigma, C173_Clustering_Runtime_mu, C173_Clustering_Runtime_sigma, C173_Find_Reps_Runtime_mu, C173_Find_Reps_Runtime_sigma, C173_Pick_Reps_Runtime_mu, C173_Pick_Reps_Runtime_sigma, C173_Rep_Count_mu, C173_Rep_Count_sigma, C173_Reps_Cost_mu, C173_Reps_Cost_sigma, C173_Clustering_Dist_Calls_mu, C173_Clustering_Dist_Calls_sigma, C173_Sub_Clustering_Dist_Calls_mu, C173_Sub_Clustering_Dist_Calls_sigma, C173_MFC_Dist_Calls_mu, C173_MFC_Dist_Calls_sigma, C173_Dist_Calls_mu, C173_Dist_Calls_sigma, C86_MFC_Cost_mu, C86_MFC_Cost_sigma, C86_MFC_Completion_Cost_mu, C86_MFC_Completion_Cost_sigma, C86_MFC_Runtime_mu, C86_MFC_Runtime_sigma, C86_Gamma_mu, C86_Gamma_sigma, C86_Cluster_Size_Mu_mu, C86_Cluster_Size_Mu_sigma, C86_Cluster_Size_Sigma_mu, C86_Cluster_Size_Sigma_sigma, C86_Sub_Clustering_Runtime_mu, C86_Sub_Clustering_Runtime_sigma, C86_Completion_Edges_Runtime_mu, C86_Completion_Edges_Runtime_sigma, C86_Completion_Runtime_mu, C86_Completion_Runtime_sigma, C86_Clustering_Runtime_mu, C86_Clustering_Runtime_sigma, C86_Find_Reps_Runtime_mu, C86_Find_Reps_Runtime_sigma, C86_Pick_Reps_Runtime_mu, C86_Pick_Reps_Runtime_sigma, C86_Rep_Count_mu, C86_Rep_Count_sigma, C86_Reps_Cost_mu, C86_Reps_Cost_sigma, C86_Clustering_Dist_Calls_mu, C86_Clustering_Dist_Calls_sigma, C86_Sub_Clustering_Dist_Calls_mu, C86_Sub_Clustering_Dist_Calls_sigma, C86_MFC_Dist_Calls_mu, C86_MFC_Dist_Calls_sigma, C86_Dist_Calls_mu, C86_Dist_Calls_sigma, C43_MFC_Cost_mu, C43_MFC_Cost_sigma, C43_MFC_Completion_Cost_mu, C43_MFC_Completion_Cost_sigma, C43_MFC_Runtime_mu, C43_MFC_Runtime_sigma, C43_Gamma_mu, C43_Gamma_sigma, C43_Cluster_Size_Mu_mu, C43_Cluster_Size_Mu_sigma, C43_Cluster_Size_Sigma_mu, C43_Cluster_Size_Sigma_sigma, C43_Sub_Clustering_Runtime_mu, C43_Sub_Clustering_Runtime_sigma, C43_Completion_Edges_Runtime_mu, C43_Completion_Edges_Runtime_sigma, C43_Completion_Runtime_mu, C43_Completion_Runtime_sigma, C43_Clustering_Runtime_mu, C43_Clustering_Runtime_sigma, C43_Find_Reps_Runtime_mu, C43_Find_Reps_Runtime_sigma, C43_Pick_Reps_Runtime_mu, C43_Pick_Reps_Runtime_sigma, C43_Rep_Count_mu, C43_Rep_Count_sigma, C43_Reps_Cost_mu, C43_Reps_Cost_sigma, C43_Clustering_Dist_Calls_mu, C43_Clustering_Dist_Calls_sigma, C43_Sub_Clustering_Dist_Calls_mu, C43_Sub_Clustering_Dist_Calls_sigma, C43_MFC_Dist_Calls_mu, C43_MFC_Dist_Calls_sigma, C43_Dist_Calls_mu, C43_Dist_Calls_sigma
30000, 0, 30000, 0, 0, 0, 0, dp_1.000000, 1004369.9375, 11936.84684846018, 27586.375, 867.3228115154127, 270127.6079853125, 81018.5907086334, inf, -nan, 173.4104046242774, 5.684341886080802e-14, 661.4864781135202, 141.89634498333072, 185712.9807425625, 83435.88290002568, 40093.261689625004, 2740.7143443007294, 1.4855509375, 0.06395233700036765, 44176.997017125, 833.8480672252902, 142.871373125, 6.440727169171602, 0.011611937499999999, 0.0006841040188405196, 173, 0, 0, 0, 10350001, 0, 42177113.8125, 18188070.57113488, 9390230.25, 657761.1107092282, 61917345.0625, 17586443.01161405, 1008617.125, 14079.682799494278, 14315.5, 997.5218669282393, 378628.9585616875, 136260.36115196266, inf, -nan, 348.83720930232545, 1.1368683772161603e-13, 1269.3160845437528, 265.94343061099926, 338182.242952, 137804.11660291287, 18620.486556187498, 1776.6762883277881, 0.37869143749999984, 0.026538639099360266, 21679.0881040625, 57.93941217828739, 146.75450918750002, 6.344457335130772, 0.0077488125, 0.0008076590569935743, 86, 0, 0, 0, 5130001, 0, 77538795.0625, 30580089.054212738, 4336021.3125, 395693.7929860852, 87004817.375, 30233178.76528815, 990225.5625, 24077.9648926377, 7701.25, 861.6405500555321, 606354.0434645, 227282.811093276, inf, -nan, 697.6744186046509, 2.2737367544323206e-13, 2331.2040063093664, 502.2924817008659, 587032.3433151251, 228281.10455234945, 8320.009258687502, 1167.9866850550175, 0.08123168750000001, 0.012478369578588534, 10847.1154358125, 138.78781204247144, 154.488929625, 26.808805173175433, 0.005293562499999999, 0.0010916671292540369, 43, 0, 0, 0, 2550001, 0, 132716528.1875, 50287890.44263363, 1934743, 251834.6534424919, 137201272.1875, 50070263.50744963
30000, 0, 30000, 0, 0, 0, 0, dp_11.000000, 996662.1875, 11995.07887228524, 19878.625, 1022.652425985975, 860468.4605044997, 59245.874664069626, inf, -nan, 173.4104046242774, 5.684341886080802e-14, 661.4864781135202, 141.89634498333072, 185712.9807425625, 83435.88290002568, 416165.7602140626, 28586.76489915408, 1.5052013125, 0.07058608289680655, 44176.997017125, 833.8480672252902, 214248.13941250002, 1502.9868066645508, 163.0779169375, 0.7568618279996248, 1903, 0, 10993, 594.4400726734361, 10350001, 0, 42177113.8125, 18188070.57113488, 154975855.75, 7206463.727747988, 207502970.5625, 11897489.81985621, 1004326.625, 14090.270192915927, 10025, 915.1488266943252, 659843.2643815, 123596.35666363957, inf, -nan, 348.83720930232545, 1.1368683772161603e-13, 1269.3160845437528, 265.94343061099926, 338182.242952, 137804.11660291287, 191892.48072118754, 17622.949808131103, 0.4149868125, 0.062129111106649065, 21679.0881040625, 57.93941217828739, 108069.693029, 1069.5671864981, 19.344588437499997, 0.1695771713866462, 946, 0, 8468.9375, 819.5315330075774, 5130001, 0, 77538795.0625, 30580089.054212738, 73388676.3125, 4398384.381388746, 156057472.375, 26737132.767892618, 987819.375, 24028.348918191925, 5295.0625, 730.0930992645732, 738242.7910804375, 219633.45542694896, inf, -nan, 697.6744186046509, 2.2737367544323206e-13, 2331.2040063093664, 502.2924817008659, 587032.3433151251, 228281.10455234945, 84756.2164531875, 10984.734797302297, 0.111075125, 0.024875543139484913, 10847.1154358125, 138.78781204247144, 55604.472667937494, 1348.5168124245076, 2.5321332500000002, 0.08733982958715057, 473, 0, 5155.3125, 695.3902428448, 2550001, 0, 132716528.1875, 50287890.44263363, 33937175.875, 2695591.4619940296, 169203705.0625, 47973557.17732058
30000, 0, 30000, 0, 0, 0, 0, dp_13.000000, 996513.5625, 11978.994985853102, 19730, 1012.2494751789205, 977658.1730667499, 55869.53469689314, inf, -nan, 173.4104046242774, 5.684341886080802e-14, 661.4864781135202, 141.89634498333072, 185712.9807425625, 83435.88290002568, 489590.7114101876, 34273.11286485616, 1.4663755, 0.07273433944413742, 44176.997017125, 833.8480672252902, 257946.74161812494, 3365.266864768017, 229.27590325000003, 0.564933857661729, 2249, 0, 9480.1875, 561.9894592817111, 10350001, 0, 42177113.8125, 18188070.57113488, 184025880.875, 8554650.323615847, 236552995.6875, 10836607.29704908, 1004244.125, 14108.949357920845, 9942.5, 910.3837103112072, 716588.6249881875, 120373.24899686484, inf, -nan, 348.83720930232545, 1.1368683772161603e-13, 1269.3160845437528, 265.94343061099926, 338182.242952, 137804.11660291287, 226575.1286560625, 21017.738128008215, 0.39835881249999994, 0.015521299217602364, 21679.0881040625, 57.93941217828739, 130124.5780143125, 1203.0369659824812, 27.1889029375, 0.13379080430819443, 1118, 0, 7630.75, 775.41638008234, 5130001, 0, 77538795.0625, 30580089.054212738, 87225134.75, 5193754.256962545, 169893930.8125, 26076019.65322101, 987758.625, 24021.319119365093, 5234.3125, 741.4621297434886, 764120.1817455624, 217575.6401697093, inf, -nan, 697.6744186046509, 2.2737367544323206e-13, 2331.2040063093664, 502.2924817008659, 587032.3433151251, 228281.10455234945, 100236.5483143125, 12982.38941513491, 0.1062911875, 0.0118980272325854, 10847.1154358125, 138.78781204247144, 66000.509480125, 638.4855963380794, 3.558909, 0.09050560693611749, 559, 0, 4774.3125, 696.2932857953967, 2550001, 0, 132716528.1875, 50287890.44263363, 40377896.6875, 3211159.494911918, 175644425.875, 47526592.25933257
30000, 0, 30000, 0, 0, 0, 0, dp_15.000000, 996419.75, 11991.220358558174, 19636.1875, 1010.4867155701504, 1095876.9362828124, 50684.975216406914, inf, -nan, 173.4104046242774, 5.684341886080802e-14, 661.4864781135202, 141.89634498333072, 185712.9807425625, 83435.88290002568, 565305.265729, 40287.751181617175, 1.5288469375, 0.08898015852246835, 44176.997017125, 833.8480672252902, 300371.8119591249, 2196.0509320148376, 308.3519880625, 0.441277864222402, 2595, 0, 8249.125, 541.9340221604472, 10350001, 0, 42177113.8125, 18188070.57113488, 213085269.125, 9885981.832055755, 265612383.9375, 9871545.528307151, 1004171.375, 14110.335138981462, 9869.75, 888.4572654326149, 772665.690111375, 117147.02956516533, inf, -nan, 348.83720930232545, 1.1368683772161603e-13, 1269.3160845437528, 265.94343061099926, 338182.242952, 137804.11660291287, 261205.46884949997, 24401.336405629045, 0.41634562500000005, 0.08452808866131054, 21679.0881040625, 57.93941217828739, 151561.6832389375, 1122.341270974264, 36.79062125000001, 0.5250469094729179, 1290, 0, 6929.625, 743.9249689148766, 5130001, 0, 77538795.0625, 30580089.054212738, 100976227.6875, 6072618.909082646, 183645023.75, 25325515.529219076, 987713.25, 24003.81620050237, 5188.9375, 741.3118834834297, 790522.9601803125, 215671.55558299652, inf, -nan, 697.6744186046509, 2.2737367544323206e-13, 2331.2040063093664, 502.2924817008659, 587032.3433151251, 228281.10455234945, 115358.108699875, 15043.866964181554, 0.1036005, 0.0035593815649632168, 10847.1154358125, 138.78781204247144, 77280.55970000001, 1803.9387852286598, 4.729428999999999, 0.0757073149363718, 645, 0, 4455.75, 688.1308469324712, 2550001, 0, 132716528.1875, 50287890.44263363, 46772287.25, 3698465.9314827328, 182038816.4375, 47121665.21793133
30000, 0, 30000, 0, 0, 0, 0, dp_17.000000, 996347.125, 11971.912544968536, 19563.5625, 1006.9830540251162, 1215492.0821118748, 47280.56982659381, inf, -nan, 173.4104046242774, 5.684341886080802e-14, 661.4864781135202, 141.89634498333072, 185712.9807425625, 83435.88290002568, 641294.6158258124, 45313.233548748896, 1.5340638125, 0.0869185042814667, 44176.997017125, 833.8480672252902, 343906.94807987503, 3675.1862255879228, 399.0063826875, 0.7917214700301559, 2941, 0, 7228.75, 516.0581968150492, 10350001, 0, 42177113.8125, 18188070.57113488, 242172620.9375, 11201449.024942845, 294699735.75, 9050470.027871683, 1004114.25, 14093.169566761766, 9812.625, 871.7688107376863, 828716.515741, 115117.78230001013, inf, -nan, 348.83720930232545, 1.1368683772161603e-13, 1269.3160845437528, 265.94343061099926, 338182.242952, 137804.11660291287, 296050.944727875, 27715.99238024236, 0.45126006250000006, 0.19973572425253225, 21679.0881040625, 57.93941217828739, 172756.092627, 1330.2491131480438, 47.696070000000006, 0.549007053933622, 1462, 0, 6326.6875, 717.3138015148949, 5130001, 0, 77538795.0625, 30580089.054212738, 114786375.375, 6843759.054511059, 197455171.4375, 24693468.830472704, 987677.25, 23996.694138203704, 5152.9375, 750.3720301248908, 816687.1386701876, 213988.72181394298, inf, -nan, 697.6744186046509, 2.2737367544323206e-13, 2331.2040063093664, 502.2924817008659, 587032.3433151251, 228281.10455234945, 130773.80202268748, 17328.887248164065, 0.11059912499999998, 0.022524865562515022, 10847.1154358125, 138.78781204247144, 88027.72239912499, 1017.3682300404789, 6.044898312500001, 0.10903002750602624, 731, 0, 4177.9375, 683.1408592623852, 2550001, 0, 132716528.1875, 50287890.44263363, 53179738.625, 4269062.299267762, 188446267.8125, 46626492.793840684
30000, 0, 30000, 0, 0, 0, 0, dp_19.000000, 996292.375, 11978.313022265489, 19508.8125, 1010.5102806719732, 1333004.1411140624, 43236.06414652283, inf, -nan, 173.4104046242774, 5.684341886080802e-14, 661.4864781135202, 141.89634498333072, 185712.9807425625, 83435.88290002568, 715696.336710875, 50925.75105402123, 1.5322709375, 0.08979334380013138, 44176.997017125, 833.8480672252902, 386915.87661112496, 2052.8122465745114, 500.4177614375, 0.5113627480688182, 3287, 0, 6379.5625, 483.3963136948295, 10350001, 0, 42177113.8125, 18188070.57113488, 271279778.5, 12582010.593702154, 323806893.3125, 8270097.9490658, 1004066.9375, 14102.814823062585, 9765.3125, 880.308022707819, 884884.502334, 111995.5167498666, inf, -nan, 348.83720930232545, 1.1368683772161603e-13, 1269.3160845437528, 265.94343061099926, 338182.242952, 137804.11660291287, 330192.7305618751, 30992.11741687126, 0.39824968749999995, 0.02566571303490016, 21679.0881040625, 57.93941217828739, 194769.9454973125, 1663.9028208558843, 60.09696906250001, 0.6797601826989675, 1634, 0, 5802.0625, 693.8208944632253, 5130001, 0, 77538795.0625, 30580089.054212738, 128576053.375, 7658275.723392145, 211244849.4375, 24054371.82743323, 987640.125, 23999.296215917977, 5115.8125, 745.1648491063906, 843058.19790375, 212434.45209643498, inf, -nan, 697.6744186046509, 2.2737367544323206e-13, 2331.2040063093664, 502.2924817008659, 587032.3433151251, 228281.10455234945, 146153.8493548125, 19298.41568314586, 0.11865181250000001, 0.027591539722845185, 10847.1154358125, 138.78781204247144, 99017.2697156875, 1177.5040141718935, 7.501430500000001, 0.13776568757132532, 817, 0, 3934.0625, 682.565699104306, 2550001, 0, 132716528.1875, 50287890.44263363, 59589249.25, 4809458.359341368, 194855778.4375, 46166711.667480074
30000, 0, 30000, 0, 0, 0, 0, dp_21.000000, 996250.4375, 11976.382816656027, 19466.875, 1010.3146709689016, 1452083.4362012502, 41195.38904868329, inf, -nan, 173.4104046242774, 5.684341886080802e-14, 661.4864781135202, 141.89634498333072, 185712.9807425625, 83435.88290002568, 790391.0613899999, 54427.0385919007, 1.531115625, 0.07650820062898078, 44176.997017125, 833.8480672252902, 431187.5822795, 9714.170585101376, 613.2836564375001, 0.5434562400169722, 3633, 0, 5665.375, 460.5117907013891, 10350001, 0, 42177113.8125, 18188070.57113488, 300269778.75, 13857125.370031515, 352796893.5625, 7737982.054955566, 1004027.875, 14104.424850357245, 9726.25, 878.404555145293, 941956.9868638751, 109448.69694958502, inf, -nan, 348.83720930232545, 1.1368683772161603e-13, 1269.3160845437528, 265.94343061099926, 338182.242952, 137804.11660291287, 364790.5039700625, 34050.27964166587, 0.3983919375, 0.012775886424573196, 21679.0881040625, 57.93941217828739, 217230.9602481875, 3857.9959886405845, 73.79319762499999, 0.6245094169325918, 1806, 0, 5339.5625, 671.6107474525329, 5130001, 0, 77538795.0625, 30580089.054212738, 142339990.6875, 8482678.770979341, 225008786.75, 23415940.629295994, 987622.25, 23997.86434378068, 5097.9375, 742.7742312397153, 869252.31710175, 210497.54058458202, inf, -nan, 697.6744186046509, 2.2737367544323206e-13, 2331.2040063093664, 502.2924817008659, 587032.3433151251, 228281.10455234945, 161453.0816399375, 21761.710073874954, 0.10732550000000002, 0.014850902123271836, 10847.1154358125, 138.78781204247144, 109910.485547, 1162.7007314400246, 9.183838375, 0.19644084313186833, 903, 0, 3716, 677.551289571498, 2550001, 0, 132716528.1875, 50287890.44263363, 65971162.125, 5356997.464017388, 201237691.3125, 45707671.17421517
30000, 0, 30000, 0, 0, 0, 0, dp_23.000000, 996214.9375, 11980.751815249065, 19431.375, 1006.9994957173514, 1568702.356517875, 39531.89568511856, inf, -nan, 173.4104046242774, 5.684341886080802e-14, 661.4864781135202, 141.89634498333072, 185712.9807425625, 83435.88290002568, 865455.4142579373, 60761.777714376905, 1.4982579375, 0.02593234469602767, 44176.997017125, 833.8480672252902, 472618.23541706253, 3353.802197523378, 737.23082525, 0.6596496104686392, 3979, 0, 5044.75, 437.0116560230402, 10350001, 0, 42177113.8125, 18188070.57113488, 329221632.0625, 15226738.123796498, 381748746.875, 7343861.104537234, 1003994.0625, 14109.496657698097, 9692.4375, 888.4383046074444, 997166.2967816875, 105906.23511314028, inf, -nan, 348.83720930232545, 1.1368683772161603e-13, 1269.3160845437528, 265.94343061099926, 338182.242952, 137804.11660291287, 399728.58889718755, 38289.68063072152, 0.4103074374999999, 0.06160225410848287, 21679.0881040625, 57.93941217828739, 237486.80632187496, 1457.7413716784852, 89.16019912499999, 0.6894249168312215, 1978, 0, 4930, 646.1958874830449, 5130001, 0, 77538795.0625, 30580089.054212738, 156124629.9375, 9257216.284304332, 238793426, 22765007.469525486, 987612.25, 23998.630404931446, 5087.9375, 741.089777688068, 895861.2166498125, 208484.90034673727, inf, -nan, 697.6744186046509, 2.2737367544323206e-13, 2331.2040063093664, 502.2924817008659, 587032.3433151251, 228281.10455234945, 177068.332804625, 23621.92524887625, 0.10961856250000002, 0.01611585187000966, 10847.1154358125, 138.78781204247144, 120902.2216694375, 1457.255945392773, 11.093806250000002, 0.360794147881361, 989, 0, 3519.125, 670.8442325719138, 2550001, 0, 132716528.1875, 50287890.44263363, 72393300.125, 5861433.6031325115, 207659829.3125, 45277877.82042818
30000, 0, 30000, 0, 0, 0, 0, dp_25.000000, 996191.125, 11981.340831032852, 19407.5625, 1001.398582530328, 1688351.0050395622, 35767.473471036144, inf, -nan, 173.4104046242774, 5.684341886080802e-14, 661.4864781135202, 141.89634498333072, 185712.9807425625, 83435.88290002568, 941687.1498125, 67116.88964275994, 1.5179484375, 0.11412611141680547, 44176.997017125, 833.8480672252902, 515896.3375186875, 2900.4768354219423, 876.02200025, 0.9488835986271853, 4325, 0, 4509.6875, 417.0488159001893, 10350001, 0, 42177113.8125, 18188070.57113488, 358280022.75, 16504630.414023096, 410807137.5625, 7188139.835664614, 1003974.1875, 14103.596027337984, 9672.5625, 885.8282825095109, 1053581.166534, 105081.13042736592, inf, -nan, 348.83720930232545, 1.1368683772161603e-13, 1269.3160845437528, 265.94343061099926, 338182.242952, 137804.11660291287, 434732.0232511876, 40813.60260403, 0.42229674999999994, 0.05868209679653155, 21679.0881040625, 57.93941217828739, 258881.12887000002, 1974.8979789460334, 106.26105999999997, 0.9527013002323974, 2150, 0, 4566.875, 619.0540036014629, 5130001, 0, 77538795.0625, 30580089.054212738, 169832934.6875, 10108408.52411789, 252501730.75, 22186455.0681565, 987601.5625, 23997.379359444516, 5077.25, 747.8874831817952, 922122.092721625, 207113.19193874227, inf, -nan, 697.6744186046509, 2.2737367544323206e-13, 2331.2040063093664, 502.2924817008659, 587032.3433151251, 228281.10455234945, 192339.9353383125, 25681.120955569946, 0.112184625, 0.02754266778762316, 10847.1154358125, 138.78781204247144, 131889.5715985625, 1317.9003044056274, 13.0148491875, 0.2470042811474173, 1075, 0, 3339, 660.731129128937, 2550001, 0, 132716528.1875, 50287890.44263363, 78796522.1875, 6420918.577770368, 214063051.375, 44794215.439290054
30000, 0, 30000, 0, 0, 0, 0, dp_27.000000, 996175.3125, 11980.147503885073, 19391.75, 1005.3247298758745, 1829836.431227375, 97428.51502294168, inf, -nan, 173.4104046242774, 5.684341886080802e-14, 661.4864781135202, 141.89634498333072, 185712.9807425625, 83435.88290002568, 1040801.7594908124, 121620.55752368817, 1.5479173125, 0.09877371994596966, 44176.997017125, 833.8480672252902, 558123.5775817501, 4477.815665398957, 1019.5684778125, 1.112924221475246, 4671, 0, 4041.5625, 395.3340310342002, 10350001, 0, 42177113.8125, 18188070.57113488, 387235790, 17811284.434345484, 439762904.8125, 7290657.776072105, 1003955.4375, 14102.63361915404, 9653.8125, 889.4455589544252, 1109439.3860969373, 102522.34342802904, inf, -nan, 348.83720930232545, 1.1368683772161603e-13, 1269.3160845437528, 265.94343061099926, 338182.242952, 137804.11660291287, 468491.89791481243, 43584.25083667154, 0.44078581250000004, 0.09747892824363297, 21679.0881040625, 57.93941217828739, 280961.6747869375, 1850.1724579621368, 124.04155331249999, 0.8364061597514763, 2322, 0, 4239.5, 596.5305943537179, 5130001, 0, 77538795.0625, 30580089.054212738, 183589941.5, 10926129.792770986, 266258737.5625, 21612758.990588866, 987593.375, 23994.311836024284, 5069.0625, 749.9706218204484, 948981.8871083122, 205558.1895406229, inf, -nan, 697.6744186046509, 2.2737367544323206e-13, 2331.2040063093664, 502.2924817008659, 587032.3433151251, 228281.10455234945, 207560.04314575, 27886.244375571816, 0.10504318750000001, 0.005088723848111996, 10847.1154358125, 138.78781204247144, 143527.125207875, 3108.8959937554873, 15.154960562499998, 0.12505279360082724, 1161, 0, 3174.25, 650.8661056622936, 2550001, 0, 132716528.1875, 50287890.44263363, 85159253.3125, 6913908.2438352555, 220425782.5, 44420480.42168305
