N_mu, N_sigma, N, MST_Cost_mu, MST_Cost_sigma, MST_Runtime_mu, MST_Runtime_sigma, RunType, C173_MFC_Cost_mu, C173_MFC_Cost_sigma, C173_MFC_Completion_Cost_mu, C173_MFC_Completion_Cost_sigma, C173_MFC_Runtime_mu, C173_MFC_Runtime_sigma, C173_Gamma_mu, C173_Gamma_sigma, C173_Cluster_Size_Mu_mu, C173_Cluster_Size_Mu_sigma, C173_Cluster_Size_Sigma_mu, C173_Cluster_Size_Sigma_sigma, C173_Sub_Clustering_Runtime_mu, C173_Sub_Clustering_Runtime_sigma, C173_Completion_Edges_Runtime_mu, C173_Completion_Edges_Runtime_sigma, C173_Completion_Runtime_mu, C173_Completion_Runtime_sigma, C173_Clustering_Runtime_mu, C173_Clustering_Runtime_sigma, C173_Find_Reps_Runtime_mu, C173_Find_Reps_Runtime_sigma, C173_Pick_Reps_Runtime_mu, C173_Pick_Reps_Runtime_sigma, C173_Rep_Count_mu, C173_Rep_Count_sigma, C173_Reps_Cost_mu, C173_Reps_Cost_sigma, C173_Clustering_Dist_Calls_mu, C173_Clustering_Dist_Calls_sigma, C173_Sub_Clustering_Dist_Calls_mu, C173_Sub_Clustering_Dist_Calls_sigma, C173_MFC_Dist_Calls_mu, C173_MFC_Dist_Calls_sigma, C173_Dist_Calls_mu, C173_Dist_Calls_sigma, C86_MFC_Cost_mu, C86_MFC_Cost_sigma, C86_MFC_Completion_Cost_mu, C86_MFC_Completion_Cost_sigma, C86_MFC_Runtime_mu, C86_MFC_Runtime_sigma, C86_Gamma_mu, C86_Gamma_sigma, C86_Cluster_Size_Mu_mu, C86_Cluster_Size_Mu_sigma, C86_Cluster_Size_Sigma_mu, C86_Cluster_Size_Sigma_sigma, C86_Sub_Clustering_Runtime_mu, C86_Sub_Clustering_Runtime_sigma, C86_Completion_Edges_Runtime_mu, C86_Completion_Edges_Runtime_sigma, C86_Completion_Runtime_mu, C86_Completion_Runtime_sigma, C86_Clustering_Runtime_mu, C86_Clustering_Runtime_sigma, C86_Find_Reps_Runtime_mu, C86_Find_Reps_Runtime_sigma, C86_Pick_Reps_Runtime_mu, C86_Pick_Reps_Runtime_sigma, C86_Rep_Count_mu, C86_Rep_Count_sigma, C86_Reps_Cost_mu, C86_Reps_Cost_sigma, C86_Clustering_Dist_Calls_mu, C86_Clustering_Dist_Calls_sigma, C86_Sub_Clustering_Dist_Calls_mu, C86_Sub_Clustering_Dist_Calls_sigma, C86_MFC_Dist_Calls_mu, C86_MFC_Dist_Calls_sigma, C86_Dist_Calls_mu, C86_Dist_Calls_sigma, C43_MFC_Cost_mu, C43_MFC_Cost_sigma, C43_MFC_Completion_Cost_mu, C43_MFC_Completion_Cost_sigma, C43_MFC_Runtime_mu, C43_MFC_Runtime_sigma, C43_Gamma_mu, C43_Gamma_sigma, C43_Cluster_Size_Mu_mu, C43_Cluster_Size_Mu_sigma, C43_Cluster_Size_Sigma_mu, C43_Cluster_Size_Sigma_sigma, C43_Sub_Clustering_Runtime_mu, C43_Sub_Clustering_Runtime_sigma, C43_Completion_Edges_Runtime_mu, C43_Completion_Edges_Runtime_sigma, C43_Completion_Runtime_mu, C43_Completion_Runtime_sigma, C43_Clustering_Runtime_mu, C43_Clustering_Runtime_sigma, C43_Find_Reps_Runtime_mu, C43_Find_Reps_Runtime_sigma, C43_Pick_Reps_Runtime_mu, C43_Pick_Reps_Runtime_sigma, C43_Rep_Count_mu, C43_Rep_Count_sigma, C43_Reps_Cost_mu, C43_Reps_Cost_sigma, C43_Clustering_Dist_Calls_mu, C43_Clustering_Dist_Calls_sigma, C43_Sub_Clustering_Dist_Calls_mu, C43_Sub_Clustering_Dist_Calls_sigma, C43_MFC_Dist_Calls_mu, C43_MFC_Dist_Calls_sigma, C43_Dist_Calls_mu, C43_Dist_Calls_sigma
30000, 0, 30000, 0, 0, 0, 0, dp_1.000000, 30104203.806821108, 47130.25578108057, 226550.0917110443, 6074.495502803425, 56263.5277339375, 10544.67766128169, inf, -nan, 173.4104046242774, 5.684341886080802e-14, 507.39506649445394, 82.22942159662627, 36615.871816687504, 10810.590067493922, 7080.5935130625, 308.29584804212743, 2.0120959375, 0.06539732202895307, 12526.819126562503, 31.391238133562453, 38.220511, 1.2274173716199293, 0.010670687500000001, 0.0008769345556218832, 173, 0, 0, 0, 10350001, 0, 25440444.875, 7295630.255612797, 9665559.25, 426366.08625679585, 45456005.125, 6932980.981958976, 29903652.487172842, 63359.29341181049, 108091.55035972595, 3506.0411766630923, 64568.5668110625, 18194.67591719032, inf, -nan, 348.83720930232545, 1.1368683772161603e-13, 866.2106920604291, 167.17898428021002, 55007.8790414375, 18376.0929526681, 3365.447997125, 198.93643586313294, 0.4181361875, 0.0074856685758416825, 6157.2390323125, 5.711400424532704, 37.575601375, 0.38808340780073836, 0.007002624999999999, 0.000355697532146345, 86, 0, 0, 0, 5130001, 0, 38683158.5, 12600130.655585077, 4666639.4375, 255844.2474663464, 48479798.9375, 12365569.425554922, 29712103.59631896, 62199.336276560054, 52018.94289779663, 2512.0563253250516, 94015.06301593749, 29077.31861473465, inf, -nan, 697.6744186046509, 2.2737367544323206e-13, 1524.0945764435064, 288.5358232261666, 89304.428602375, 29179.89681629995, 1608.7312135, 118.73117609364347, 0.07283662499999999, 0.002687499950581395, 3064.3771008749995, 3.199420932106746, 37.4490101875, 0.8244215892554779, 0.004252374999999999, 0.0004175095620162489, 43, 0, 0, 0, 2550001, 0, 62181636.0625, 19684344.530189715, 2226582.625, 159976.14199970374, 66958219.6875, 19544930.018191773
30000, 0, 30000, 0, 0, 0, 0, dp_11.000000, 30069934.0508883, 48213.72956160846, 192280.3357782364, 4079.065260259722, 186936.4158025, 8835.492507423636, inf, -nan, 173.4104046242774, 5.684341886080802e-14, 507.39506649445394, 82.22942159662627, 36615.871816687504, 10810.590067493922, 70215.2945839375, 2934.206105860848, 2.3807530625, 0.2973844709459601, 12526.819126562503, 31.391238133562453, 67413.43805106249, 549.8666279302869, 162.6114711875, 0.44737593533937114, 1903, 0, 146657.28271484375, 9237.099816636626, 10350001, 0, 25440444.875, 7295630.255612797, 158107893.6875, 4681997.781767492, 193898339.5625, 3954413.845483723, 29886128.774307966, 62796.777923808055, 90567.83749485016, 3398.4078767283045, 128367.2076013125, 16829.569442262622, inf, -nan, 348.83720930232545, 1.1368683772161603e-13, 866.2106920604291, 167.17898428021002, 55007.8790414375, 18376.0929526681, 33744.6339066875, 1821.9979515222203, 0.4592825625, 0.022268431593201486, 6157.2390323125, 5.711400424532704, 33437.80016418751, 161.98383395494866, 19.196174125, 0.19974478792632946, 946, 0, 104200.134765625, 6176.90698950942, 5130001, 0, 38683158.5, 12600130.655585077, 77039927.5625, 2740873.451467683, 120853087.0625, 10093290.953878284, 29703955.454620123, 63012.32480885475, 43870.80119895935, 1769.2597783573283, 125345.18963781251, 28319.883413420182, inf, -nan, 697.6744186046509, 2.2737367544323206e-13, 1524.0945764435064, 288.5358232261666, 89304.428602375, 29179.89681629995, 15991.855758375, 1170.2359054046087, 0.0933688125, 0.0050039357537186415, 3064.3771008749995, 3.199420932106746, 16981.997370812504, 203.6459793349886, 2.4374365625, 0.07494873936061959, 473, 0, 69943.74829101562, 5737.226604989935, 2550001, 0, 62181636.0625, 19684344.530189715, 37174368.25, 1771470.7696616992, 101906005.3125, 18234642.921833158
30000, 0, 30000, 0, 0, 0, 0, dp_13.000000, 30068020.85035348, 48157.039182123495, 190367.13524341583, 4279.933420847842, 212655.448477625, 8266.268616132887, inf, -nan, 173.4104046242774, 5.684341886080802e-14, 507.39506649445394, 82.22942159662627, 36615.871816687504, 10810.590067493922, 82615.122514, 3643.2903871944523, 2.2064233124999997, 0.18500368143827528, 12526.819126562503, 31.391238133562453, 80666.13401768751, 498.06744135877665, 229.29457937499998, 1.171328686735223, 2249, 0, 132530.67236328125, 9230.66801250363, 10350001, 0, 25440444.875, 7295630.255612797, 187764483.75, 5600474.659184942, 223554929.625, 3721433.801599271, 29884879.910217047, 62713.33476567101, 89318.97340393066, 3530.5998361445536, 141167.23130500002, 16562.911901999225, inf, -nan, 348.83720930232545, 1.1368683772161603e-13, 866.2106920604291, 167.17898428021002, 55007.8790414375, 18376.0929526681, 39837.7424181875, 2141.9832446215983, 0.4662699375, 0.018420398643449437, 6157.2390323125, 5.711400424532704, 40136.8531005, 205.4431319286836, 27.051442625, 0.17525324594136407, 1118, 0, 97283.4931640625, 6107.7557253945615, 5130001, 0, 38683158.5, 12600130.655585077, 91543363.0625, 3224580.4809589856, 135356522.5625, 9673283.65081253, 29703385.859809637, 63009.69424828505, 43301.20638847351, 1801.578587943972, 131548.1354033125, 28175.38083344703, inf, -nan, 697.6744186046509, 2.2737367544323206e-13, 1524.0945764435064, 288.5358232261666, 89304.428602375, 29179.89681629995, 18843.9616698125, 1394.5066492776182, 0.09421175, 0.00632798420213736, 3064.3771008749995, 3.199420932106746, 20331.8398745625, 221.04078844005937, 3.4339439375000005, 0.06700356122015903, 559, 0, 66410.26025390625, 5871.671980154295, 2550001, 0, 62181636.0625, 19684344.530189715, 44124548.375, 2095836.6535885758, 108856185.4375, 17953478.272257213
30000, 0, 30000, 0, 0, 0, 0, dp_15.000000, 30066607.569582224, 48148.839012443146, 188953.85447216034, 4307.560761282187, 238623.9167456875, 7863.68476611226, inf, -nan, 173.4104046242774, 5.684341886080802e-14, 507.39506649445394, 82.22942159662627, 36615.871816687504, 10810.590067493922, 95204.5745934375, 4213.2398026882665, 2.1994084375, 0.06907956444652136, 12526.819126562503, 31.391238133562453, 93966.26969087501, 543.7918869799753, 308.1821096875, 0.8412152920085849, 2595, 0, 120884.99755859375, 9104.791217901698, 10350001, 0, 25440444.875, 7295630.255612797, 217500774.4375, 6468360.67744817, 253291220.3125, 3660803.570243829, 29883852.149909735, 62763.78618058009, 88291.21309661865, 3591.7310635549798, 153872.5394796875, 16364.274548099165, inf, -nan, 348.83720930232545, 1.1368683772161603e-13, 866.2106920604291, 167.17898428021002, 55007.8790414375, 18376.0929526681, 45860.5600173125, 2375.008051937985, 0.45789700000000005, 0.02240546867117491, 6157.2390323125, 5.711400424532704, 46809.8746300625, 211.63150674767962, 36.5288615625, 0.19362934605353951, 1290, 0, 91430.0234375, 6178.159433379243, 5130001, 0, 38683158.5, 12600130.655585077, 105930372.75, 3552999.5577030843, 149743532.25, 9368796.42975161, 29702849.458976507, 63103.544054988786, 42764.80555534363, 1658.1169202329495, 137785.36462225, 28015.849283987944, inf, -nan, 697.6744186046509, 2.2737367544323206e-13, 1524.0945764435064, 288.5358232261666, 89304.428602375, 29179.89681629995, 21747.529364749997, 1580.5585869048919, 0.09487912500000001, 0.006358811060990489, 3064.3771008749995, 3.199420932106746, 23664.338995374997, 200.68497913404258, 4.5956797499999995, 0.09521529180855093, 645, 0, 63312.483642578125, 6040.1894426152085, 2550001, 0, 62181636.0625, 19684344.530189715, 51153006.875, 2397916.43014503, 115884643.9375, 17703976.908663783
30000, 0, 30000, 0, 0, 0, 0, dp_17.000000, 30065064.773420572, 47942.664385238815, 187411.05831050873, 4635.574641360821, 264662.81607456255, 7408.379645561163, inf, -nan, 173.4104046242774, 5.684341886080802e-14, 507.39506649445394, 82.22942159662627, 36615.871816687504, 10810.590067493922, 107781.6932938125, 4831.487321970786, 2.1651629999999997, 0.050058078059390165, 12526.819126562503, 31.391238133562453, 107337.65703231249, 535.0230682367702, 398.60964218750007, 1.1285235460629683, 2941, 0, 111004.09130859375, 8776.170203549125, 10350001, 0, 25440444.875, 7295630.255612797, 247211316.4375, 7338170.443153814, 283001762.3125, 3794822.443769878, 29882977.336353064, 62855.34717203282, 87416.39953994751, 3565.0169833930177, 166711.236459875, 16165.055625477089, inf, -nan, 348.83720930232545, 1.1368683772161603e-13, 866.2106920604291, 167.17898428021002, 55007.8790414375, 18376.0929526681, 51964.8572301875, 2659.6499382699612, 0.46886425000000004, 0.008315393710612873, 6157.2390323125, 5.711400424532704, 53533.2845855, 285.16811966128984, 47.507706187500006, 0.20296067861848957, 1462, 0, 86266.0712890625, 6209.179213076866, 5130001, 0, 38683158.5, 12600130.655585077, 120415003.875, 4026376.0637944452, 164228163.375, 8963820.696018446, 29702315.64046836, 62928.51299353312, 42230.987047195435, 1704.6346665988156, 144176.345365, 27855.56358403534, inf, -nan, 697.6744186046509, 2.2737367544323206e-13, 1524.0945764435064, 288.5358232261666, 89304.428602375, 29179.89681629995, 24696.3465943125, 1793.239878576827, 0.10082506250000002, 0.007626073739716511, 3064.3771008749995, 3.199420932106746, 27105.210112125, 276.9554673028753, 5.882130250000001, 0.07720364972307003, 731, 0, 60623.82958984375, 6076.579541635803, 2550001, 0, 62181636.0625, 19684344.530189715, 58234586.625, 2717527.2586162514, 122966223.6875, 17430091.354770247
30000, 0, 30000, 0, 0, 0, 0, dp_19.000000, 30063649.39487672, 48073.489859784415, 185995.67976665497, 4649.868746992475, 290691.24745549995, 7042.783747083157, inf, -nan, 173.4104046242774, 5.684341886080802e-14, 507.39506649445394, 82.22942159662627, 36615.871816687504, 10810.590067493922, 120345.8348119375, 5452.133322752513, 2.1753478125, 0.04487012576205184, 12526.819126562503, 31.391238133562453, 120700.3685835625, 587.9103792423763, 500.17776893750005, 1.071824312359154, 3287, 0, 102312.1103515625, 8529.050299181783, 10350001, 0, 25440444.875, 7295630.255612797, 276815047.6875, 8304618.916150373, 312605493.5625, 4129782.1896438426, 29882330.881767035, 62901.69424901771, 86769.94495391846, 3507.1496499423615, 179570.48621256248, 15902.261928550246, inf, -nan, 348.83720930232545, 1.1368683772161603e-13, 866.2106920604291, 167.17898428021002, 55007.8790414375, 18376.0929526681, 58088.05939100002, 3006.45144285224, 0.4724795625, 0.023226057973665986, 6157.2390323125, 5.711400424532704, 60256.969363375, 386.0247809569255, 59.866904875, 0.12596853349342566, 1634, 0, 81636.5703125, 6228.664818406235, 5130001, 0, 38683158.5, 12600130.655585077, 134938039.8125, 4561691.206661834, 178751199.3125, 8518851.528206853, 29701865.95224738, 63032.75919952314, 41781.29882621765, 1762.4127991598325, 150319.5219908125, 27808.426746732828, inf, -nan, 697.6744186046509, 2.2737367544323206e-13, 1524.0945764435064, 288.5358232261666, 89304.428602375, 29179.89681629995, 27515.347355687503, 1955.905855002773, 0.0940475, 0.006425700973434726, 3064.3771008749995, 3.199420932106746, 30427.8886295, 304.2623127817831, 7.386254874999999, 0.04038873043138861, 817, 0, 58188.357421875, 6121.573750033346, 2550001, 0, 62181636.0625, 19684344.530189715, 65163262.8125, 2986559.7997345584, 129894899.875, 17262928.18339814
30000, 0, 30000, 0, 0, 0, 0, dp_21.000000, 30062544.251125574, 48114.63337272117, 184890.53601551056, 4709.232743441067, 316844.87713587505, 6719.106249422698, inf, -nan, 173.4104046242774, 5.684341886080802e-14, 507.39506649445394, 82.22942159662627, 36615.871816687504, 10810.590067493922, 133017.56761006248, 6072.390301352761, 2.212501562500001, 0.10754910582669248, 12526.819126562503, 31.391238133562453, 134069.8008374375, 658.2608962784869, 612.6052435625, 1.0330738775542605, 3633, 0, 94533.62744140625, 8292.866695817846, 10350001, 0, 25440444.875, 7295630.255612797, 306548217.25, 9170618.38770568, 342338663.125, 4616604.809845824, 29881696.059793234, 62913.99310656162, 86135.1229801178, 3357.539684721025, 192354.21523524998, 15748.717997646198, inf, -nan, 348.83720930232545, 1.1368683772161603e-13, 866.2106920604291, 167.17898428021002, 55007.8790414375, 18376.0929526681, 64166.1324099375, 3308.3962072654112, 0.468338125, 0.015009744942349123, 6157.2390323125, 5.711400424532704, 66948.74598225, 418.90686498259095, 73.7504311875, 0.12367404883615489, 1806, 0, 77478.3056640625, 6219.245947847665, 5130001, 0, 38683158.5, 12600130.655585077, 149369695.3125, 5010458.054619829, 193182854.8125, 8215234.117941718, 29701352.353093863, 62984.14208807813, 41267.699672698975, 1846.3451203903958, 156615.18922087498, 27674.245205055337, inf, -nan, 697.6744186046509, 2.2737367544323206e-13, 1524.0945764435064, 288.5358232261666, 89304.428602375, 29179.89681629995, 30452.078442249993, 2129.755014625237, 0.11280412499999999, 0.050153380256064244, 3064.3771008749995, 3.199420932106746, 33785.1749755625, 327.6478312014266, 9.017295687499999, 0.055761768620756755, 903, 0, 56006.2080078125, 6110.073133470867, 2550001, 0, 62181636.0625, 19684344.530189715, 72227789.625, 3286814.0866023446, 136959426.6875, 17006653.77921425
30000, 0, 30000, 0, 0, 0, 0, dp_23.000000, 30061645.488580942, 48050.21007725722, 183991.7734708786, 4806.04016014843, 343003.60334075004, 6592.316852028914, inf, -nan, 173.4104046242774, 5.684341886080802e-14, 507.39506649445394, 82.22942159662627, 36615.871816687504, 10810.590067493922, 145681.0576831875, 6600.940359367009, 2.2073849375, 0.06773822489229105, 12526.819126562503, 31.391238133562453, 147441.42372037497, 756.1794893304657, 736.2236089999999, 0.902664566362544, 3979, 0, 87491.67529296875, 8061.3957526295835, 10350001, 0, 25440444.875, 7295630.255612797, 336270438.9375, 10022443.602521071, 372060884.8125, 5223093.858123104, 29881233.594777822, 62954.84047739126, 85672.65796470642, 3427.6355424720405, 205129.97812137497, 15498.268594410498, inf, -nan, 348.83720930232545, 1.1368683772161603e-13, 866.2106920604291, 167.17898428021002, 55007.8790414375, 18376.0929526681, 70271.0873601875, 3595.8872771125402, 0.4682435, 0.00887564183594628, 6157.2390323125, 5.711400424532704, 73604.33721818749, 408.7248328460768, 88.96722574999998, 0.1653755445317938, 1978, 0, 73718.1376953125, 6312.285793276766, 5130001, 0, 38683158.5, 12600130.655585077, 163863195.375, 5501400.173646566, 207676354.875, 7840134.000575491, 29701059.591567755, 62877.09894852915, 40974.93814659119, 1838.38568901061, 162894.52265618753, 27500.502643597316, inf, -nan, 697.6744186046509, 2.2737367544323206e-13, 1524.0945764435064, 288.5358232261666, 89304.428602375, 29179.89681629995, 33346.42629175, 2361.8636821587015, 0.1013926875, 0.007624152344021186, 3064.3771008749995, 3.199420932106746, 37168.3089644375, 382.62270496459234, 10.8803040625, 0.08513909694983611, 989, 0, 54033.946044921875, 6099.286501381128, 2550001, 0, 62181636.0625, 19684344.530189715, 79199201.0625, 3611695.603256825, 143930838.125, 16760650.298165377
30000, 0, 30000, 0, 0, 0, 0, dp_25.000000, 30060878.982637644, 47937.32712232151, 183225.26752758026, 4965.036998900385, 369183.7334775, 6346.48750062159, inf, -nan, 173.4104046242774, 5.684341886080802e-14, 507.39506649445394, 82.22942159662627, 36615.871816687504, 10810.590067493922, 158325.64747749997, 7135.7493124460825, 2.2110589375, 0.0888108391353982, 12526.819126562503, 31.391238133562453, 160838.8374505625, 813.1014177297365, 874.34654725, 1.1475807114152954, 4325, 0, 81180.82568359375, 7777.856929255635, 10350001, 0, 25440444.875, 7295630.255612797, 365970562.0625, 10865158.735903898, 401761007.9375, 5849498.363753441, 29880771.734775305, 63029.203989879505, 85210.79796218872, 3443.551864431633, 218045.47001081248, 15279.22483083342, inf, -nan, 348.83720930232545, 1.1368683772161603e-13, 866.2106920604291, 167.17898428021002, 55007.8790414375, 18376.0929526681, 76363.15375187501, 3965.21588760742, 0.4693381875, 0.008431499327067734, 6157.2390323125, 5.711400424532704, 80410.885271125, 552.7831462176051, 105.843575875, 0.22818085139803804, 2150, 0, 70374.71655273438, 6446.170394700186, 5130001, 0, 38683158.5, 12600130.655585077, 178323988, 6030598.909541728, 222137147.5, 7439436.566777739, 29700688.58801055, 62901.91840048658, 40603.934589385986, 1951.1823993566134, 169192.98981525004, 27274.54804543685, inf, -nan, 697.6744186046509, 2.2737367544323206e-13, 1524.0945764435064, 288.5358232261666, 89304.428602375, 29179.89681629995, 36242.5349094375, 2582.0918897950355, 0.10346781249999998, 0.00698282826133822, 3064.3771008749995, 3.199420932106746, 40568.681830875, 385.0057394183964, 12.863903875000002, 0.12306714405298982, 1075, 0, 52231.333251953125, 6047.891998054836, 2550001, 0, 62181636.0625, 19684344.530189715, 86222311.0625, 3949201.4575804193, 150953948.125, 16495889.963698989
30000, 0, 30000, 0, 0, 0, 0, dp_27.000000, 30060133.916908503, 47724.03451903284, 182480.20179843903, 4995.039801308286, 395426.89230356255, 6189.0916152820455, inf, -nan, 173.4104046242774, 5.684341886080802e-14, 507.39506649445394, 82.22942159662627, 36615.871816687504, 10810.590067493922, 171020.0846955625, 7712.756370800784, 2.1866625, 0.06834303631954755, 12526.819126562503, 31.391238133562453, 174244.763433, 922.1995346289752, 1017.1665692500002, 1.1868014453989557, 4671, 0, 75489.765625, 7501.360027414172, 10350001, 0, 25440444.875, 7295630.255612797, 395699807.1875, 11726016.090067767, 431490253.0625, 6554471.877428116, 29880263.130638838, 62970.467797787715, 84702.19382572174, 3553.1259243323693, 230741.8730521875, 14994.034031956378, inf, -nan, 348.83720930232545, 1.1368683772161603e-13, 866.2106920604291, 167.17898428021002, 55007.8790414375, 18376.0929526681, 82449.7838383125, 4313.794001734088, 0.466875375, 0.013843858303752432, 6157.2390323125, 5.711400424532704, 87002.8225643125, 538.3510515728191, 123.6817004375, 0.2485785000970446, 2322, 0, 67298.01196289062, 6580.328797167768, 5130001, 0, 38683158.5, 12600130.655585077, 192774553.5625, 6566378.990139734, 236587713.0625, 7120523.505351744, 29700500.71994567, 62919.568875760284, 40416.066524505615, 1920.1851626221976, 175443.81110925, 27120.740686220684, inf, -nan, 697.6744186046509, 2.2737367544323206e-13, 1524.0945764435064, 288.5358232261666, 89304.428602375, 29179.89681629995, 39136.281002749995, 2784.626008286164, 0.0998358125, 0.006616245774783746, 3064.3771008749995, 3.199420932106746, 43923.57937787501, 417.049724442262, 15.045189562500001, 0.060545292851683266, 1161, 0, 50561.076904296875, 6019.846301044938, 2550001, 0, 62181636.0625, 19684344.530189715, 93228714.5, 4283726.215560657, 157960351.5625, 16190663.225852856
