N, N, MST_Cost, MST_Runtime, C16_MFC_Cost, C16_MFC_Runtime, C16_Gamma, C16_Cluster_Size_Mu, C16_Cluster_Size_Sigma, C16_Sub_Clustering_Runtime, C16_Completion_Edges_Runtime, C16_Completion_Runtime, C16_Clustering_Runtime, C32_MFC_Cost, C32_MFC_Runtime, C32_Gamma, C32_Cluster_Size_Mu, C32_Cluster_Size_Sigma, C32_Sub_Clustering_Runtime, C32_Completion_Edges_Runtime, C32_Completion_Runtime, C32_Clustering_Runtime, C64_MFC_Cost, C64_MFC_Runtime, C64_Gamma, C64_Cluster_Size_Mu, C64_Cluster_Size_Sigma, C64_Sub_Clustering_Runtime, C64_Completion_Edges_Runtime, C64_Completion_Runtime, C64_Clustering_Runtime, C128_MFC_Cost, C128_MFC_Runtime, C128_Gamma, C128_Cluster_Size_Mu, C128_Cluster_Size_Sigma, C128_Sub_Clustering_Runtime, C128_Completion_Edges_Runtime, C128_Completion_Runtime, C128_Clustering_Runtime, C256_MFC_Cost, C256_MFC_Runtime, C256_Gamma, C256_Cluster_Size_Mu, C256_Cluster_Size_Sigma, C256_Sub_Clustering_Runtime, C256_Completion_Edges_Runtime, C256_Completion_Runtime, C256_Clustering_Runtime
39774, 39774, 24054.69905269146, 1388064.530036, 25009.158248066902, 316119.85894, 1.770447438503872, 2485.875, 3799.8237603045486, 312792.167104, 1312.584105, 0.012674, 1757.147417, 25269.58367049694, 212775.898037, 2.014225970306301, 1242.9375, 2311.597187788943, 206595.244865, 2829.765594, 0.03717, 3299.40395, 25472.777544140816, 159747.580204, 2.221820744008291, 621.46875, 1397.6775263892016, 147506.787927, 6133.665976, 0.127258, 6055.243403, 25703.646727859974, 139281.746668, 2.421336275012754, 310.734375, 878.6607038944893, 115009.137243, 12794.045408, 0.606165, 11421.503424, 26203.543767273426, 88989.221867, 3.1440393307161627, 155.3671875, 318.4887623383906, 31593.100633, 28806.62549, 2.626469, 28526.90297
39774, 39774, 24054.69905269146, 1489310.946651, 25113.500695586205, 152014.013529, 1.8818636369894288, 2485.875, 2025.265904609812, 148384.674576, 1773.42294, 0.012584, 1780.784516, 25302.2165748477, 117132.877648, 2.066348744717577, 1242.9375, 1469.1203136890288, 110039.139146, 3710.36601, 0.049312, 3330.325136, 25533.606063187122, 102179.968028, 2.259777579212358, 621.46875, 1027.921932358405, 88293.427033, 7602.682133, 0.139672, 6222.136669, 25792.20669001341, 99538.116182, 2.4917780670843763, 310.734375, 691.9946202416312, 73047.404921, 14938.978111, 0.778128, 11484.82382, 26201.018781602383, 85710.333836, 3.139627264796956, 155.3671875, 297.43662326761284, 27272.872875, 29785.091315, 4.793218, 28550.418161
39774, 39774, 24054.69905269146, 1489848.439517, 25064.64164876938, 227857.601215, 1.8202052149660963, 2485.875, 3109.1008924406106, 224590.854765, 1453.391572, 0.01083, 1736.144698, 25323.528627753258, 163870.828976, 2.0579250491659122, 1242.9375, 1989.2477839861353, 156841.075078, 3475.740744, 0.052609, 3501.102835, 25537.813740611076, 129294.920734, 2.2426594203987666, 621.46875, 1260.412171780897, 115687.511683, 7201.335082, 0.158356, 6349.878624, 25743.73863619566, 117715.595229, 2.409547469645152, 310.734375, 810.5370372896969, 90840.531632, 15201.573486, 0.659074, 11603.959401, 26123.788678586483, 94289.551733, 2.9747048301760235, 155.3671875, 354.0135032535339, 34652.89739, 29822.863845, 2.39759, 29751.923503
39774, 39774, 24054.69905269146, 1489185.896275, 25146.106403529644, 174205.262528, 1.9442530081662412, 2485.875, 2389.5582194989515, 170570.016459, 1766.655766, 0.024155, 1792.297189, 25318.916039943695, 132239.528662, 2.1046689771210394, 1242.9375, 1654.7617830351746, 125038.51987, 3829.305023, 0.043862, 3304.935997, 25555.116551160812, 97720.809066, 2.3290828660692604, 621.46875, 1003.6736734484159, 83307.632828, 7961.218977, 0.152786, 6380.019495, 25789.111268877983, 91119.702488, 2.5476481818978725, 310.734375, 650.059714617326, 63698.006633, 15897.92516, 0.52323, 11447.47896, 26227.880691230297, 83740.268738, 3.249191733923863, 155.3671875, 273.8854080374488, 23430.156413, 31066.294984, 2.344742, 29180.501714
39774, 39774, 24054.69905269146, 1481026.263071, 25061.48414349556, 264374.456988, 1.810598048639745, 2485.875, 3394.054100095489, 259507.817861, 1473.419284, 0.013736, 3099.634464, 25312.36616128683, 176924.308822, 2.046484773273935, 1242.9375, 2033.4521130564522, 170303.493238, 3333.373252, 0.044153, 3235.480911, 25529.809467732906, 139940.515302, 2.2347178446830966, 621.46875, 1284.2147523967467, 126835.762969, 6722.35085, 0.128912, 6320.689133, 25738.735074579716, 135545.330033, 2.4003157589196387, 310.734375, 874.3121446705172, 110135.488543, 13909.533964, 0.676747, 11446.136877, 26147.955953657627, 93379.1461, 3.0557219615088345, 155.3671875, 342.82590267997523, 34137.493552, 29638.521421, 2.800626, 29541.536663
39774, 39774, 24054.69905269146, 1420751.201581, 25037.026808917522, 302662.366044, 1.7600549328630894, 2485.875, 3679.6025749223245, 299515.860644, 1349.476605, 0.013265, 1705.783028, 25230.224445939064, 204899.903138, 1.9385232891336555, 1242.9375, 2239.545460823189, 198779.20761, 2852.445985, 0.038843, 3194.760231, 25453.863352298737, 152062.573113, 2.1524882213452816, 621.46875, 1361.602582537738, 139359.923634, 6478.214771, 0.185457, 6170.979113, 25654.347402215004, 140996.891315, 2.330188845672372, 310.734375, 900.8782909296679, 116264.116652, 13298.424345, 0.594614, 11377.659228, 26147.647902607918, 85229.940774, 3.0932780547290957, 155.3671875, 296.4797202986063, 26586.421964, 29300.917873, 2.707542, 29280.284991
39774, 39774, 24054.69905269146, 1472112.296661, 25034.963648617268, 258497.345757, 1.7490931630990487, 2485.875, 3249.772008830004, 255173.523918, 1530.092098, 0.012664, 1735.145826, 25212.739085555077, 195913.952104, 1.8989946613817943, 1242.9375, 2169.161818789403, 189531.565147, 3128.37036, 0.050394, 3200.831302, 25392.808193802834, 169771.179425, 2.028652494110048, 621.46875, 1461.3311992917409, 156867.626182, 6653.136772, 0.129863, 6193.201875, 25608.500985860825, 155420.288027, 2.190782392869151, 310.734375, 959.9511501599231, 130329.12576, 13720.263272, 0.583182, 11311.387231, 26166.56139063835, 95130.362094, 3.0421744087697893, 155.3671875, 355.49718421647145, 36859.146273, 29130.547924, 2.689057, 29081.680617
39774, 39774, 24054.69905269146, 1407208.714889, 25063.58838802576, 264631.283046, 1.8151291294609135, 2485.875, 3213.5796021531814, 261009.244871, 1761.576062, 0.057768, 1730.886765, 25249.351775825024, 176620.704783, 1.9783449397824777, 1242.9375, 2002.1654829443419, 169467.911798, 3725.765916, 0.051828, 3342.0606, 25458.193185150623, 160347.272756, 2.139567795185171, 621.46875, 1407.1108139636472, 146294.86729, 7746.195687, 0.17619, 6218.825118, 25669.944193542004, 152026.061577, 2.339065979827666, 310.734375, 940.0140830425677, 124948.755153, 15509.521551, 0.704539, 11484.916028, 26066.206989645958, 98821.122039, 2.904813793678412, 155.3671875, 364.99512777342636, 39150.854342, 30692.828468, 5.629836, 28901.340056
39774, 39774, 24054.69905269146, 1412334.681063, 25144.98114156723, 219037.754674, 1.9010023792103523, 2485.875, 2805.8832806043447, 215212.930426, 1834.363908, 0.014858, 1922.095767, 25381.31559830904, 136288.437734, 2.1678749998086624, 1242.9375, 1663.8342190836652, 129124.423449, 3726.531478, 0.041578, 3367.265232, 25578.9689091444, 114258.04039, 2.3621849088602986, 621.46875, 1116.5886799862506, 100814.320881, 7386.764264, 0.17668, 6004.561634, 25769.312015891075, 109419.256011, 2.533175809034388, 310.734375, 743.9658036115366, 83021.668165, 15045.67075, 0.665928, 11295.983109, 26150.255926311016, 88004.973293, 3.1135910208296225, 155.3671875, 312.50003427734185, 29698.584456, 29982.510693, 2.667987, 28263.593153
39774, 39774, 24054.69905269146, 1480711.521325, 25082.42284977436, 200491.243818, 1.84223506115609, 2485.875, 2672.7268349711685, 195230.615585, 1747.365638, 0.021591, 3435.481516, 25271.35293275118, 148841.578805, 2.0201294672588257, 1242.9375, 1821.1232615047643, 141600.686014, 3659.494349, 0.039885, 3511.235088, 25527.789526462555, 123950.767914, 2.250468317666361, 621.46875, 1190.9879823169658, 110520.216425, 7083.139709, 0.204082, 6293.394208, 25747.12632715702, 111012.803667, 2.440333380082441, 310.734375, 762.2704724658822, 85070.63487, 14274.333018, 0.48559, 11612.261547, 26196.43651777506, 86916.104753, 3.164928774367847, 155.3671875, 296.6660809914741, 26915.90199, 30933.350561, 2.647238, 29006.653282
