N_mu, N_sigma, N, MST_Cost_mu, MST_Cost_sigma, MST_Runtime_mu, MST_Runtime_sigma, C16_MFC_Cost_mu, C16_MFC_Cost_sigma, C16_MFC_Runtime_mu, C16_MFC_Runtime_sigma, C16_Gamma_mu, C16_Gamma_sigma, C16_Cluster_Size_Mu_mu, C16_Cluster_Size_Mu_sigma, C16_Cluster_Size_Sigma_mu, C16_Cluster_Size_Sigma_sigma, C16_Sub_Clustering_Runtime_mu, C16_Sub_Clustering_Runtime_sigma, C16_Completion_Edges_Runtime_mu, C16_Completion_Edges_Runtime_sigma, C16_Completion_Runtime_mu, C16_Completion_Runtime_sigma, C16_Clustering_Runtime_mu, C16_Clustering_Runtime_sigma, C32_MFC_Cost_mu, C32_MFC_Cost_sigma, C32_MFC_Runtime_mu, C32_MFC_Runtime_sigma, C32_Gamma_mu, C32_Gamma_sigma, C32_Cluster_Size_Mu_mu, C32_Cluster_Size_Mu_sigma, C32_Cluster_Size_Sigma_mu, C32_Cluster_Size_Sigma_sigma, C32_Sub_Clustering_Runtime_mu, C32_Sub_Clustering_Runtime_sigma, C32_Completion_Edges_Runtime_mu, C32_Completion_Edges_Runtime_sigma, C32_Completion_Runtime_mu, C32_Completion_Runtime_sigma, C32_Clustering_Runtime_mu, C32_Clustering_Runtime_sigma, C64_MFC_Cost_mu, C64_MFC_Cost_sigma, C64_MFC_Runtime_mu, C64_MFC_Runtime_sigma, C64_Gamma_mu, C64_Gamma_sigma, C64_Cluster_Size_Mu_mu, C64_Cluster_Size_Mu_sigma, C64_Cluster_Size_Sigma_mu, C64_Cluster_Size_Sigma_sigma, C64_Sub_Clustering_Runtime_mu, C64_Sub_Clustering_Runtime_sigma, C64_Completion_Edges_Runtime_mu, C64_Completion_Edges_Runtime_sigma, C64_Completion_Runtime_mu, C64_Completion_Runtime_sigma, C64_Clustering_Runtime_mu, C64_Clustering_Runtime_sigma, C128_MFC_Cost_mu, C128_MFC_Cost_sigma, C128_MFC_Runtime_mu, C128_MFC_Runtime_sigma, C128_Gamma_mu, C128_Gamma_sigma, C128_Cluster_Size_Mu_mu, C128_Cluster_Size_Mu_sigma, C128_Cluster_Size_Sigma_mu, C128_Cluster_Size_Sigma_sigma, C128_Sub_Clustering_Runtime_mu, C128_Sub_Clustering_Runtime_sigma, C128_Completion_Edges_Runtime_mu, C128_Completion_Edges_Runtime_sigma, C128_Completion_Runtime_mu, C128_Completion_Runtime_sigma, C128_Clustering_Runtime_mu, C128_Clustering_Runtime_sigma, C256_MFC_Cost_mu, C256_MFC_Cost_sigma, C256_MFC_Runtime_mu, C256_MFC_Runtime_sigma, C256_Gamma_mu, C256_Gamma_sigma, C256_Cluster_Size_Mu_mu, C256_Cluster_Size_Mu_sigma, C256_Cluster_Size_Sigma_mu, C256_Cluster_Size_Sigma_sigma, C256_Sub_Clustering_Runtime_mu, C256_Sub_Clustering_Runtime_sigma, C256_Completion_Edges_Runtime_mu, C256_Completion_Edges_Runtime_sigma, C256_Completion_Runtime_mu, C256_Completion_Runtime_sigma, C256_Clustering_Runtime_mu, C256_Clustering_Runtime_sigma
500, 0, 500, 649013.1774921417, 8381.023435033336, 173.27208937499998, 0.5938342964601814, 668656.3245792389, 8824.01522140606, 51.442992312499996, 4.909315090112261, 1.2769656780275203, 0.05141087794929137, 31.25, 0, 35.42345534067621, 6.515539058828336, 24.162884312500005, 5.275453122463507, 8.715907499999998, 0.48413903831724825, 0.009736937499999999, 0.0005076560682132641, 18.398564249999996, 0.014574057085708421, 671278.9902095795, 8511.948693954479, 70.425345875, 1.5337212533800704, 1.3350086751564332, 0.036358709724022005, 15.625, 0, 20.182536018251135, 1.864869934337438, 13.7265888125, 1.5983218096583451, 19.0628261875, 0.7677705088263858, 0.04430975, 0.0005894721685542067, 37.43431706249999, 0.023184132988610894, 674720.9088954926, 8457.093098431425, 123.14413793749999, 0.9373955664635033, 1.443963905646849, 0.06484405010896888, 7.8125, 0, 10.259118193323996, 1.1794570341511303, 6.825929625, 1.075515884728166, 40.345960062500005, 1.1425365576173843, 0.21691381250000005, 0.009482858866256721, 75.58291393750001, 0.17380355624543073, 672911.7160110474, 8263.881024126878, 241.48475225, 1.2333234001727529, 1.5090134952359093, 0.07786802112449756, 3.90625, 0, 4.704493513239922, 0.3529542766187968, 2.87041325, 0.2823981890645502, 85.468959, 1.007957189000108, 1.0292050625, 0.05235462369441303, 151.89377512500002, 0.35505200255629354, 660268.9544620514, 8709.998555531629, 496.0763545, 3.507583681033743, 1.3414125619005195, 0.051426476341605576, 1.953125, 0, 1.8295544750362076, 0.09450711481146755, 0.9149830625, 0.06818744532029775, 184.4309184375, 1.9142661860852137, 5.410447750000001, 0.3225364283804815, 304.74326431249995, 1.3815165284084476
600, 0, 600, 765976.4631309509, 12091.91177697802, 250.744713375, 3.7531285591425, 788135.1007194519, 11906.189069290116, 67.84488499999999, 7.0096953785010525, 1.2823578861981573, 0.04073733580706735, 37.5, 0, 42.837366633885935, 7.467053962175222, 35.151780187499995, 7.632250925349277, 10.334033374999999, 0.9154684034078452, 0.010086375000000002, 0.0017579258330131565, 22.086058625, 0.04537993908087986, 794681.5953674316, 12266.986645559658, 88.29932943749999, 3.9717843900715613, 1.3688680160141085, 0.06259860996069187, 18.75, 0, 24.298937195218777, 4.368648381686676, 20.2184604375, 4.897226799139909, 22.387422999999995, 1.0748879858917857, 0.0445896875, 0.00098858071994337, 45.19094043749999, 0.9617120955753833, 798010.2458286285, 11170.202547677553, 149.7462978125, 1.6710136483916067, 1.4569036915471354, 0.06737264358857284, 9.375, 0, 12.981598779556503, 1.6012590754207074, 10.6794675, 1.796747560052921, 47.923489812499994, 1.3934195338395132, 0.2173948125, 0.016406013943897034, 90.72633487499999, 0.19667736050791343, 795887.7878379822, 12051.568363651226, 290.6308576875, 3.491018680655612, 1.5136710433985396, 0.04739499614213426, 4.6875, 0, 6.1328304805146345, 0.45146426743501855, 4.724314687500001, 0.489060819701742, 101.6292901875, 1.7000383137128567, 1.095855625, 0.1663258195853379, 182.805483375, 1.7797991712502967, 784901.441745758, 11542.889698600686, 590.7372158749998, 5.119305959664136, 1.4328974342871958, 0.04613147489577682, 2.34375, 0, 2.5237966565039422, 0.23087225714564308, 1.6601591874999997, 0.20858478118358093, 216.66833399999996, 2.524564445015243, 5.4494788750000005, 0.9312899353328341, 366.2451954375, 2.2649972830471805
700, 0, 700, 882449.7389831543, 6353.41256490038, 341.1940610625, 4.721000319105602, 904950.1868934631, 7522.630726517821, 88.21741949999999, 14.18773286566559, 1.2564777116990022, 0.035104869604119446, 43.75, 0, 51.65932162589742, 11.662993897455657, 50.467563125, 14.83161068760952, 11.770178875000003, 0.7670134608038077, 0.009613687499999999, 0.0004769001099221407, 25.744659499999997, 0.02063933347397612, 913231.5584907532, 8047.040601620043, 107.37167618750003, 6.880181873451287, 1.375303730019955, 0.03669042405408158, 21.875, 0, 29.193932662319583, 5.568065930639633, 28.782212875, 7.6901287381352805, 25.907893749999996, 1.124379674378749, 0.044302249999999994, 0.0007310950263132696, 52.4460855, 0.11136747676218123, 917251.8147506714, 8469.867101325628, 178.24697218750003, 3.872596517245134, 1.4543991607141518, 0.054007683852683765, 10.9375, 0, 15.805288104780276, 2.237267960010836, 15.605766249999997, 3.229251945134498, 55.548844625, 1.4179593064444265, 0.21787818749999996, 0.017985435719696744, 106.50797006250002, 2.7574840081401315, 917263.3859119415, 7885.164786701645, 338.5095605625, 2.1157713847958592, 1.523748088057996, 0.05871649431056161, 5.46875, 0, 7.580506259317193, 0.8141731864000777, 7.057078874999999, 1.1007584100056806, 117.57884524999999, 2.1760568766987234, 1.077685375, 0.18017818885303338, 212.48810443750003, 0.12471650692919596, 907090.343252182, 6245.697147508128, 683.612028, 5.686269423778321, 1.463010953809645, 0.044167983008288884, 2.734375, 0, 3.213483017267567, 0.22304170206024804, 2.5942848125, 0.2437398650544825, 249.67539306249998, 3.9491962373693785, 4.993337937500001, 0.7403072864049823, 425.7668782499999, 0.38437096031527024
800, 0, 800, 996430.4583358765, 7565.083911563694, 446.634654, 5.1390676460846505, 1024216.2850341797, 8460.45726767499, 108.474767875, 18.225626402068592, 1.276470334498489, 0.03909707873213129, 50, 0, 57.910872840558476, 13.415051969510454, 64.6947509375, 19.157474468310976, 13.910106812499999, 1.0502677324852827, 0.010040812500000001, 0.001567944682488432, 29.436765500000003, 0.021762794343213418, 1030565.2259597778, 6194.5615337706895, 127.8175476875, 7.928563800294443, 1.3553995231400557, 0.04303576908945755, 25, 0, 33.391871217758684, 5.879862271058672, 37.635779375, 9.239423574972824, 29.9249433125, 1.7723042435399499, 0.044793374999999996, 0.0023047601793624857, 59.91205868750001, 0.1377063571084857, 1038141.6054134369, 6980.332724932047, 205.9199996875, 4.455603429312661, 1.4829905643031438, 0.06340304756166476, 12.5, 0, 18.16073340167076, 2.958414345293748, 20.8017905625, 5.239539949011471, 63.359336375, 2.2259486160792443, 0.21504781250000002, 0.005348622348543949, 121.06269725000001, 0.6711004948112738, 1038067.6645030975, 7474.697649910821, 388.8151251875, 2.918346405495397, 1.5587370772409628, 0.05565524504064098, 6.25, 0, 9.028018547925738, 0.9880923088501682, 9.885374125000002, 1.5615894375700141, 133.68772762499998, 2.994010486834672, 1.0750734374999997, 0.06702731177472429, 243.64970131249996, 1.7308630457298144, 1029181.3117542267, 8411.81584122245, 781.1645605, 7.027547517890889, 1.513062634533242, 0.0495006811538499, 3.125, 0, 4.010926286155338, 0.24078650196417833, 3.9315170625000007, 0.31795485805800106, 282.98461243750006, 2.889900778819866, 5.233744124999999, 0.5203370593749637, 488.2815565, 3.450174148521292
900, 0, 900, 1107651.1908283234, 7595.138389083508, 563.8299248125, 5.6103558961134326, 1137917.6619586945, 7986.098168505887, 136.8780380625, 30.910045076552123, 1.2683520102458132, 0.03515233203894107, 56.25, 0, 67.89532882695867, 18.635633165501865, 88.3662589375, 31.70053261910044, 15.068137875000001, 0.9581977153795609, 0.009565500000000001, 0.0005561978065400836, 33.144904187499996, 0.0964577883987457, 1145676.207391739, 9397.823757226113, 152.2452716875, 14.346943656121145, 1.3660012130569184, 0.05815552614164344, 28.125, 0, 39.08029909942778, 8.423121291971485, 50.8787358125, 15.979517098994073, 33.1890695, 1.6848629986617984, 0.0453668125, 0.004460755012029214, 67.41966175, 0.09186513226497951, 1152670.406320572, 9862.090404031373, 235.59190306249997, 4.99483994587157, 1.4633062487881838, 0.043460868416688295, 14.0625, 0, 21.143337770430982, 3.6009832581486028, 27.738564562500006, 7.15229968319393, 70.80748075000001, 3.2237721975749056, 0.21664531250000005, 0.00952182132471744, 136.141054625, 0.4602913915238736, 1155182.8006629944, 9242.302612494756, 437.54558437500003, 3.4900552529849156, 1.5553411972727296, 0.05441575527225556, 7.03125, 0, 10.536537266176717, 1.4489811941392607, 13.358652687500001, 2.7640711170721235, 148.84166, 2.898167443987493, 1.0560955, 0.09939143652687085, 273.79316631250003, 2.313954159047101, 1147108.774734497, 7621.690543848989, 873.9686406249999, 5.144283653523187, 1.5537393716533423, 0.04574114212330219, 3.515625, 0, 4.860665374696033, 0.43262516929331596, 5.6290693124999995, 0.7287961523575813, 314.72645412500003, 4.365802493727989, 5.1980761875, 0.5912147754370042, 547.541966125, 0.5802884210130747
1000, 0, 1000, 1223970.9225978851, 14568.311012233828, 700.492303625, 7.4310892491329925, 1254609.4091892242, 16804.808515547702, 162.62829449999998, 27.975559868462792, 1.2532855392200848, 0.05223915320080068, 62.5, 0, 76.58550316073169, 16.384436765344073, 108.22663924999998, 28.889427139893712, 17.240243500000005, 1.346373267738325, 0.00990225, 0.00094736308377517, 36.8511265625, 0.10349687367015446, 1263221.2122478485, 17169.30775540114, 183.26158187500002, 19.833909807303815, 1.3404389604806664, 0.044455211036567556, 31.25, 0, 47.578206551642346, 9.411896332793802, 71.246063, 21.644848687905696, 36.791140812500004, 2.331309571387995, 0.044315375000000004, 0.0006711873690520405, 74.89911368749999, 0.10658851751169157, 1270686.2749919891, 16216.73567470287, 269.49350618750003, 8.68326598693307, 1.441131605914401, 0.04924652074295422, 15.625, 0, 25.6742212555226, 4.12173019464783, 38.9474715625, 10.982022502790567, 78.50808275000001, 3.4820228482923468, 0.21996675000000004, 0.03280815819369476, 151.49299525, 1.2974282888404916, 1276643.3594608307, 17353.934677861682, 489.56800381249997, 5.661975384637712, 1.5533001790775258, 0.06763678003900114, 7.8125, 0, 12.361545171619182, 0.9263998030108211, 17.786173875, 2.043854484428346, 165.4527923125, 5.169575781048625, 1.0888296874999999, 0.1146487382806276, 304.30026325, 0.9313699888754968, 1269471.2577266693, 17233.753211634015, 974.9040567500001, 6.366533339777594, 1.5863346404109313, 0.03945397280423734, 3.90625, 0, 5.549665285162281, 0.32632600289380703, 7.304342374999999, 0.6016079531744358, 347.6558823750001, 3.2804577995859674, 5.743099062500001, 1.0530360156228316, 611.3116596875, 2.6903474501541287
1100, 0, 1100, 1339126.437347889, 11010.176600208542, 847.0979182499999, 6.645447153495806, 1373932.6282925606, 10575.277309044595, 186.91716262499997, 27.05884533396433, 1.2685131308466882, 0.031362062674884374, 68.75, 0, 82.76205667362288, 13.985084917584032, 127.12008631249998, 28.013527133084764, 18.692970250000002, 2.0209598854678092, 0.0099380625, 0.0009069810133590174, 40.5825076875, 0.4065281408769146, 1385295.7673249245, 13338.871063782117, 203.43829368750002, 20.328100367636846, 1.3677216807909036, 0.047749973081852526, 34.375, 0, 49.83231517543662, 8.77174379789727, 80.32011206250002, 21.686985446868675, 39.781068125, 1.8252813516706776, 0.0442348125, 0.000790344957815099, 82.5113404375, 0.4475493704356784, 1392021.7251286507, 11831.082375608612, 295.47436725, 9.06585026578138, 1.4638740498028908, 0.047656011991735095, 17.1875, 0, 26.250644367601375, 4.340416703580244, 42.4280693125, 11.403244305082286, 85.89743181249999, 3.3995993304666277, 0.21598456249999998, 0.00935059193292563, 166.27034943750004, 0.22753759309479196, 1396911.6417393684, 12184.067772773426, 537.5422120625001, 3.163315527798981, 1.5546043468554498, 0.04038399710921704, 8.59375, 0, 13.4570635129213, 1.4797527400556627, 21.298046375, 3.562214634656261, 179.86149256250002, 3.285697958461607, 1.0781862500000001, 0.10415871712949669, 334.6261662500001, 2.683069962916308, 1391887.6626439095, 11417.955885956375, 1067.7972068749998, 9.202855949182295, 1.5958437490996047, 0.054443259337662565, 4.296875, 0, 6.208314138917917, 0.6825457901393098, 9.14079725, 1.5076249515779572, 379.42116212499997, 5.705937979996108, 5.616746249999999, 1.0503768268155302, 671.64468325, 4.2620242908184975
1200, 0, 1200, 1449277.7460250854, 8919.645776891179, 1019.0617683749999, 8.115672097110062, 1483566.9555244446, 9733.151410611832, 211.20020525, 24.330427997742756, 1.2472258332954953, 0.03928751604705858, 75, 0, 87.57691225892826, 13.055592736141307, 146.29565362500003, 25.009292282481056, 19.8055778125, 1.3471818035065004, 0.010604812500000001, 0.0028036464697503765, 44.491594000000006, 1.000985971650015, 1497468.294271469, 9560.735491812578, 225.17648868750004, 12.876983247160807, 1.359274894169363, 0.04934245149805512, 37.5, 0, 52.47399944607385, 6.129374020521261, 90.12257112500001, 14.10271898979158, 44.091428, 1.4692852144248574, 0.044406999999999995, 0.000838033486801094, 90.1396020625, 0.8021835222048227, 1508242.5118045807, 9191.667468625072, 326.995593375, 5.973364182696961, 1.473098308853752, 0.04830473136758938, 18.75, 0, 28.90784556676713, 3.218680193486447, 50.957818624999994, 8.210382382623523, 93.77946675000001, 2.7042506105061372, 0.2151531875, 0.008648602511524259, 181.47670243749997, 0.26300689000527705, 1515157.7374191284, 9617.1783888459, 589.212302625, 4.439029175349234, 1.5742613154605647, 0.04334327068170489, 9.375, 0, 14.98165681207377, 1.4958138805491743, 26.394381312500002, 3.8944049383624666, 196.434411, 4.034954617533406, 1.0524084375, 0.11392593001154783, 364.7447354375, 1.3371830954724853, 1510889.892463684, 11769.014113300003, 1163.4026958125, 7.111118367120212, 1.644263777693914, 0.05647317226691665, 4.6875, 0, 7.01007370841483, 0.6461117183515318, 11.696770875, 1.7019406218441084, 412.3899939375, 5.491578723621369, 5.1979176250000005, 0.6646418255175935, 732.4227793125, 4.083708717417159
1300, 0, 1300, 1560970.3291225433, 16187.400538818056, 1189.4431743125003, 6.722920344598391, 1598208.395702362, 17117.19371118709, 254.95104468749997, 42.46031461875962, 1.2498345991788304, 0.035961276282656676, 81.25, 0, 100.19020878915758, 18.697640233061843, 184.41184881250004, 43.08199469764818, 21.865808125, 1.6688977391394402, 0.009824812499999998, 0.00043102424797654946, 47.941338499999986, 0.14310297852726567, 1610637.6931362152, 17218.604963449918, 258.6971434375, 25.64307933312169, 1.3416877170449346, 0.03271966820257428, 40.625, 0, 58.509907087111046, 8.578961776207693, 111.63852712499998, 24.97858916685615, 47.666803625, 2.232257693664361, 0.04455656250000001, 0.0013182679435887641, 97.62208275, 0.4222709812675839, 1621927.3084259033, 15986.494732507337, 366.27919137500004, 14.476613244188806, 1.448675772853163, 0.03688098223811889, 20.3125, 0, 33.36608460407282, 4.735102434885134, 66.24420843749999, 15.889926167732606, 101.708080625, 3.654189672536851, 0.2298624375, 0.04447872698825915, 197.02415025, 0.7388377507406908, 1629097.3933448792, 16970.99625595664, 642.090675, 4.745756684347958, 1.5648335542494276, 0.04496085493892064, 10.15625, 0, 16.228269639552213, 1.6940563762720409, 31.317034, 5.323050791524279, 211.996184625, 4.657946535644612, 1.1308323749999998, 0.16425704034830402, 395.73653481250005, 2.167279853295406, 1627121.7641277313, 15449.04808442672, 1260.7131750625, 9.312132213383354, 1.6194045127814558, 0.053964401223225086, 5.078125, 0, 7.894237614467562, 0.6875758381447936, 14.776301687500002, 1.9058683501963982, 445.1755753125, 6.550910358694633, 5.409188374999999, 0.723594770113673, 792.591220875, 3.96206818865769
1400, 0, 1400, 1669095.864774704, 16421.005621880264, 1385.00362075, 8.439523590186145, 1707608.8037586212, 17134.80336530405, 320.2946716875, 85.22941648062111, 1.2402253090715443, 0.03271937677739344, 87.5, 0, 117.4385324144172, 31.318233177302364, 245.09452525, 87.46595566684387, 22.78429025, 2.2528642977088498, 0.010087625, 0.000672931169864348, 51.674276937500004, 0.2530615187828523, 1718878.874031067, 16378.010626067065, 296.4094181875, 37.412282495428016, 1.326082409747827, 0.035739795286213044, 43.75, 0, 66.29072262489028, 12.558964681448066, 139.90530506250002, 39.4836720333963, 50.3982358125, 2.7030173646510818, 0.044945437500000004, 0.0007766535560298113, 105.04364724999999, 0.2615868073215622, 1732301.882347107, 16247.69526520223, 399.15772037499994, 11.817359092963883, 1.4378105740402551, 0.04079345601492607, 21.875, 0, 36.45856640776413, 4.65315395625942, 78.2841733125, 15.29841859103967, 107.82422843750001, 4.411164210147345, 0.21162962500000002, 0.002860797023449062, 211.77114331250002, 0.4341509939739765, 1742214.9778900146, 18071.05857506087, 695.24681, 6.828548664716057, 1.5594658580050602, 0.059070795395106984, 10.9375, 0, 18.772522235122075, 2.556896836371628, 40.5022918125, 8.445823811648445, 226.48407581249998, 5.892093011371547, 1.0592940625, 0.15759564368799536, 425.8970882500001, 3.2389705621628857, 1740831.9029388428, 19010.338318106795, 1356.194801, 10.068054256647642, 1.6389460125133941, 0.03739225540611392, 5.46875, 0, 8.849238376064793, 0.6454193219002485, 18.187592625, 2.170996987739357, 476.59019337500007, 7.760963385482039, 5.228520562500001, 0.5553868361243774, 853.6949546875001, 4.4272511258720915
