N, N, MST_Cost, MST_Runtime, C16_MFC_Cost, C16_MFC_Runtime, C16_Gamma, C16_Cluster_Size_Mu, C16_Cluster_Size_Sigma, C16_Sub_Clustering_Runtime, C16_Completion_Edges_Runtime, C16_Completion_Runtime, C16_Clustering_Runtime, C32_MFC_Cost, C32_MFC_Runtime, C32_Gamma, C32_Cluster_Size_Mu, C32_Cluster_Size_Sigma, C32_Sub_Clustering_Runtime, C32_Completion_Edges_Runtime, C32_Completion_Runtime, C32_Clustering_Runtime, C64_MFC_Cost, C64_MFC_Runtime, C64_Gamma, C64_Cluster_Size_Mu, C64_Cluster_Size_Sigma, C64_Sub_Clustering_Runtime, C64_Completion_Edges_Runtime, C64_Completion_Runtime, C64_Clustering_Runtime, C128_MFC_Cost, C128_MFC_Runtime, C128_Gamma, C128_Cluster_Size_Mu, C128_Cluster_Size_Sigma, C128_Sub_Clustering_Runtime, C128_Completion_Edges_Runtime, C128_Completion_Runtime, C128_Clustering_Runtime, C256_MFC_Cost, C256_MFC_Runtime, C256_Gamma, C256_Cluster_Size_Mu, C256_Cluster_Size_Sigma, C256_Sub_Clustering_Runtime, C256_Completion_Edges_Runtime, C256_Completion_Runtime, C256_Clustering_Runtime
500, 500, 643748.0569458008, 173.115893, 663397.0471191406, 52.063872, 1.2705299377465784, 31.25, 36.17924128557701, 24.215618, 9.321814, 0.009858, 18.395204, 662468.2107543945, 72.670268, 1.3052180048113302, 15.625, 21.470546686100008, 14.755886, 20.327193, 0.043671, 37.431588, 668015.7215576172, 123.529393, 1.4380497088239816, 7.8125, 10.074526974007266, 6.605686, 41.082738, 0.211796, 75.510931, 669822.4920043945, 241.718471, 1.5681358895217767, 3.90625, 4.327307007539447, 2.569985, 86.349025, 0.986609, 151.6836, 653526.1802368164, 499.725367, 1.2579039511781556, 1.953125, 1.8910123570127721, 0.9394, 189.433564, 5.066443, 304.145478
500, 500, 642462.6988525391, 173.25324, 660023.1043701172, 52.907132, 1.2317797677409545, 31.25, 38.27450195626326, 25.901567, 8.507478, 0.010399, 18.373073, 663020.3774414062, 70.713061, 1.3541842080654989, 15.625, 21.53739480531478, 14.82784, 18.342024, 0.043651, 37.387085, 667965.5802612305, 122.226963, 1.5096989479527325, 7.8125, 9.796164746981342, 6.357541, 40.032992, 0.21323, 75.505601, 670563.662109375, 239.699518, 1.7145658004626427, 3.90625, 4.053234626505108, 2.369379, 84.492998, 0.982691, 151.724948, 654041.1202392578, 495.336967, 1.328167725825168, 1.953125, 1.6458250922789457, 0.792255, 183.622819, 5.565086, 304.718792
500, 500, 638997.2079162598, 173.287866, 657258.2460021973, 50.343919, 1.2354132083201492, 31.25, 34.950858358558236, 23.248686, 8.573223, 0.009247, 18.388792, 663485.1624450684, 68.547564, 1.4115652197741437, 15.625, 18.40473784111037, 12.115648, 18.855576, 0.044593, 37.418453, 669199.3718566895, 121.80888, 1.5422578987605824, 7.8125, 8.00170880187476, 4.996401, 40.995355, 0.212278, 75.485452, 667890.0555419922, 240.773982, 1.5681745642476874, 3.90625, 4.245286908737736, 2.512607, 85.270144, 0.991197, 151.871232, 651221.7295837402, 506.59033, 1.3328941072959388, 1.953125, 1.8043323514183855, 1.049676, 186.664898, 5.59955, 309.612209
500, 500, 643039.1769104004, 173.061161, 664766.4976501465, 65.078364, 1.3224858408624738, 31.25, 51.53093730954251, 38.865204, 7.67537, 0.01058, 18.40965, 666630.5019836426, 70.552611, 1.3449038987004969, 15.625, 21.84426412127449, 15.117282, 17.86446, 0.044423, 37.412762, 670636.6226501465, 122.335296, 1.4421483257626222, 7.8125, 11.08049384052895, 7.522203, 38.963908, 0.21374, 75.515979, 666697.0575256348, 239.409004, 1.4480834221685148, 3.90625, 5.208822893658413, 3.28827, 83.306555, 0.990696, 151.695021, 654847.741973877, 494.463209, 1.236524214922719, 1.953125, 1.9298614547098971, 0.969757, 181.997102, 5.86037, 305.232445
500, 500, 660758.1342773438, 172.864623, 677283.8966064453, 53.699626, 1.249308644757174, 31.25, 39.488131128226364, 26.943589, 8.247081, 0.010179, 18.384263, 676973.8387451172, 68.249616, 1.296854645936976, 15.625, 17.921268788788364, 11.743683, 18.908835, 0.043582, 37.441376, 682459.600402832, 123.225173, 1.4013650260581678, 7.8125, 9.856588849597005, 6.415649, 40.98236, 0.212298, 75.488278, 684049.9813842773, 240.489459, 1.4829816812992862, 3.90625, 4.69114441661094, 2.844119, 84.828236, 0.990035, 151.696584, 673592.366027832, 495.820642, 1.4387388035575834, 1.953125, 1.7759652965007509, 0.869038, 184.188017, 5.155479, 305.19793
500, 500, 665649.859375, 173.414022, 687757.5776367188, 47.335564, 1.3385935460477958, 31.25, 29.77939724037409, 19.650786, 9.162206, 0.010309, 18.398079, 689222.5425415039, 70.932582, 1.334743570702195, 15.625, 19.614646950684584, 13.120021, 20.194194, 0.043962, 37.461834, 689183.9012451172, 123.355758, 1.4771330502380338, 7.8125, 8.984144018769957, 5.71634, 41.769866, 0.209032, 75.536528, 689638.229309082, 242.762817, 1.5192908150265771, 3.90625, 4.8821061989166115, 3.008236, 86.858369, 0.979735, 151.779379, 677793.9876098633, 495.89953, 1.3377083444904017, 1.953125, 1.8951392387829977, 0.943097, 184.319714, 5.141853, 305.105657
500, 500, 654072.3084716797, 172.774975, 674520.7310791016, 51.672749, 1.2874430437890334, 31.25, 35.389793726440395, 23.60869, 9.517531, 0.010359, 18.41474, 674556.9642944336, 74.096309, 1.3022658779932133, 15.625, 23.568716023576677, 16.823258, 19.657007, 0.044834, 37.45381, 680576.3775634766, 124.1737, 1.4733416424115178, 7.8125, 10.559171073053037, 7.032054, 41.246415, 0.210455, 75.553209, 676829.7189331055, 242.06997, 1.4720541103204263, 3.90625, 4.734246079102775, 2.880386, 86.323879, 0.986699, 151.746898, 663302.7221679688, 494.123332, 1.347804697128276, 1.953125, 1.8848050918795292, 0.935683, 183.632747, 5.139298, 304.06638
500, 500, 642748.720703125, 172.768613, 660212.9089355469, 49.24469, 1.2047387684467457, 31.25, 32.80720195322972, 21.805574, 8.891117, 0.009498, 18.381107, 666115.0137939453, 69.086364, 1.300189928778955, 15.625, 19.10947081946541, 12.6976, 18.737084, 0.045375, 37.463308, 667185.3435058594, 122.829071, 1.3224654500043271, 7.8125, 10.853966728804728, 7.329883, 39.230198, 0.219791, 75.88937, 666572.2911376953, 242.846895, 1.5161029832925288, 3.90625, 4.330916293060858, 2.590824, 85.384148, 1.121561, 153.07638, 652976.1854858398, 492.918976, 1.2972783011681346, 1.953125, 1.6458250922789457, 0.792084, 182.30569, 5.309407, 304.080136
500, 500, 642354.6763916016, 173.133306, 668252.9865722656, 53.800546, 1.331789983869995, 31.25, 39.57034874751548, 27.004273, 8.265666, 0.009157, 18.400874, 663645.9244384766, 71.066493, 1.3415008932026466, 15.625, 22.34774876805268, 15.600227, 17.877333, 0.044604, 37.426368, 666208.046081543, 123.926486, 1.3829522380412014, 7.8125, 13.212062433624812, 9.751941, 38.289235, 0.209833, 75.552318, 664633.7178955078, 242.292816, 1.4987190034121205, 3.90625, 5.136325139387108, 3.217808, 85.155229, 1.089601, 152.460406, 654266.3411254883, 494.699022, 1.3442023338326219, 1.953125, 1.7132725219225924, 0.830836, 184.268138, 5.141272, 304.090154
500, 500, 638046.263671875, 172.595058, 657103.5051269531, 47.861639, 1.2501708405761323, 31.25, 30.98285816382988, 20.421229, 8.907779, 0.010109, 18.398239, 665039.2662963867, 70.339091, 1.3836324759486565, 15.625, 19.65602642957116, 13.15182, 19.601553, 0.045165, 37.426138, 663111.6161499023, 125.145761, 1.4664154707124997, 7.8125, 10.292404663148451, 6.787055, 42.470288, 0.247523, 75.514888, 656991.1892089844, 243.972154, 1.4109653098890746, 3.90625, 5.3828975410553745, 3.437591, 86.893165, 1.100983, 151.924421, 649368.2330322266, 493.982448, 1.3435122592401443, 1.953125, 1.9359242584292908, 0.966792, 183.582683, 5.208107, 304.079355
500, 500, 656576.0274047852, 172.851158, 679106.154296875, 45.982358, 1.3738573299314445, 31.25, 28.210148882981812, 18.672022, 8.806038, 0.009458, 18.372912, 674998.4452514648, 69.395823, 1.2901762169937192, 15.625, 18.622483051408587, 12.311546, 19.473655, 0.043862, 37.446647, 683676.7734985352, 122.933717, 1.529409141192885, 7.8125, 8.829770311282168, 5.603889, 40.54427, 0.227326, 76.152311, 679403.0378417969, 242.304458, 1.5460640685599738, 3.90625, 4.464158480329748, 2.673308, 86.477726, 1.085313, 151.769461, 666982.891784668, 494.411453, 1.3643702196293124, 1.953125, 1.8237126238459282, 0.898333, 183.926738, 5.308275, 304.129168
500, 500, 657216.6732177734, 173.269822, 676599.3126220703, 51.762767, 1.2391346003305763, 31.25, 35.8721688778362, 23.999834, 9.210015, 0.008927, 18.401455, 684467.271484375, 70.402088, 1.3549831911915273, 15.625, 18.67610438501563, 13.032907, 19.748308, 0.044153, 37.444954, 689660.1244506836, 124.50479, 1.5204354130443194, 7.8125, 10.045015866090008, 6.579677, 41.593286, 0.22412, 75.52093, 684283.7173461914, 241.916321, 1.4719942655448588, 3.90625, 4.662747144924331, 2.827397, 86.064873, 1.104249, 151.764021, 671592.833190918, 497.051147, 1.4167030923964123, 1.953125, 1.771560818706205, 0.866353, 185.852315, 6.153378, 303.987873
500, 500, 643468.5378417969, 172.744318, 659711.901550293, 57.143889, 1.2177065756957741, 31.25, 42.591812593502056, 30.57347, 8.020737, 0.009578, 18.415622, 662886.1123046875, 71.822961, 1.279845749052633, 15.625, 22.364522686612386, 15.634921, 18.010463, 0.043621, 37.408105, 670623.5308227539, 121.847602, 1.46747161580736, 7.8125, 10.519141778206054, 7.001427, 39.006088, 0.20849, 75.509728, 669372.5710449219, 240.228188, 1.535940693371203, 3.90625, 4.7391941232133545, 2.881809, 84.4889, 1.070125, 151.659235, 654559.181640625, 501.347767, 1.3718702538906122, 1.953125, 1.8576672830124883, 0.940553, 187.441693, 5.688067, 305.757939
500, 500, 651559.0227050781, 174.599503, 671086.2974243164, 47.6645, 1.281517214646343, 31.25, 30.790623572769682, 20.35781, 8.51301, 0.009137, 18.414931, 677227.6932983398, 70.074906, 1.351602968824635, 15.625, 20.24344029556241, 13.651607, 18.82534, 0.045064, 37.431338, 675816.2107543945, 123.464511, 1.4083582068614828, 7.8125, 11.826711028430516, 8.243744, 39.351706, 0.216476, 75.528684, 671419.6289672852, 241.114549, 1.3532516868063145, 3.90625, 4.6861456376749535, 2.838288, 85.280594, 0.989774, 151.871131, 662370.5012207031, 493.578481, 1.2967893748995447, 1.953125, 1.8639649230538111, 0.921988, 182.774358, 5.863065, 303.877005
500, 500, 644818.3166503906, 174.444673, 665546.7013549805, 43.076244, 1.3597937127813768, 31.25, 21.853203426500198, 15.234212, 9.070433, 0.009348, 18.418397, 667028.4940795898, 68.169475, 1.3799653416828013, 15.625, 16.561910366862875, 10.753657, 19.775399, 0.044674, 37.480601, 667983.3767089844, 122.8824, 1.3314622158429879, 7.8125, 10.66664632159518, 7.126331, 39.833778, 0.219892, 75.581292, 669582.72265625, 242.004937, 1.5648201092083547, 3.90625, 4.7391941232133545, 2.894152, 86.178025, 0.998951, 151.802293, 654838.3948974609, 493.522808, 1.3480140511099359, 1.953125, 1.8660594134097124, 0.933328, 183.325972, 5.2202, 303.901531
500, 500, 658695.1585388184, 174.175199, 675874.3249206543, 53.450018, 1.2371878328977794, 31.25, 38.50405822767257, 26.103585, 8.765022, 0.009648, 18.40969, 682698.0242004395, 70.686322, 1.3285066108435004, 15.625, 20.977294272617716, 14.287518, 18.806795, 0.043722, 37.414706, 683232.3448181152, 122.116706, 1.390458138834889, 7.8125, 9.54737365718971, 6.145053, 40.142878, 0.214341, 75.481124, 678837.3832702637, 240.152497, 1.4730715206432137, 3.90625, 4.988169597908636, 3.092453, 84.151478, 0.999062, 151.775392, 669022.8611755371, 493.750193, 1.400119259843351, 1.953125, 1.9679437833370648, 0.990556, 183.558247, 5.147314, 303.910177
600, 600, 751088.0744018555, 252.528924, 774450.9302978516, 62.878653, 1.3213835661173585, 37.5, 37.942390541451125, 30.150126, 10.464015, 0.009287, 22.096118, 780653.8828735352, 84.413789, 1.3430644948737935, 18.75, 22.645363763914236, 18.095051, 21.250603, 0.044945, 44.890393, 783631.3819580078, 150.478963, 1.4398898254489367, 9.375, 13.618117527764253, 11.286055, 48.263943, 0.210875, 90.579711, 778111.9371337891, 287.325896, 1.464069114838885, 4.6875, 5.977496863236317, 4.525388, 99.618615, 0.985016, 182.047858, 773648.6331787109, 589.91567, 1.3602022072122943, 2.34375, 2.2428271082497644, 1.412968, 215.570362, 4.963239, 367.542853
600, 600, 773439.9375305176, 250.406869, 793871.1380310059, 69.297489, 1.247037533132747, 37.5, 46.74665763453041, 38.228471, 8.872102, 0.008947, 22.042827, 799063.936126709, 91.542887, 1.338952543724983, 18.75, 29.14296656141924, 25.381211, 21.053374, 0.045074, 44.925328, 808685.4968566895, 149.604354, 1.5055463064867587, 9.375, 13.92446138994252, 11.639026, 47.000926, 0.207639, 90.615288, 804680.6293640137, 288.845894, 1.4933247630874753, 4.6875, 6.790100790857231, 5.409184, 100.172974, 0.994724, 182.113701, 793538.9850463867, 588.252594, 1.489346260715259, 2.34375, 2.8447800332363133, 1.956115, 214.826318, 5.14546, 365.83256
600, 600, 762206.6421508789, 250.385638, 784767.0946655273, 59.580204, 1.2208905071094225, 37.5, 32.34772016696076, 25.900214, 11.451935, 0.009067, 22.070209, 792665.2986450195, 84.115501, 1.3872912871000718, 18.75, 19.356846334049358, 15.123694, 23.892152, 0.04314, 44.922934, 793828.4168701172, 148.349443, 1.4635817082284825, 9.375, 10.916587149837627, 8.425466, 48.90322, 0.211386, 90.66984, 792148.4541015625, 290.135089, 1.4893784154619165, 4.6875, 5.493959751399713, 4.049457, 102.807621, 0.958385, 182.165819, 780943.2259521484, 589.800665, 1.3890552180859852, 2.34375, 2.363252195069329, 1.509188, 217.118402, 5.049059, 365.710049
600, 600, 798618.6363525391, 261.441472, 821748.0412597656, 63.242405, 1.3076300350216254, 37.5, 38.30469945058961, 30.449377, 10.544926, 0.01027, 22.077592, 829300.528503418, 85.543216, 1.399021478486128, 18.75, 22.2963001415033, 17.761516, 22.671625, 0.047669, 44.924686, 822799.9970703125, 150.062512, 1.3813151332622444, 9.375, 13.644481485201261, 11.301283, 47.749098, 0.217237, 90.648971, 828277.9459838867, 290.022829, 1.5554420526291197, 4.6875, 5.721054863397134, 4.263277, 102.393785, 1.149343, 182.052106, 814942.7263793945, 590.450141, 1.3499981210404457, 2.34375, 2.8789035998970163, 1.971894, 215.903315, 6.489177, 365.381014
600, 600, 770915.96484375, 247.87764, 793900.5896606445, 73.845038, 1.2738101770402992, 37.5, 49.997499937496876, 41.759878, 9.818304, 0.009929, 22.103621, 797730.0601806641, 87.97415, 1.3316994176089088, 18.75, 25.56975752720389, 21.154583, 21.763815, 0.043641, 44.877739, 804711.642578125, 149.638509, 1.3816749214613213, 9.375, 14.91591012979094, 12.883137, 45.799565, 0.211677, 90.595631, 800657.8525390625, 290.134999, 1.4941564701031367, 4.6875, 6.788950121336877, 5.41214, 100.493033, 1.111883, 182.391702, 793182.7750244141, 589.687192, 1.503070411218782, 2.34375, 2.555439969457314, 1.669347, 216.94103, 4.99599, 365.660577
600, 600, 763741.8061523438, 249.243328, 778306.543762207, 88.350104, 1.209447662196521, 37.5, 62.272586263941214, 56.82378, 9.313669, 0.009458, 22.041285, 789991.2562866211, 98.967276, 1.2690963583549382, 18.75, 34.596784532670085, 32.922521, 20.922559, 0.044453, 44.924736, 795393.9216918945, 149.904918, 1.4257987518325541, 9.375, 15.054588171052703, 13.062162, 45.858315, 0.206356, 90.624826, 792514.0531616211, 290.406137, 1.5864758142980475, 4.6875, 6.758963955370675, 5.39625, 99.80779, 1.124918, 183.633238, 781379.858581543, 586.832975, 1.492983425049828, 2.34375, 2.4524780197791785, 1.583016, 214.860332, 5.064979, 364.890634
600, 600, 762952.1373291016, 249.448603, 780742.833984375, 66.395412, 1.2305237127133462, 37.5, 43.01889119909996, 34.655737, 9.482336, 0.009127, 22.08146, 786658.3813476562, 89.763202, 1.2676290358740523, 18.75, 27.35415873317986, 23.215925, 21.440448, 0.044323, 44.913455, 791944.7342529297, 150.996052, 1.3596944445609591, 9.375, 15.750496023935247, 14.007803, 45.948345, 0.209031, 90.677595, 792135.2705078125, 289.259379, 1.4984324227842531, 4.6875, 6.4816447565413515, 5.070199, 99.584351, 1.0786, 183.139773, 781768.3419189453, 586.430079, 1.4726461129915647, 2.34375, 2.4556615071096424, 1.584729, 214.605895, 4.907123, 364.937342
600, 600, 761877.0878295898, 249.220607, 786542.9957275391, 62.015035, 1.2926112946231938, 37.5, 35.47358171935842, 28.239056, 11.458928, 0.01102, 22.123549, 799303.5573120117, 84.460227, 1.5009386010837098, 18.75, 19.361688975913232, 15.136939, 24.069233, 0.045215, 45.030825, 794960.3927612305, 151.115215, 1.4203534581287078, 9.375, 11.901286695143513, 9.46331, 50.403832, 0.252763, 90.789705, 790173.6773681641, 292.170223, 1.489646300033193, 4.6875, 5.80913881311163, 4.364467, 103.380875, 1.101503, 182.557934, 783698.0945129395, 588.518963, 1.4416640367198033, 2.34375, 2.4556615071096424, 1.586312, 217.221916, 5.004165, 364.516013
600, 600, 759921.3023681641, 246.654959, 781743.1152954102, 64.811083, 1.2890391787905457, 37.5, 39.147158262126766, 31.222385, 11.335657, 0.008676, 22.071331, 792544.969909668, 86.47408, 1.410477707703425, 18.75, 22.005681084665387, 17.561992, 23.716063, 0.044994, 45.005939, 793688.8862304688, 154.302737, 1.450767806230442, 9.375, 14.599336457524362, 12.521198, 49.773361, 0.217127, 91.364241, 793151.2225952148, 291.387366, 1.5811189271122088, 4.6875, 6.348904925260734, 4.931168, 102.917026, 1.084342, 182.063006, 778884.2548828125, 589.258048, 1.4195101492470836, 2.34375, 2.277394001375256, 1.434488, 217.88565, 4.902534, 364.856291
600, 600, 777192.8066101074, 251.102793, 799803.284942627, 63.148729, 1.2866782475781067, 37.5, 36.04684452209375, 29.43671, 11.291595, 0.01057, 22.243062, 810127.5027160645, 86.753243, 1.4794059129809933, 18.75, 18.506755523321747, 14.465, 23.150954, 0.044513, 48.911266, 809648.3869934082, 148.131615, 1.5412013062307717, 9.375, 10.749273231246846, 8.28925, 48.297185, 0.210545, 90.814892, 803678.0966491699, 290.80758, 1.4808532272677697, 4.6875, 5.883969217288615, 4.429478, 103.066696, 1.021483, 182.112188, 796094.4750061035, 588.094909, 1.4639637006065114, 2.34375, 2.447695025426983, 1.576584, 216.694939, 4.57966, 365.073838
600, 600, 754001.9321289062, 248.903342, 783312.2073974609, 67.160165, 1.3624017806841375, 37.5, 41.29467277991194, 33.253852, 11.593912, 0.016461, 22.057696, 786009.7228393555, 90.347436, 1.3882110770028886, 18.75, 21.584137694149376, 17.209672, 23.069921, 0.044163, 45.042878, 788518.7639160156, 148.681335, 1.526757218287716, 9.375, 10.669026431685321, 8.226924, 48.962281, 0.266539, 91.003175, 786591.501953125, 291.853439, 1.5330975265490887, 4.6875, 5.791629196521476, 4.348817, 103.535644, 1.311938, 182.47632, 771556.0814208984, 605.47467, 1.4183255978333584, 2.34375, 2.3249243939319832, 1.588676, 219.683357, 7.838416, 373.138918
600, 600, 767918.1744689941, 247.006688, 791480.1225891113, 64.837764, 1.3260553149080212, 37.5, 40.4567670482949, 32.333076, 9.786696, 0.009357, 22.065731, 793864.4974060059, 84.178169, 1.3219065039241638, 18.75, 20.455744914326637, 16.090725, 22.833069, 0.043271, 44.960574, 805146.5186462402, 148.314648, 1.5565602738377005, 9.375, 11.362630637312822, 8.865871, 48.394427, 0.210344, 90.691039, 800772.3890686035, 288.849411, 1.5527883915007488, 4.6875, 5.279308074928001, 3.851035, 101.588786, 0.971811, 182.278329, 788886.8734436035, 587.612736, 1.4501140210470522, 2.34375, 2.482556331183645, 1.603143, 214.914704, 4.955504, 365.483285
