N, N, MST_Cost, MST_Runtime, C16_MFC_Cost, C16_MFC_Runtime, C16_Gamma, C16_Cluster_Size_Mu, C16_Cluster_Size_Sigma, C16_Sub_Clustering_Runtime, C16_Completion_Edges_Runtime, C16_Completion_Runtime, C16_Clustering_Runtime, C32_MFC_Cost, C32_MFC_Runtime, C32_Gamma, C32_Cluster_Size_Mu, C32_Cluster_Size_Sigma, C32_Sub_Clustering_Runtime, C32_Completion_Edges_Runtime, C32_Completion_Runtime, C32_Clustering_Runtime, C64_MFC_Cost, C64_MFC_Runtime, C64_Gamma, C64_Cluster_Size_Mu, C64_Cluster_Size_Sigma, C64_Sub_Clustering_Runtime, C64_Completion_Edges_Runtime, C64_Completion_Runtime, C64_Clustering_Runtime, C128_MFC_Cost, C128_MFC_Runtime, C128_Gamma, C128_Cluster_Size_Mu, C128_Cluster_Size_Sigma, C128_Sub_Clustering_Runtime, C128_Completion_Edges_Runtime, C128_Completion_Runtime, C128_Clustering_Runtime, C256_MFC_Cost, C256_MFC_Runtime, C256_Gamma, C256_Cluster_Size_Mu, C256_Cluster_Size_Sigma, C256_Sub_Clustering_Runtime, C256_Completion_Edges_Runtime, C256_Completion_Runtime, C256_Clustering_Runtime
30000, 30000, 876398, 1974558.246714, 937777, 766865.768491, 1.2224913598955205, 1875, 4208.619414368564, 757927.552267, 3067.987923, 0.016521, 3858.595449, 958731, 540916.834067, 1.2992547353368973, 937.5, 2579.4377415436875, 526067.616114, 6805.666994, 0.049212, 7923.770535, 1016573, 304404.804384, 1.5385905552862968, 468.75, 1309.9339558733486, 271402.138214, 16680.66455, 0.25056, 16178.611212, 1015116, 211752.615532, 1.5618478098370459, 234.375, 701.0790901353428, 147464.748897, 30824.993785, 0.931634, 33217.449513, 997058, 246215.178347, 1.5135354303272197, 117.1875, 452.41473212501603, 116687.125681, 63466.688173, 3.540561, 65787.21834
30000, 30000, 875881, 2000773.981648, 940561, 1274063.106232, 1.2242831907396117, 1875, 5649.910607699913, 1267410.989992, 2368.484502, 0.012994, 4017.638208, 962192, 1072216.798408, 1.3141475115260552, 937.5, 3748.4113885084707, 1057736.374004, 6258.79702, 0.07479, 7917.392739, 1004457, 783262.005913, 1.475840217604333, 468.75, 2251.3315018561793, 753623.843583, 12503.575759, 0.251411, 16909.754429, 1002267, 570459.881407, 1.4983856693826483, 234.375, 1329.5665882158742, 510966.881001, 26537.49608, 0.888745, 32760.459596, 994826, 430478.397336, 1.5201504516096156, 117.1875, 718.0179451317704, 311558.727695, 54007.87064, 4.144194, 64615.58378
30000, 30000, 882705, 1970147.938338, 967684, 1341150.039535, 1.2931243656113833, 1875, 5827.369196301192, 1332964.789313, 2306.638429, 0.011111, 3830.108908, 995300, 1020946.978603, 1.3932994275228119, 937.5, 3675.1952159035036, 1007699.76057, 5238.821244, 0.04783, 7898.039061, 1006427, 737292.823341, 1.4349620341505196, 468.75, 2162.4667699758998, 708676.064728, 12210.414223, 0.208922, 16259.498558, 1028769, 452299.15798, 1.567689668140974, 234.375, 1158.2853234954675, 391236.971139, 25525.885743, 0.954067, 35193.686496, 1009076, 231313.411178, 1.5456372434868877, 117.1875, 407.95404631680026, 96252.818068, 70794.830157, 5.261798, 64090.375361
30000, 30000, 875554, 1979191.059443, 940448, 1441020.065405, 1.2065260629279615, 1875, 6092.788554922942, 1434145.373543, 2251.713504, 0.024536, 3855.994191, 971960, 1023906.097098, 1.332820060985041, 937.5, 3638.553395581821, 1010191.681572, 5632.650046, 0.055153, 7873.701468, 987990, 730808.791636, 1.4142259535438866, 468.75, 2177.567457336282, 701496.767828, 11586.599689, 0.218649, 17465.969592, 1003015, 576434.128589, 1.4939541032744863, 234.375, 1328.593999544255, 518951.00356, 25110.716222, 0.954328, 31998.093852, 995908, 310943.69249, 1.5351578244204327, 117.1875, 560.5519566407293, 182273.153785, 56881.655304, 3.993783, 71398.532372
30000, 30000, 874112, 1983637.468689, 939504, 1349730.768341, 1.235826213175865, 1875, 5827.961704146656, 1343264.487972, 2195.18951, 0.023584, 3889.276166, 987652, 1023675.301946, 1.4198681281809122, 937.5, 3647.923964393995, 1009132.316626, 6273.677954, 0.072075, 7898.607402, 1005813, 747301.275681, 1.4968064815037667, 468.75, 2188.2834525604767, 715827.64649, 11481.655118, 0.253475, 19730.528092, 993227, 447462.065519, 1.469495259219612, 234.375, 1138.9006074939111, 382983.261334, 29346.436582, 1.008289, 34880.255371, 1003025, 373786.386974, 1.5572968866186028, 117.1875, 643.1492919367555, 246960.533263, 54790.072309, 3.479469, 71705.787149
30000, 30000, 880742, 1988823.066704, 980022, 665858.519341, 1.3725644184880113, 1875, 3879.830086485747, 656551.785072, 4309.401029, 0.033052, 4731.298463, 1045127, 474972.693315, 1.6115024237637257, 937.5, 2391.5963418812967, 458455.333235, 8355.61807, 0.05339, 8011.817968, 1034732, 214744.170094, 1.593343591355257, 468.75, 1039.9386099669537, 182001.763169, 15329.567514, 0.245029, 17137.602511, 1030202, 189474.076891, 1.6160949382386036, 234.375, 640.4768121290575, 124344.848236, 32433.946321, 1.019029, 32462.336221, 1006828, 214664.695524, 1.5577623880250302, 117.1875, 381.9471955077691, 85212.181006, 65102.541478, 4.493656, 64166.567224
30000, 30000, 872111, 1987512.6992, 960926, 1231764.15336, 1.305851940881007, 1875, 5549.157672566171, 1224048.366329, 2372.104098, 0.035156, 5020.765367, 991397, 966320.978574, 1.432519732706571, 937.5, 3543.7991178253883, 952807.697661, 5344.443686, 0.061956, 8020.140521, 1007287, 598795.202612, 1.5035076299992767, 468.75, 1955.3949808798222, 570314.692304, 12176.199583, 0.222878, 16154.425062, 1003478, 309941.949659, 1.5265957941679045, 234.375, 926.1435751950127, 250040.315512, 27424.087915, 0.893353, 32312.769318, 991882, 263337.144547, 1.5279789905053245, 117.1875, 488.90544602842175, 137287.406703, 60846.112763, 4.5214, 65021.54246
30000, 30000, 867285, 1986431.989647, 913716, 1573781.573124, 1.1531764979910324, 1875, 6335.819944963714, 1567127.693466, 2240.110844, 0.033473, 4167.953423, 961354, 1133413.978279, 1.3356008880208006, 937.5, 3871.688221887191, 1120080.613583, 5032.213757, 0.048712, 8084.508016, 984995, 708568.676828, 1.4257140472854564, 468.75, 2144.9609917781722, 680527.125934, 11632.383249, 0.209032, 16090.486132, 984630, 610680.772546, 1.4614616210242186, 234.375, 1363.0513448692973, 554131.615684, 24246.788697, 0.933278, 32133.613907, 987902, 428493.163286, 1.5275534380467273, 117.1875, 729.636861197918, 310864.110368, 53293.557713, 3.604463, 64153.436455
30000, 30000, 874962, 1981716.246274, 940174, 1396498.813119, 1.2388090281220052, 1875, 5974.674687796818, 1389294.579182, 2286.333335, 0.012954, 4269.207662, 983559, 925484.558896, 1.4012246148735148, 937.5, 3452.1482804190205, 912142.829681, 5328.49874, 0.062678, 7900.995, 1006914, 677477.599503, 1.4941686764335338, 468.75, 2080.3303373502968, 649118.505542, 12225.002772, 0.247614, 15964.109366, 993478, 385654.565463, 1.4856131599699243, 234.375, 1049.7792997220893, 324224.925997, 26517.163506, 0.920655, 34627.224929, 1000986, 330505.561335, 1.5505573274056892, 117.1875, 600.6073391003893, 206332.983543, 59215.825817, 3.77352, 64643.065152
30000, 30000, 869492, 1997376.445494, 941882, 1404066.321234, 1.2706125931926275, 1875, 5917.322853284245, 1397477.797151, 2340.700936, 0.019066, 3948.49377, 992396, 855206.541406, 1.4596079475291526, 937.5, 3296.2049674587897, 841150.84569, 5866.628133, 0.06966, 7930.599296, 1002713, 634939.850257, 1.4886564284739172, 468.75, 2004.8921417373056, 603472.848616, 11967.22374, 0.259035, 19172.206755, 998388, 342704.24804, 1.5095270665651763, 234.375, 962.0858443377077, 279430.415636, 27855.262677, 0.938548, 35088.02192, 997730, 243786.151787, 1.5570240741432304, 117.1875, 452.7312901642099, 116968.246182, 62071.903158, 3.71533, 64513.248142
