N, N, MST_Cost, MST_Runtime, C16_MFC_Cost, C16_MFC_Runtime, C16_Gamma, C16_Cluster_Size_Mu, C16_Cluster_Size_Sigma, C16_Sub_Clustering_Runtime, C16_Completion_Edges_Runtime, C16_Completion_Runtime, C16_Clustering_Runtime, C32_MFC_Cost, C32_MFC_Runtime, C32_Gamma, C32_Cluster_Size_Mu, C32_Cluster_Size_Sigma, C32_Sub_Clustering_Runtime, C32_Completion_Edges_Runtime, C32_Completion_Runtime, C32_Clustering_Runtime, C64_MFC_Cost, C64_MFC_Runtime, C64_Gamma, C64_Cluster_Size_Mu, C64_Cluster_Size_Sigma, C64_Sub_Clustering_Runtime, C64_Completion_Edges_Runtime, C64_Completion_Runtime, C64_Clustering_Runtime, C128_MFC_Cost, C128_MFC_Runtime, C128_Gamma, C128_Cluster_Size_Mu, C128_Cluster_Size_Sigma, C128_Sub_Clustering_Runtime, C128_Completion_Edges_Runtime, C128_Completion_Runtime, C128_Clustering_Runtime, C256_MFC_Cost, C256_MFC_Runtime, C256_Gamma, C256_Cluster_Size_Mu, C256_Cluster_Size_Sigma, C256_Sub_Clustering_Runtime, C256_Completion_Edges_Runtime, C256_Completion_Runtime, C256_Clustering_Runtime
2500, 2500, 213032, 14677448.650787, 228374, 8660170.993348, 1.2729240031807338, 156.25, 433.08421525149123, 7905162.814966, 234722.044229, 0.012283, 520280.141976, 235571, 3665575.800876, 1.5011250189702612, 78.125, 153.84260422587755, 2138835.612082, 633012.331622, 0.060353, 893722.818501, 230956, 4762937.781595, 1.3865751325034292, 39.0625, 99.47218125561538, 1587802.640699, 1531909.470205, 0.249337, 1643221.734807, 230040, 7268193.158045, 1.451372543250559, 19.53125, 53.79125415378879, 890945.607945, 3056833.116247, 0.909253, 3320409.488307, 224259, 13424236.60381, 1.313430518557257, 9.765625, 34.97074321285401, 740348.867694, 5857227.996869, 3.090569, 6826652.763962
2500, 2500, 209350, 14095442.699823, 229952, 6502640.945829, 1.3948131423424757, 156.25, 381.81646441713326, 5914850.64602, 241622.585669, 0.023714, 346163.077552, 236872, 5629166.44982, 1.586820769363464, 78.125, 238.91300064040047, 4311475.611001, 587586.261351, 0.054452, 730097.862949, 229581, 5506183.869454, 1.5144379899610851, 39.0625, 127.31737840432469, 2587189.841466, 1264318.860188, 0.217247, 1654667.457685, 225588, 6919450.831202, 1.396045479876385, 19.53125, 56.083355582895535, 1037439.85274, 2783964.108148, 0.776384, 3098039.293529, 220458, 12144550.545857, 1.3170889648988808, 9.765625, 31.266491742109075, 596035.993876, 5509772.881777, 3.01132, 6038734.928786
2500, 2500, 213181, 14026560.492467, 239151, 4761316.036341, 1.538953295145745, 156.25, 310.67215436855616, 4167819.571825, 242697.188143, 0.01636, 350796.496465, 240260, 3806410.935472, 1.578354890864996, 78.125, 167.90413001174213, 2494802.174927, 596564.115269, 0.063729, 715041.106055, 235356, 3887836.270808, 1.5418582544097454, 39.0625, 79.6937252470356, 1103808.190646, 1295564.880389, 0.206186, 1488459.434479, 229808, 6650555.739831, 1.414279490640556, 19.53125, 49.586247069500025, 782850.947946, 2834533.253743, 0.978222, 3033166.555176, 225022, 12312587.383353, 1.31387441490771, 9.765625, 27.13161911606779, 473049.229052, 6007305.68214, 4.235304, 5832220.053247
2500, 2500, 215363, 14721166.9154, 238593, 4292562.769012, 1.4729606095925605, 156.25, 276.0870560167572, 3653671.221443, 290602.746781, 0.017432, 348285.979663, 238958, 3705924.346634, 1.458934181143787, 78.125, 154.88700518442468, 2301349.756887, 648408.92679, 0.076774, 756160.735176, 235628, 3979034.431453, 1.4720136450553332, 39.0625, 81.21419884324415, 1144116.870528, 1378016.309325, 0.267612, 1456891.817505, 229776, 6696374.294624, 1.3775296386280256, 19.53125, 52.668915390745425, 885062.814705, 2910641.284688, 0.773138, 2900662.806207, 226810, 12168864.884899, 1.3105489389087963, 9.765625, 26.349360871933403, 432646.166322, 5836965.264979, 3.206697, 5899245.055485
2500, 2500, 207525, 13858556.639458, 227600, 5495703.89726, 1.370195364076483, 156.25, 333.9714621041744, 4874646.119226, 259292.605106, 0.018515, 361759.938241, 230902, 3706335.269088, 1.4852904015214992, 78.125, 161.77120224254995, 2347331.033298, 614495.745351, 0.063158, 744502.416964, 227044, 4516115.5989, 1.4379714037658038, 39.0625, 103.10914650868757, 1733746.056648, 1312424.928208, 0.243646, 1469940.441208, 222613, 6729083.888707, 1.3586508753861999, 19.53125, 55.736116194416525, 976494.049087, 2783712.389638, 0.901208, 2968872.264698, 217299, 12430619.060763, 1.2743288728347426, 9.765625, 32.832906600838356, 653120.518729, 5832189.809608, 3.222647, 5945301.532477
2500, 2500, 212550, 14835830.871609, 235811, 4038877.467951, 1.4728730041508569, 156.25, 243.45726010944918, 3329883.846356, 325009.395808, 0.020799, 383981.38338, 234889, 3757638.683965, 1.461887623376707, 78.125, 162.54244637939962, 2344899.837828, 631051.905359, 0.062106, 781683.435993, 234955, 4236433.793874, 1.474734721289456, 39.0625, 88.98364930564492, 1378382.579808, 1327022.035214, 0.239378, 1531025.478429, 230306, 6830521.122059, 1.4366658879186986, 19.53125, 53.213299779636856, 927262.33295, 2841186.534707, 0.766316, 3062067.943144, 223770, 12595411.189138, 1.2786927184931727, 9.765625, 29.581319161919993, 536863.556379, 5836513.136596, 2.983749, 6222027.994804
2500, 2500, 209379, 14454237.116421, 233419, 6015114.202697, 1.4773514007386532, 156.25, 359.205460008614, 5413869.097912, 247559.831667, 0.016731, 353680.830084, 229918, 5441455.885097, 1.4473908600365806, 78.125, 232.1657207147515, 4199880.657806, 531278.485791, 0.070833, 710289.724736, 227725, 5577833.02675, 1.3578692865640711, 39.0625, 146.9828726204179, 3023772.1776, 1116530.072973, 0.206016, 1437524.581633, 224662, 6550317.278674, 1.377310737063108, 19.53125, 55.85443378495122, 971374.524719, 2647223.353123, 0.791353, 2931714.887085, 220513, 11895688.460793, 1.3254992382756208, 9.765625, 32.05683048679914, 581174.718913, 5365128.662246, 3.067376, 5949377.930092
2500, 2500, 212099, 13818277.072865, 230066, 4491780.019051, 1.3615940941691924, 156.25, 283.5611706492975, 3883071.407663, 273197.787811, 0.017873, 335507.402628, 234712, 4239161.894151, 1.4564838629386874, 78.125, 183.8077715304769, 2936214.134619, 608336.194798, 0.067086, 694607.161887, 233893, 4048205.824964, 1.483270365034927, 39.0625, 86.13159898521565, 1291901.998785, 1305497.417791, 0.242825, 1450801.85594, 228596, 6520452.301751, 1.4227748691099475, 19.53125, 46.49494890240767, 718121.268367, 2778616.695309, 0.874709, 3023708.90178, 224275, 12258398.00836, 1.3125025234376893, 9.765625, 30.37666774613988, 564960.407347, 5736842.634394, 3.011903, 5956588.289019
2500, 2500, 214584, 14298945.300344, 228880, 5155919.442345, 1.3049752315313374, 156.25, 305.2489762472595, 4481002.44407, 234174.062193, 0.019597, 440738.150617, 236595, 4221915.177309, 1.4622998135424383, 78.125, 182.2868189831618, 2884546.836414, 599745.735699, 0.063019, 737616.110619, 239776, 5065311.839409, 1.5174140801602665, 39.0625, 112.68968383907198, 2044166.25926, 1522957.342481, 0.254677, 1498184.207258, 231686, 7256494.455071, 1.439783324389784, 19.53125, 48.81933170822292, 871120.83543, 3126199.251945, 0.952495, 3259169.474588, 225173, 12564181.002587, 1.3093083932083651, 9.765625, 32.27324365258898, 640068.178047, 5784066.042626, 5.510914, 6140036.764469
2500, 2500, 210216, 14248804.052839, 228688, 6070366.350467, 1.417070164627168, 156.25, 358.37611178760227, 5408209.104525, 242352.183839, 0.022342, 419797.683712, 229405, 4901832.13443, 1.404237983957557, 78.125, 212.60479033878798, 3634200.804236, 537761.170993, 0.05848, 729863.307715, 229796, 4944400.898776, 1.4221137197407439, 39.0625, 121.99831902018158, 2284756.03312, 1179329.605725, 0.211696, 1480307.585574, 227725, 6577184.623795, 1.41950211979563, 19.53125, 59.7648958288852, 1035225.782459, 2630167.900703, 1.044878, 2911785.614333, 222958, 12141226.576592, 1.3297215666210038, 9.765625, 34.616647091527724, 699902.026795, 5361568.275157, 3.086272, 6079744.864504
