N, N, MST_Cost, MST_Runtime, C16_MFC_Cost, C16_MFC_Runtime, C16_Gamma, C16_Cluster_Size_Mu, C16_Cluster_Size_Sigma, C16_Sub_Clustering_Runtime, C16_Completion_Edges_Runtime, C16_Completion_Runtime, C16_Clustering_Runtime, C32_MFC_Cost, C32_MFC_Runtime, C32_Gamma, C32_Cluster_Size_Mu, C32_Cluster_Size_Sigma, C32_Sub_Clustering_Runtime, C32_Completion_Edges_Runtime, C32_Completion_Runtime, C32_Clustering_Runtime, C64_MFC_Cost, C64_MFC_Runtime, C64_Gamma, C64_Cluster_Size_Mu, C64_Cluster_Size_Sigma, C64_Sub_Clustering_Runtime, C64_Completion_Edges_Runtime, C64_Completion_Runtime, C64_Clustering_Runtime, C128_MFC_Cost, C128_MFC_Runtime, C128_Gamma, C128_Cluster_Size_Mu, C128_Cluster_Size_Sigma, C128_Sub_Clustering_Runtime, C128_Completion_Edges_Runtime, C128_Completion_Runtime, C128_Clustering_Runtime, C256_MFC_Cost, C256_MFC_Runtime, C256_Gamma, C256_Cluster_Size_Mu, C256_Cluster_Size_Sigma, C256_Sub_Clustering_Runtime, C256_Completion_Edges_Runtime, C256_Completion_Runtime, C256_Clustering_Runtime
32295, 32295, 24224.18925333023, 10939905.648238, 24400.552574276924, 4079380.505326, 1.2890346414424756, 2018.4375, 5232.562314114735, 4017606.096779, 19850.573153, 0.096591, 41279.750971, 24545.180665373802, 1825054.087753, 1.7370641560949036, 1009.21875, 2378.5297551004987, 1707179.383342, 50801.384711, 0.137047, 66463.320699, 24700.971646249294, 721658.892603, 2.281326982334406, 504.609375, 913.9712389003876, 523415.200554, 92596.245569, 0.340838, 105040.758998, 24832.191492676735, 601941.025513, 2.7878069773335294, 252.3046875, 359.75687446944966, 204160.197196, 178952.440374, 1.149072, 218222.76743, 24924.277020335197, 869448.573762, 3.1289292169204956, 126.15234375, 185.1622288970724, 119650.164166, 345443.262263, 4.297241, 403732.795617
32295, 32295, 24224.18925333023, 10967561.869377, 24535.256353735924, 3571843.217266, 1.6455177559556131, 2018.4375, 3517.557852558185, 3515479.416121, 14689.8213, 0.091411, 40780.791771, 24638.84822201729, 1605485.380821, 1.9994244912196248, 1009.21875, 1619.1284641431134, 1497596.784936, 41407.02912, 0.141334, 65490.082945, 24684.335276067257, 898185.862163, 2.237350887089193, 504.609375, 678.0014200111304, 681600.525897, 90038.821883, 0.360726, 125789.168861, 24757.441428422928, 835071.722996, 2.3649449983438204, 252.3046875, 393.3001509382209, 404540.118067, 177661.215861, 1.324631, 251925.056107, 24908.52172654867, 964850.278279, 2.8325065161393184, 126.15234375, 210.75112190717238, 205644.916211, 335981.659788, 4.439487, 422480.456387
32295, 32295, 24224.18925333023, 10919038.556122, 24399.44749969244, 4820390.033961, 1.26142937019341, 2018.4375, 5117.387797606681, 4780349.875833, 14296.952188, 0.078146, 24882.920108, 24554.27279138565, 1776607.257254, 1.8029542451872416, 1009.21875, 2049.23689660284, 1691306.641398, 34392.34826, 0.127269, 50024.941803, 24673.750323057175, 829338.778414, 2.1736259008219974, 504.609375, 866.1135104806467, 636696.746196, 85377.429009, 0.346649, 106540.078144, 24773.399962008, 660171.327014, 2.4837222556364758, 252.3046875, 414.90487536666444, 295197.055743, 169820.422079, 1.218503, 194458.55148, 24895.886936604977, 853267.438543, 2.8389641835733594, 126.15234375, 223.53242789947018, 163701.411231, 326108.844821, 4.598215, 362848.522149
32295, 32295, 24224.18925333023, 10940501.946226, 24495.962100565434, 3225487.385077, 1.5708343539270717, 2018.4375, 4228.068308470637, 3176212.366672, 24639.197284, 0.090009, 23985.397487, 24636.16907811165, 1023023.7712, 2.073812198388085, 1009.21875, 1500.855521327232, 929904.888008, 43813.803716, 0.14395, 48705.378252, 24692.809647381306, 663295.012462, 2.2128933457867555, 504.609375, 664.9017694645648, 475713.169222, 89509.355744, 0.505347, 97473.518099, 24771.668391406536, 571947.855811, 2.4800631533807507, 252.3046875, 334.90839602498374, 228730.526419, 165809.707226, 1.369345, 176803.526411, 24879.435374438763, 820907.939201, 2.8068293779458195, 126.15234375, 198.0769959450916, 143375.614128, 328663.403149, 4.525978, 348258.263975
32295, 32295, 24224.18925333023, 10936493.733465, 24428.656263649464, 3810447.211411, 1.3323870605484522, 2018.4375, 4536.015197405511, 3743894.84959, 23488.200268, 0.132909, 42417.234489, 24533.158738553524, 1898095.910822, 1.6390133862395349, 1009.21875, 2216.134355899578, 1775571.098625, 52756.048844, 0.132819, 68863.729097, 24700.91328716278, 803509.713234, 2.214209013506492, 504.609375, 862.6678571658442, 592958.067656, 88469.370756, 0.360926, 121326.669368, 24794.64051949978, 683091.508155, 2.5735980576424446, 252.3046875, 432.20650371440195, 303494.078664, 168910.331643, 1.855015, 209724.086061, 24900.387911081314, 874578.701689, 2.925923099093174, 126.15234375, 244.33336488828502, 189081.059102, 323513.550808, 4.487577, 361250.902107
32295, 32295, 24224.18925333023, 10922560.524651, 24432.830705821514, 3624807.501655, 1.318245942801588, 2018.4375, 4621.640117003243, 3568218.577952, 23192.609334, 0.097262, 32694.40802, 24565.370222330093, 1690328.119858, 1.7475333246894742, 1009.21875, 2143.4347105518373, 1586093.261694, 48272.646878, 0.153538, 55237.146043, 24687.0314091444, 650357.794599, 2.2304644294794147, 504.609375, 713.3340867273267, 445164.846757, 91264.298653, 0.361728, 113321.729028, 24790.595591783524, 572281.30677, 2.5783528686686403, 252.3046875, 341.3314362214933, 224238.424108, 170623.713474, 1.212541, 176801.791283, 24895.61161863804, 850172.132308, 2.865970165020097, 126.15234375, 217.72910938281044, 157572.503923, 339595.767665, 4.683043, 352378.888519
32295, 32295, 24224.18925333023, 10943175.305201, 24358.284015238285, 5392583.858229, 1.202833735158788, 2018.4375, 5798.675408754464, 5346795.754736, 16334.348629, 0.084349, 28746.969068, 24446.953256070614, 3295789.162314, 1.4017833034130145, 1009.21875, 3222.4054653935837, 3201085.573176, 41052.768174, 0.144691, 52690.111982, 24567.65772306919, 1835051.687825, 1.7133917030369366, 504.609375, 1699.3252945763825, 1663987.237657, 80174.636667, 0.351088, 90134.752182, 24729.112317204475, 1101735.524877, 2.1916239992092814, 252.3046875, 803.3363005946061, 756838.878469, 169110.858603, 1.166475, 175072.702489, 24858.668120920658, 1034076.445282, 2.630568204789999, 126.15234375, 394.4417388983218, 374315.355978, 324032.680896, 4.631745, 335108.621823
32295, 32295, 24224.18925333023, 10929691.654791, 24378.058882296085, 5352733.942905, 1.2093025753305657, 2018.4375, 5416.113827837608, 5319613.459126, 12214.127498, 0.081182, 20216.625081, 24515.56529700756, 3835598.499697, 1.5040101548865696, 1009.21875, 3079.597617124425, 3731602.502811, 41391.828989, 0.137708, 61875.773188, 24604.723253667355, 1415098.737021, 1.816214575552481, 504.609375, 1267.8006622837477, 1195779.916679, 79433.842948, 0.370424, 139019.939936, 24754.95619916916, 865546.392979, 2.2349925757305478, 252.3046875, 553.8107692190785, 487385.573402, 165912.68859, 1.215958, 211541.874315, 24871.465678930283, 995887.588765, 2.626886497807978, 126.15234375, 267.10756156955165, 255095.153878, 366278.285018, 4.749937, 373794.290194
32295, 32295, 24224.18925333023, 10944469.474813, 24414.839183807373, 5136944.015858, 1.2865090973167124, 2018.4375, 5258.44214060531, 5078122.292101, 18639.13281, 0.126366, 39307.508427, 24524.677479445934, 2562221.127844, 1.5740553099359635, 1009.21875, 2482.852464082076, 2447563.443109, 54656.953199, 0.182061, 59353.299746, 24679.638704657555, 984667.805532, 2.172171805662947, 504.609375, 900.8491760761673, 781958.337257, 101554.235517, 0.401182, 100555.427253, 24823.380544304848, 607684.167329, 2.722472680618211, 252.3046875, 325.91713283905057, 226018.330148, 199861.712286, 1.267144, 181193.415195, 24925.882432043552, 850748.079204, 3.072361521443578, 126.15234375, 176.51039118882446, 121403.554398, 381694.831836, 4.754227, 347030.685819
32295, 32295, 24224.18925333023, 10936445.829146, 24548.773718059063, 1710048.251906, 1.8017510973565527, 2018.4375, 2694.747227680873, 1660896.677278, 20058.53379, 0.086442, 28207.181331, 24632.259182095528, 964384.829018, 2.012580625144286, 1009.21875, 1291.5894939563566, 868579.167615, 41694.505255, 0.135564, 53449.342498, 24707.58534860611, 606396.27347, 2.335577647330371, 504.609375, 666.1277940734116, 409196.616218, 82493.315215, 0.361076, 114111.442248, 24822.446903944016, 570009.989787, 2.7874788090523364, 252.3046875, 321.20913063458727, 210249.825377, 166464.740839, 1.205349, 192696.657998, 24953.33885616064, 835495.979936, 3.209810187572445, 126.15234375, 176.53413553795153, 121710.14001, 349318.2395, 4.387721, 363840.244813
32295, 32295, 24224.18925333023, 10911716.831421, 24498.906918108463, 1910032.369053, 1.6607270481137297, 2018.4375, 2955.0646771422366, 1841818.71165, 24872.489919, 0.088796, 42332.776085, 24600.91757762432, 1132142.722513, 1.9653443591349788, 1009.21875, 1669.1144496104625, 1013143.216647, 49693.819168, 0.137848, 68553.286908, 24723.34106785059, 598918.099257, 2.3834572273812196, 504.609375, 652.8477908648457, 401610.70308, 91735.266754, 0.411972, 104838.542243, 24840.644726395607, 561566.391282, 2.8001647216163836, 252.3046875, 320.1402660991387, 198687.448424, 169272.569005, 1.178728, 192987.511096, 24936.319981455803, 855453.075895, 3.137907903996521, 126.15234375, 211.2169450710142, 163771.922202, 339007.966449, 4.550145, 351997.995993
32295, 32295, 24224.18925333023, 10947367.751268, 24445.94727241993, 4437209.874439, 1.3184031987397855, 2018.4375, 4686.4234359577185, 4389481.455387, 14745.457848, 0.134361, 32130.337265, 24523.870962560177, 2526858.283411, 1.5628995082528463, 1009.21875, 2407.5461150097285, 2439464.193926, 30749.882826, 0.167614, 55723.153423, 24617.496733009815, 1347216.868352, 1.8782292429552827, 504.609375, 1063.2384877284633, 1158929.038376, 93302.725068, 0.457437, 94066.719918, 24756.592644751072, 910498.051641, 2.2883711376161626, 252.3046875, 508.30603414973086, 583179.419142, 149084.971666, 1.234362, 177480.444255, 24872.80498546362, 981943.097153, 2.6370121446322616, 126.15234375, 268.4664860557679, 343308.489261, 299816.262049, 4.488599, 338196.202317
32295, 32295, 24224.18925333023, 10934976.232905, 24508.49908530712, 2701204.181521, 1.6546158356135463, 2018.4375, 4005.0810224131233, 2646232.740409, 22842.157814, 0.094638, 31494.180248, 24574.466074585915, 1370255.415857, 1.8105876635151035, 1009.21875, 1834.6467087421593, 1262662.833012, 49246.590694, 0.151754, 57486.302714, 24675.695061206818, 685533.38941, 2.148692945882545, 504.609375, 752.7233600647115, 490902.33283, 86040.820312, 0.346159, 107836.342668, 24790.776677012444, 612403.421064, 2.582279384056977, 252.3046875, 362.09972639181507, 257883.450973, 168789.605274, 1.180862, 185024.002109, 24920.05013167858, 824251.021524, 3.0463994634828095, 126.15234375, 197.5618678670857, 152529.635831, 323618.563291, 4.631487, 347481.261905
32295, 32295, 24224.18925333023, 10908805.064449, 24420.798860251904, 4484261.168905, 1.3056129032007513, 2018.4375, 5566.35491107904, 4409855.692555, 28942.588659, 0.098234, 44505.570496, 24550.198704898357, 2275052.430881, 1.649737668523892, 1009.21875, 2786.62326721759, 2161184.118859, 48038.108591, 0.137027, 64972.117384, 24662.260351240635, 869483.684196, 2.07423798284976, 504.609375, 987.8237383446044, 673515.690983, 87799.917297, 0.341129, 107433.528725, 24775.209779798985, 652281.967532, 2.4635374110581942, 252.3046875, 403.15749013633285, 268487.561471, 173917.25582, 1.160724, 209173.648252, 24898.48480093479, 870421.487516, 2.837262959432548, 126.15234375, 227.74306262240313, 172272.031064, 333898.667795, 4.589267, 363635.652993
