N, N, MST_Cost, MST_Runtime, C16_MFC_Cost, C16_MFC_Runtime, C16_Gamma, C16_Cluster_Size_Mu, C16_Cluster_Size_Sigma, C16_Sub_Clustering_Runtime, C16_Completion_Edges_Runtime, C16_Completion_Runtime, C16_Clustering_Runtime, C32_MFC_Cost, C32_MFC_Runtime, C32_Gamma, C32_Cluster_Size_Mu, C32_Cluster_Size_Sigma, C32_Sub_Clustering_Runtime, C32_Completion_Edges_Runtime, C32_Completion_Runtime, C32_Clustering_Runtime, C64_MFC_Cost, C64_MFC_Runtime, C64_Gamma, C64_Cluster_Size_Mu, C64_Cluster_Size_Sigma, C64_Sub_Clustering_Runtime, C64_Completion_Edges_Runtime, C64_Completion_Runtime, C64_Clustering_Runtime, C128_MFC_Cost, C128_MFC_Runtime, C128_Gamma, C128_Cluster_Size_Mu, C128_Cluster_Size_Sigma, C128_Sub_Clustering_Runtime, C128_Completion_Edges_Runtime, C128_Completion_Runtime, C128_Clustering_Runtime, C256_MFC_Cost, C256_MFC_Runtime, C256_Gamma, C256_Cluster_Size_Mu, C256_Cluster_Size_Sigma, C256_Sub_Clustering_Runtime, C256_Completion_Edges_Runtime, C256_Completion_Runtime, C256_Clustering_Runtime
33240, 33240, 22868.6740398407, 29050981.923604, 23090.213079690933, 7215879.861491, 1.3953203641025957, 2077.5, 3976.7298908776793, 7056408.014213, 41012.464453, 0.226545, 115817.40748, 23151.427173018456, 5793759.888991, 1.5133630717387447, 1038.75, 2580.6848412776017, 5555294.155139, 74251.905323, 0.267582, 162130.737025, 23257.97554475069, 4620770.148707, 1.6898236706901162, 519.375, 1625.470609738915, 4212085.795563, 156167.480995, 0.890138, 250604.14161, 23377.840523660183, 3111506.698093, 1.9545155847573596, 259.6875, 899.3532637227431, 2380991.004451, 324730.134166, 1.452111, 403315.297538, 23501.61179512739, 3048752.685208, 2.283498020402634, 129.84375, 498.28557539671715, 1549752.294903, 772719.136665, 5.175707, 724662.944592
33240, 33240, 22868.6740398407, 32658788.425221, 23060.75598746538, 12589769.538942, 1.3636713157240417, 2077.5, 5238.145270513219, 12495665.86671, 49186.646793, 0.245069, 42802.034471, 23123.251730799675, 7342763.354169, 1.4772464674390293, 1038.75, 3170.21989576433, 7119071.299895, 76303.202874, 0.262542, 145745.148928, 23218.16050297022, 5637341.678513, 1.66035971297528, 519.375, 1946.220588249184, 5253506.521507, 148417.972242, 0.498474, 233091.359169, 23335.818812847137, 3772690.416098, 1.9932192277703464, 259.6875, 1067.0642608197268, 3081427.831113, 306190.080293, 1.398119, 383202.158004, 23439.320417940617, 3138005.689847, 2.2985750819721154, 129.84375, 582.4488434819298, 1696864.007066, 662814.75597, 5.139688, 776706.802338
33240, 33240, 22868.6740398407, 32727896.086611, 23049.203965306282, 16042747.548155, 1.3220142219705664, 2077.5, 5689.297111682602, 15946951.856179, 51619.480943, 0.301255, 42511.748035, 23151.32115828991, 8262260.126216, 1.5267943379425366, 1038.75, 3192.6163154221963, 8069456.887721, 66490.023316, 0.260889, 124020.766554, 23243.20716494322, 6030190.890505, 1.7039802283613803, 519.375, 1833.4419432790885, 5686325.362826, 139768.244999, 0.434253, 202217.859646, 23396.42694634199, 4264713.547626, 2.1124719324526287, 259.6875, 1008.8209528175701, 3541492.612314, 351270.658221, 1.54813, 370038.494408, 23494.100495040417, 3153885.813045, 2.434433174021583, 129.84375, 481.75389913931934, 1714170.159758, 732912.313522, 5.255665, 705185.620289
33240, 33240, 22868.6740398407, 32610529.963293, 23138.648502409458, 9770487.166421, 1.4907037964484993, 2077.5, 3914.84950221589, 9698447.932027, 32043.943953, 0.237395, 38152.379583, 23219.5133882761, 4602411.183953, 1.7089579428617279, 1038.75, 2101.1086656810494, 4368539.487669, 78217.266486, 0.258374, 153841.803613, 23336.497452437878, 2935038.935665, 2.033468564570873, 519.375, 1139.518367282862, 2534205.321516, 161037.6888, 0.465983, 238252.189379, 23445.049730360508, 2066456.344019, 2.3531829600198253, 259.6875, 602.8824739066065, 1336872.062335, 344636.457583, 2.371523, 381939.410158, 23545.863166689873, 2293211.577326, 2.6474220522352576, 129.84375, 352.1963327974008, 869654.696633, 703666.286273, 5.184562, 717965.568276
33240, 33240, 22868.6740398407, 32601199.141062, 23092.145040631294, 9088622.983071, 1.4721497844122393, 2077.5, 3856.522948200879, 9009128.706392, 34021.218108, 0.213881, 43478.556201, 23150.760169804096, 5695823.712691, 1.5731301682296865, 1038.75, 2491.528546896463, 5519745.305675, 81022.139991, 0.268724, 93421.993143, 23239.26440912485, 4677957.730063, 1.7353070909724209, 519.375, 1573.5052976952445, 4346703.626407, 164297.217265, 0.451997, 165374.08154, 23344.40251070261, 4206185.522235, 1.9762978828295845, 259.6875, 942.6122674348928, 3517008.190701, 368087.331159, 2.168423, 319530.564055, 23465.66703850031, 3193345.915012, 2.2473352424328845, 129.84375, 532.2077460549945, 1869192.915855, 666135.177338, 9.132187, 656412.732755
33240, 33240, 22868.6740398407, 32631611.102264, 23260.4888728261, 4501320.286322, 1.902077528856985, 2077.5, 2353.837531564148, 4416709.701743, 45389.150428, 0.232185, 37477.378426, 23238.977296829224, 3481585.242688, 1.7801390128659664, 1038.75, 1533.736348757504, 3268658.542906, 86417.478442, 0.240972, 124745.297429, 23332.549501419067, 3071143.167243, 1.9818986886344692, 519.375, 1021.1219243435135, 2701295.207411, 179775.736947, 0.469981, 188510.994995, 23449.585552573204, 2472867.605023, 2.317726569963448, 259.6875, 600.7795034109852, 1757622.055379, 357008.108878, 1.503446, 356658.256686, 23583.554265260696, 2539529.961087, 2.832059114756185, 129.84375, 323.65436419263295, 1141593.104163, 714421.147204, 5.144829, 681962.496454
33240, 33240, 22868.6740398407, 32399377.922272, 23044.56942796707, 21547857.887401, 1.1984860387561016, 2077.5, 6219.1278025941865, 21480176.137199, 21276.313475, 0.277289, 44552.187559, 23115.511534392834, 15415780.878679, 1.3350514445527646, 1038.75, 3448.700624873084, 15280485.114584, 53288.184558, 0.314368, 80439.041532, 23203.707561016083, 10063975.533582, 1.5273796111545428, 519.375, 1916.7179671576619, 9792469.674751, 111296.015519, 0.451647, 158617.18146, 23301.968387305737, 8098319.874534, 1.6970208545054737, 259.6875, 1152.9121941170324, 7542556.315221, 237005.370592, 1.422995, 317160.224587, 23424.51673644781, 6942888.913853, 1.9348712091282316, 129.84375, 689.0674737632285, 5756214.580684, 503590.83479, 5.400687, 681498.346278
33240, 33240, 22868.6740398407, 32582916.98947, 23024.89884841442, 19275146.280572, 1.2666819150287654, 2077.5, 5678.502520471397, 19199149.173381, 30372.114459, 0.233528, 39540.530818, 23061.761314988136, 19274265.232454, 1.2974347589495154, 1038.75, 4006.1383603789823, 19136178.790032, 58087.38322, 0.268413, 78306.274339, 23169.693336308002, 13683822.425502, 1.4590966733687218, 519.375, 2454.75811881232, 13415706.027006, 111161.731139, 0.47538, 155357.509763, 23282.33054512739, 10500463.927779, 1.6796950708958611, 259.6875, 1441.2237299752423, 9941087.721781, 246397.109626, 1.385044, 311394.278669, 23403.199838221073, 7088971.835797, 1.942735596700789, 129.84375, 752.9712336543392, 5864988.223844, 581605.709798, 5.273406, 640798.151293
33240, 33240, 22868.6740398407, 32530758.996593, 23154.845699310303, 5730522.536533, 1.4763529152582728, 2077.5, 3468.2679034353732, 5578477.586318, 34088.257159, 0.190977, 116363.949453, 23162.492972910404, 4330078.121472, 1.523538461265563, 1038.75, 2134.387909917033, 4102369.757394, 77842.799359, 0.231964, 148311.138078, 23271.30164605379, 2863868.243259, 1.7844480551573276, 519.375, 1215.4713270476602, 2477305.360925, 162413.544582, 0.511057, 222592.74659, 23364.14826452732, 3167952.489608, 1.9507024971407674, 259.6875, 780.7527692674231, 2399669.209056, 383703.590025, 1.376519, 383040.157609, 23495.285247683525, 2628360.296509, 2.4104665595565504, 129.84375, 405.4505198213926, 1125842.473828, 791635.095421, 5.519962, 708597.680472
33240, 33240, 22868.6740398407, 31467112.766532, 22984.311595082283, 20695923.553236, 1.1304136521607577, 2077.5, 6141.597461165947, 20633460.715143, 21533.025404, 0.22415, 38476.271363, 23038.71893399954, 14002065.686299, 1.21135426188915, 1038.75, 3997.210660260477, 13802873.069052, 54123.72144, 0.265077, 143320.135712, 23122.344147622585, 12316507.269366, 1.3206738949653367, 519.375, 2597.8960387446223, 11983282.978341, 111297.717243, 0.461565, 220339.253043, 23228.92192798853, 9881578.735144, 1.478266530929382, 259.6875, 1574.1862816130592, 9257121.197925, 240521.33935, 1.401716, 381625.333595, 23359.217712044716, 6437230.284973, 1.7898161757439002, 129.84375, 831.5984320262019, 5141002.66703, 541109.599613, 5.069326, 752602.891206
