N, N, MST_Cost, MST_Runtime, C16_MFC_Cost, C16_MFC_Runtime, C16_Gamma, C16_Cluster_Size_Mu, C16_Cluster_Size_Sigma, C16_Sub_Clustering_Runtime, C16_Completion_Edges_Runtime, C16_Completion_Runtime, C16_Clustering_Runtime, C32_MFC_Cost, C32_MFC_Runtime, C32_Gamma, C32_Cluster_Size_Mu, C32_Cluster_Size_Sigma, C32_Sub_Clustering_Runtime, C32_Completion_Edges_Runtime, C32_Completion_Runtime, C32_Clustering_Runtime, C64_MFC_Cost, C64_MFC_Runtime, C64_Gamma, C64_Cluster_Size_Mu, C64_Cluster_Size_Sigma, C64_Sub_Clustering_Runtime, C64_Completion_Edges_Runtime, C64_Completion_Runtime, C64_Clustering_Runtime, C128_MFC_Cost, C128_MFC_Runtime, C128_Gamma, C128_Cluster_Size_Mu, C128_Cluster_Size_Sigma, C128_Sub_Clustering_Runtime, C128_Completion_Edges_Runtime, C128_Completion_Runtime, C128_Clustering_Runtime, C256_MFC_Cost, C256_MFC_Runtime, C256_Gamma, C256_Cluster_Size_Mu, C256_Cluster_Size_Sigma, C256_Sub_Clustering_Runtime, C256_Completion_Edges_Runtime, C256_Completion_Runtime, C256_Clustering_Runtime
30000, 30000, 36273, 83504.683321, 36386, 130811.666372, 1.0085384229030638, 1875, 7248.934559643921, 130278.351235, 177.534464, 0.008206, 349.923712, 36658, 128302.672853, 1.0366230201841158, 937.5, 5183.5091576556515, 126434.158075, 321.8147, 0.041919, 665.399518, 37293, 131397.309473, 1.1070316985465205, 468.75, 3650.3094004138884, 129580.041827, 603.235276, 0.317385, 1210.458213, 37808, 103541.774254, 1.169138519439926, 234.375, 2556.7280543205998, 100216.983909, 1108.087368, 1.618813, 2207.777719, 38437, 114586.935255, 1.26064842046988, 117.1875, 1756.6769687840306, 108386.916802, 2168.696163, 4.87391, 4022.238294
30000, 30000, 36223, 84962.45766, 36538, 130977.130628, 1.034675966953489, 1875, 7226.484856069374, 130165.672042, 373.89267, 0.008706, 431.779559, 36978, 130967.283268, 1.0846958796599084, 937.5, 5152.636843160985, 129819.857984, 406.330299, 0.028022, 735.628837, 37619, 140983.336962, 1.1598652308079853, 468.75, 3621.7524806714773, 138788.55278, 912.519064, 0.099427, 1274.094102, 38147, 132466.328454, 1.2368579857851683, 234.375, 2527.290755433573, 129015.273909, 1160.154547, 0.338013, 2282.050541, 39178, 103559.29964, 1.3652454922698396, 117.1875, 1706.4306051393505, 97285.320732, 2205.032756, 3.220492, 4061.656569
30000, 30000, 35840, 86752.093539, 35983, 129089.471439, 1.0125212947189097, 1875, 7243.771281245702, 128444.024814, 215.563158, 0.008426, 423.218333, 36326, 127453.149146, 1.0494047444935208, 937.5, 5171.6536584055975, 126385.607744, 346.501803, 0.026419, 719.215534, 36866, 132111.541549, 1.1097388632872505, 468.75, 3653.828920632437, 130144.775305, 718.462602, 0.248826, 1245.306578, 37443, 122858.883474, 1.1895171870900025, 234.375, 2531.1124437932426, 119519.255986, 1124.782271, 0.327643, 2211.843815, 38058, 104132.109122, 1.2701309704522188, 117.1875, 1722.9129120021564, 97894.655711, 2199.446602, 6.037168, 4025.758777
30000, 30000, 35966, 134842.54064, 36122, 135083.604014, 1.0146813856969423, 1875, 7238.866606727879, 134606.112311, 154.042381, 0.013375, 316.556341, 36299, 133400.641843, 1.0323182457449556, 937.5, 5184.760752677022, 132461.521701, 295.796044, 0.050525, 639.885738, 36951, 123495.352753, 1.1097307856663208, 468.75, 3631.6970421897804, 121776.586926, 557.44771, 0.088876, 1157.287597, 38013, 115590.427582, 1.2707138687635202, 234.375, 2408.1804107302673, 110918.652694, 1107.14319, 0.338264, 2171.588762, 39206, 90511.239163, 1.4850139497807893, 117.1875, 1628.2925333670084, 82605.361733, 3911.976717, 2.355343, 3990.445921
30000, 30000, 35825, 129820.827376, 35972, 132137.714488, 1.0163985676121186, 1875, 7238.869162376123, 131649.109939, 155.728169, 0.008166, 322.373407, 36380, 135152.220107, 1.0665029004380253, 937.5, 5160.7163262477425, 134221.466206, 299.612141, 0.027081, 625.878541, 36951, 115964.912432, 1.1273573200992555, 468.75, 3635.5748943599, 114286.777931, 547.055455, 0.18679, 1124.24774, 37334, 118965.042941, 1.1734429625793086, 234.375, 2550.967472719909, 115676.59569, 1199.583402, 0.727393, 2083.613714, 38002, 103682.931404, 1.263213197436167, 117.1875, 1741.5274130684104, 97738.700716, 2088.010838, 1.701027, 3853.365242
30000, 30000, 36249, 125988.517435, 36277, 126916.007622, 1.0042646894860074, 1875, 7246.612035979296, 125895.745159, 181.154164, 0.010639, 832.035269, 36522, 114056.893058, 1.0283706106653008, 937.5, 5186.556944399627, 113047.33739, 310.316062, 0.05911, 693.771473, 38067, 107711.872619, 1.2605420673885264, 468.75, 3295.861097649596, 105880.753058, 603.334733, 0.099657, 1222.980499, 38481, 100044.432327, 1.3056264643144386, 234.375, 2456.030292336599, 95717.529147, 2111.629731, 1.378452, 2210.876243, 39157, 112909.915083, 1.375402137336834, 117.1875, 1685.5080314904317, 104909.722478, 3973.371889, 4.768832, 4018.52649
30000, 30000, 35524, 121752.796524, 35744, 96569.646605, 1.0203970394170636, 1875, 7231.122552895919, 96130.899074, 144.648655, 0.009739, 287.98327, 36058, 128591.611359, 1.0518342011590622, 937.5, 5170.759391762491, 127577.448221, 280.307492, 0.028643, 579.889197, 36560, 130671.319928, 1.1128593508500773, 468.75, 3644.137706646114, 129038.899876, 532.607142, 0.23523, 1096.937144, 37288, 124483.138728, 1.2086290188239213, 234.375, 2538.036704324821, 121087.050282, 1317.96708, 1.005043, 2071.633183, 37633, 101798.843799, 1.250428216869997, 117.1875, 1737.2215053336606, 95851.874541, 2073.371647, 5.672835, 3862.85623
30000, 30000, 35709, 124517.703851, 35812, 118272.241128, 1.0083212632416005, 1875, 7249.450824027983, 117643.159217, 212.754897, 0.009699, 405.907196, 36127, 103634.734024, 1.0443683008258653, 937.5, 5180.817864970742, 102537.808802, 354.570026, 0.026339, 736.238499, 36785, 136789.961944, 1.1176087361171434, 468.75, 3647.409658750988, 134561.914907, 963.375515, 0.195547, 1261.757173, 37291, 119083.33068, 1.1809498887871255, 234.375, 2527.2171701300226, 115669.180932, 1143.911592, 0.330479, 2267.691686, 38189, 119949.071013, 1.2973050561596153, 117.1875, 1730.0111372925464, 113440.020786, 2476.638868, 2.782873, 4027.153881
30000, 30000, 36102, 128838.292809, 36219, 137242.45493, 1.011343535027376, 1875, 7243.771600485482, 136370.08, 350.443345, 0.009097, 516.541889, 36657, 140697.489111, 1.065942773294204, 937.5, 5149.968021745378, 139786.664449, 287.279491, 0.027862, 620.308647, 37378, 122559.891802, 1.151244994994995, 468.75, 3612.1767329409563, 120849.205048, 555.598667, 0.193833, 1152.609334, 38717, 94178.788832, 1.3491253123884328, 234.375, 2353.74734798045, 90995.339358, 1076.742465, 0.340578, 2104.455954, 39059, 95957.298096, 1.4038164196553156, 117.1875, 1659.3263187303605, 87675.206288, 4035.394033, 3.4861, 4237.3583
30000, 30000, 36132, 125876.880623, 36335, 135946.354659, 1.0212675817658023, 1875, 7236.02561839025, 135423.101699, 143.043158, 0.008656, 367.726198, 36655, 123301.816716, 1.058790968681719, 937.5, 5171.65138640454, 122423.59791, 279.77249, 0.181049, 591.142796, 37213, 128685.916365, 1.1211138310893514, 468.75, 3646.2865784932483, 127005.740652, 544.983744, 0.110968, 1128.997767, 37627, 122664.839386, 1.1735555769663102, 234.375, 2538.2875501999374, 119478.087826, 1073.182958, 0.379511, 2108.664327, 38415, 97983.411168, 1.2960523973943687, 117.1875, 1720.214638451769, 91891.842116, 2167.96393, 1.564241, 3917.409345
