g, x, y
0, 0.775940, -0.825581
0, 1.239980, -0.285238
0, 0.384801, -2.212601
0, 0.793210, -2.238755
0, 0.737025, -1.352969
0, -0.202742, -2.765271
0, 1.690353, -1.626571
0, 0.890080, -1.547275
0, 1.633375, -2.487719
0, 0.998295, -1.290669
0, 0.712223, -2.041064
0, 1.437610, -1.851422
0, 1.047661, -1.985866
0, 0.386899, -1.031081
0, 0.869982, -1.131818
0, 1.196612, -1.905770
0, 1.645736, -1.355150
0, 0.712786, -2.116327
0, 2.220665, -0.970119
0, -0.517458, -2.524760
0, 0.880381, -2.495842
0, 0.540133, -2.283891
0, -0.107483, -2.207415
0, 1.637824, -2.544654
0, 1.070104, -2.145366
0, 0.876343, -2.748785
0, 0.918313, -2.661498
0, 0.174668, -1.810900
0, 0.663759, -1.883835
0, 0.907782, -1.899992
0, 0.879849, -2.266764
0, -0.316081, -2.433092
0, 0.041116, -1.782950
0, 1.021387, -1.626489
0, 1.026295, -1.569348
0, 0.770336, -1.414225
0, 0.566683, -0.987687
0, 1.371406, -1.585636
0, 0.795535, -2.006882
0, 1.032803, -2.399460
0, 0.869706, -1.289304
0, 1.000460, -2.046910
0, 0.138185, -1.810746
0, 1.047443, -1.975114
0, 0.870808, -1.738020
0, 0.396807, -1.581186
0, 1.251288, -2.770855
0, 0.965417, -0.835302
0, 0.833536, -0.536940
0, 0.243248, -3.439149
0, -0.189059, -1.628931
0, 0.972597, -1.961533
0, -0.152309, -2.385143
0, 1.007455, -2.173362
0, 1.422702, -1.022572
0, 1.211786, -1.951519
0, 0.979613, -2.080532
0, 0.970303, -1.965798
0, 0.233767, -1.355673
0, 1.131682, -2.154962
0, 1.016627, -2.176323
0, 0.080219, -2.559638
0, 0.075663, -1.751998
0, 0.851897, -0.917323
0, 0.730775, -2.096782
0, 1.314504, -2.039817
0, 1.331636, -1.873272
0, 2.058531, -1.271131
0, 1.203204, -2.318429
0, 0.995575, -2.194614
0, 0.161757, -2.090492
0, 0.733061, -1.518088
0, 1.973563, -2.131202
0, 1.179995, -1.706269
0, 1.321945, -1.132982
0, 0.281519, -2.938201
0, 1.303932, -1.096592
0, 1.194421, -1.844604
0, 0.950592, -1.326786
0, 0.310474, -1.592491
0, 1.458683, -2.393179
0, 0.801025, -1.068661
0, 0.534144, -1.860772
0, 1.655504, -1.257396
0, 1.245396, -1.616526
0, 1.371065, -1.811344
0, 1.308559, -1.202221
0, 0.719398, -1.902201
0, 1.626059, -0.872737
0, 1.139282, -2.490379
0, 0.962192, -1.523019
0, 0.816253, -2.841298
0, 1.925053, -1.097431
0, 1.855665, -1.288011
0, 0.397926, -2.090289
0, 1.250210, -2.267329
0, 1.098815, -1.229993
0, 0.860263, -2.092932
0, 0.785909, -1.165434
0, 1.018420, -1.210499
0, 1.775585, -1.746082
0, 2.008408, -1.179092
0, 0.634627, -2.517250
0, 0.449873, -1.067569
0, 0.447395, -1.241670
0, 1.620383, -1.353604
0, 0.533543, -1.159007
0, 0.326246, -1.941377
0, 0.627555, -0.876744
0, 0.124166, -1.967906
0, 1.044279, -2.538860
0, 0.850522, -2.127169
0, 0.235706, -1.189423
0, 0.664766, -1.160079
0, 0.833550, -1.781499
0, 1.701880, -1.572077
0, 0.744513, -1.773916
0, 1.424814, -2.761414
0, 2.280317, -1.518117
0, 0.727029, -1.958457
0, 1.384781, -2.249592
0, 1.527748, -0.850828
0, 0.575853, -2.679317
0, 0.746120, -1.477539
0, 0.873916, -3.146547
0, 0.631305, -2.492969
