N_mu, N_sigma, GaussCount, PointsPerGauss, MST_Cost_mu, MST_Cost_sigma, MST_Runtime_mu, MST_Runtime_sigma, C16_MFC_Cost_mu, C16_MFC_Cost_sigma, C16_MFC_Runtime_mu, C16_MFC_Runtime_sigma, C16_Gamma_mu, C16_Gamma_sigma, C16_Cluster_Size_Mu_mu, C16_Cluster_Size_Mu_sigma, C16_Cluster_Size_Sigma_mu, C16_Cluster_Size_Sigma_sigma, C16_Sub_Clustering_Runtime_mu, C16_Sub_Clustering_Runtime_sigma, C16_Completion_Edges_Runtime_mu, C16_Completion_Edges_Runtime_sigma, C16_Completion_Runtime_mu, C16_Completion_Runtime_sigma, C16_Clustering_Runtime_mu, C16_Clustering_Runtime_sigma, C32_MFC_Cost_mu, C32_MFC_Cost_sigma, C32_MFC_Runtime_mu, C32_MFC_Runtime_sigma, C32_Gamma_mu, C32_Gamma_sigma, C32_Cluster_Size_Mu_mu, C32_Cluster_Size_Mu_sigma, C32_Cluster_Size_Sigma_mu, C32_Cluster_Size_Sigma_sigma, C32_Sub_Clustering_Runtime_mu, C32_Sub_Clustering_Runtime_sigma, C32_Completion_Edges_Runtime_mu, C32_Completion_Edges_Runtime_sigma, C32_Completion_Runtime_mu, C32_Completion_Runtime_sigma, C32_Clustering_Runtime_mu, C32_Clustering_Runtime_sigma, C64_MFC_Cost_mu, C64_MFC_Cost_sigma, C64_MFC_Runtime_mu, C64_MFC_Runtime_sigma, C64_Gamma_mu, C64_Gamma_sigma, C64_Cluster_Size_Mu_mu, C64_Cluster_Size_Mu_sigma, C64_Cluster_Size_Sigma_mu, C64_Cluster_Size_Sigma_sigma, C64_Sub_Clustering_Runtime_mu, C64_Sub_Clustering_Runtime_sigma, C64_Completion_Edges_Runtime_mu, C64_Completion_Edges_Runtime_sigma, C64_Completion_Runtime_mu, C64_Completion_Runtime_sigma, C64_Clustering_Runtime_mu, C64_Clustering_Runtime_sigma, C128_MFC_Cost_mu, C128_MFC_Cost_sigma, C128_MFC_Runtime_mu, C128_MFC_Runtime_sigma, C128_Gamma_mu, C128_Gamma_sigma, C128_Cluster_Size_Mu_mu, C128_Cluster_Size_Mu_sigma, C128_Cluster_Size_Sigma_mu, C128_Cluster_Size_Sigma_sigma, C128_Sub_Clustering_Runtime_mu, C128_Sub_Clustering_Runtime_sigma, C128_Completion_Edges_Runtime_mu, C128_Completion_Edges_Runtime_sigma, C128_Completion_Runtime_mu, C128_Completion_Runtime_sigma, C128_Clustering_Runtime_mu, C128_Clustering_Runtime_sigma, C256_MFC_Cost_mu, C256_MFC_Cost_sigma, C256_MFC_Runtime_mu, C256_MFC_Runtime_sigma, C256_Gamma_mu, C256_Gamma_sigma, C256_Cluster_Size_Mu_mu, C256_Cluster_Size_Mu_sigma, C256_Cluster_Size_Sigma_mu, C256_Cluster_Size_Sigma_sigma, C256_Sub_Clustering_Runtime_mu, C256_Sub_Clustering_Runtime_sigma, C256_Completion_Edges_Runtime_mu, C256_Completion_Edges_Runtime_sigma, C256_Completion_Runtime_mu, C256_Completion_Runtime_sigma, C256_Clustering_Runtime_mu, C256_Clustering_Runtime_sigma
20000, 0, 8, 2500, 36178.07379899174, 469.62763646164404, 63473.340885125, 2293.6758099602994, 36768.2715776898, 480.73257248989864, 3208.39961325, 908.5408383537502, 1.2406171829623602, 0.021109285888722937, 1250, 0, 598.9256693408272, 87.02893077673751, 3153.4261743749994, 921.691586358303, 4.960414062499999, 0.11110858916588574, 0.011622937500000001, 0.0014208405728982226, 6.0835123125, 0.4865691585732853, 37333.10842077434, 483.7765128820906, 1350.2249640624996, 393.3555569436399, 1.5103033611613705, 0.030288875477067267, 625, 0, 469.39907230977354, 42.33298037256537, 1326.8570495625, 393.30254200365073, 11.2887260625, 0.18676113600916452, 0.04775125, 0.002899686631775924, 11.303317750000001, 0.1602768671204222, 37974.253770489246, 507.5384513679721, 614.4197863124999, 92.58997573585994, 1.8737158631033883, 0.04280547677333194, 312.5, 0, 282.119519632865, 29.4014920687967, 566.3018606874999, 93.23905545213476, 24.5706709375, 0.3979495215049998, 0.21918012499999998, 0.0097877217272139, 22.775068749999996, 1.3050198778369004, 38680.5796879679, 526.74257733567, 366.2550182499999, 55.10828100499075, 2.3477099314793595, 0.0653932618721172, 156.25, 0, 153.96764075120072, 23.66784260096793, 267.002976875, 56.16343256503781, 52.46525831249999, 2.9436998277024125, 1.0221355, 0.05766592886835342, 45.059881499999996, 1.2836414302344128, 39406.36169251427, 534.8453103515837, 324.41654975, 24.901165752379132, 2.8768017831315364, 0.07327048707882955, 78.125, 0, 81.83645254687855, 12.58619172118779, 122.4588044375, 26.402735316362204, 107.24861168749999, 1.8762466462418619, 4.850053999999999, 0.9403852657032383, 89.274330875, 0.8751063497541941
19998, 0, 9, 2222, 36657.53273927793, 550.762946476663, 61947.93463, 2066.6506121815933, 37144.37482379377, 571.4292144947791, 3125.6762464999997, 738.9769780811993, 1.185033833487495, 0.016760483445899605, 1249.875, 0, 606.1523479270037, 56.30402829798849, 3089.153082125, 739.3201736942009, 5.045446312499999, 0.21120320275765198, 0.011331312500000001, 0.0009718336225114616, 14.047995500000003, 31.180987209412912, 37750.88640686497, 566.9016813108843, 1086.602074375, 217.85922675088642, 1.4677310313342449, 0.025917281958915576, 624.9375, 0, 442.9189335662837, 40.599149557054204, 1062.70430875, 218.19748927397163, 11.323723000000001, 0.43827912824834003, 0.0473154375, 0.0012756877541521467, 11.296728, 0.10924031652164881, 38402.8788827993, 580.013656922803, 598.277785625, 233.60059573449053, 1.8272519803932321, 0.044570980479430346, 312.46875, 0, 263.525239419329, 31.82486783040621, 549.2744171875, 234.11587904766864, 24.436806, 0.4630916600559491, 0.22567831249999998, 0.027618188446924683, 22.519355937500002, 0.2318454187167251, 39120.38400793448, 609.210839819216, 380.0909664999999, 182.97192902255887, 2.290598649092699, 0.07346942752682566, 156.234375, 0, 141.2635585203378, 23.274545028431287, 280.6914254999999, 182.9939272161423, 51.96068249999999, 0.9353808258441446, 1.0287133125, 0.08198212805904614, 44.66230962499999, 0.614328733983065, 39878.600057501346, 612.2810354217055, 313.19370349999997, 30.13822935684378, 2.8337882490187973, 0.08041345577141949, 78.1171875, 0, 75.70609509928894, 12.199781242957275, 112.04262250000001, 30.139128528466518, 107.19281143749998, 1.5321460600293226, 4.6440135625, 0.13880823898096295, 88.68190787500001, 0.7303144946882363
20000, 0, 10, 2000, 36844.63180603087, 397.8835551939062, 69062.75252562501, 2317.952054605609, 37255.19033695385, 403.35839635297907, 2646.3182406250003, 740.9501234445559, 1.153576546384406, 0.014655044520817796, 1250, 0, 536.5619630904029, 54.46223246042294, 2630.81373325, 741.503623652315, 5.1238793125, 0.3838801272766862, 0.0127946875, 0.0034714675700406234, 6.1549049375000005, 1.0253100333066012, 37881.64216081798, 403.4924053968663, 990.4501680000001, 297.00455867438114, 1.4406287497373025, 0.03447107294560242, 625, 0, 395.55817574609654, 58.10593698513265, 967.21195675, 297.28515824447334, 10.96849725, 0.12075571955579342, 0.0475153125, 0.0023564076397864088, 11.239674874999999, 0.0684157050271307, 38538.75426132232, 399.9642591144596, 521.8707486249999, 114.99797887973003, 1.7954823408585043, 0.049721800742663, 312.5, 0, 252.19353388726282, 35.26860630155437, 474.3271245625, 115.13100665527199, 24.382515875, 0.49569456252336924, 0.2279815625, 0.04878309175442956, 22.384969625, 0.14480343040345928, 39268.23380461708, 422.4793251557935, 305.26844306249995, 31.91679737281423, 2.273814027358793, 0.06009523180631232, 156.25, 0, 131.45239482114198, 18.963223177682607, 207.50749837499998, 32.66581448560758, 51.59567925, 0.7545794640790409, 0.9950297499999999, 0.007128950908969704, 44.5893529375, 0.2999893230126011, 40040.135734036565, 425.611024007447, 298.7855845, 14.779972183438431, 2.8231753867879608, 0.05789020683713279, 78.125, 0, 68.66832913684715, 8.904765628436273, 96.98735787500001, 16.397415617956494, 107.5217655, 1.8293245657646435, 4.7034620625, 0.30284918859402377, 89.04822850000001, 1.1851287376661344
19998, 0, 11, 1818, 37097.38955453038, 321.19259489189704, 67211.42996524999, 1776.7060802601618, 37415.3791064769, 320.70597326633464, 2896.80569425, 744.3214720969445, 1.1121645448636328, 0.013668539623344004, 1249.875, 0, 512.2877588074443, 55.278646316148105, 2872.9614739374997, 744.3632555031005, 4.968132125, 0.1604341678921121, 0.013953625, 0.005421265060793007, 5.995078562499999, 0.26843381718567255, 38051.54146948084, 336.65800549543246, 959.4288445000002, 128.90705387670417, 1.3918747811027368, 0.024890373282546133, 624.9375, 0, 399.17673874535893, 38.82182851978243, 936.769788, 128.9384334503969, 10.8919615, 0.10908893616678103, 0.04788275, 0.0019630862022590864, 11.214385687500002, 0.041444603969815585, 38707.30425881967, 323.281188925473, 563.5615044375, 69.6011233852068, 1.7216866508145634, 0.03740711094823247, 312.46875, 0, 268.6107866541913, 24.67959090177612, 515.9103138125, 70.29236662606864, 24.40490775, 1.9901474093142415, 0.2164894375, 0.0026126931739287227, 22.3998131875, 0.1225299632922588, 39417.78577468544, 340.21442406872785, 360.08248525000005, 68.76287314924562, 2.1492652121115206, 0.05053191554257005, 156.234375, 0, 151.96918454783403, 17.24378580933545, 262.3783065, 69.56240683207521, 51.3465761875, 2.9032071105335433, 1.035773625, 0.08731220992498342, 44.62016175000001, 0.2635971946276412, 40197.43536191806, 339.8388590017412, 326.68668575, 29.44610880537496, 2.6848494138324686, 0.06454949480437469, 78.1171875, 0, 81.85860394554183, 11.649145481880643, 125.56417762500001, 29.840889660028825, 106.67260143749999, 2.484294557077823, 4.7975945625, 0.284529524217604, 88.94328175000001, 0.7414176150693946
19992, 0, 12, 1666, 37246.80161931738, 378.2013094166289, 68124.3882946875, 2206.2532844447423, 37492.77407084778, 386.2216643943171, 2741.5990219375, 879.2321038050137, 1.08093640810024, 0.007867468759355126, 1249.5, 0, 467.8657107603617, 27.69315925822611, 2723.8829820625, 880.950083405837, 5.0596268125, 0.1661444287428181, 0.011608625000000001, 0.0013940498500322719, 5.8975270625, 0.1829273840891068, 38147.5307597965, 400.7358789157447, 863.9955689999998, 146.07953010013063, 1.3612526424225067, 0.02807623363300867, 624.75, 0, 372.24197435773965, 38.05088116590593, 840.9564462500001, 146.07738342607254, 10.789809562499999, 0.12474420144438016, 0.04860043750000001, 0.0027357454872655377, 11.2107095, 0.05460474459696681, 38806.79603705555, 412.4034904857923, 520.041599875, 85.16604702765106, 1.6904365581517922, 0.034910772326554096, 312.375, 0, 248.31281486521473, 22.136734994429663, 472.64919575, 85.24963175798732, 23.854078875, 0.4285850673941343, 0.214905875, 0.002459581211177015, 22.425029000000002, 0.07074083921434647, 39545.40076677129, 410.8370543653589, 317.18594293750004, 30.550318783329004, 2.130401098032914, 0.05393405815619154, 156.1875, 0, 138.541019932733, 16.108520379307855, 219.446916625, 30.810008269491103, 51.41490675, 1.3678883644367923, 1.032808, 0.057507150872739304, 44.6462311875, 0.14240818671437827, 40329.79481307417, 426.0129114409834, 307.33567056249996, 22.87181121030548, 2.6607148470989586, 0.0737183918765217, 78.09375, 0, 73.75661992999434, 11.619877941586148, 106.1614913125, 23.309929450048372, 107.14524137500003, 2.0476779946608077, 4.6485995625, 0.2650875597342718, 88.9140814375, 0.16107528346823324
19994, 0, 13, 1538, 37628.96392853558, 340.0155603849247, 71647.602105, 2673.251017927798, 37808.54004079476, 346.61293162944054, 2452.6728778750003, 760.5785055544679, 1.0546834511225507, 0.007083802578444723, 1249.625, 0, 415.02753350202346, 23.095207787045652, 2423.03852725, 744.1191710339392, 4.9492351875, 0.19635774800450925, 0.011594875, 0.0012944247696853612, 5.9329923125, 0.21364449056134083, 38455.03878415376, 349.4755888162658, 936.4360065625, 128.49025811074054, 1.3195445967992019, 0.02731005282867908, 624.8125, 0, 371.19942034139046, 41.17234767675631, 913.9219163125, 128.59444509109392, 10.783038687499998, 0.1744427856496646, 0.0481539375, 0.002792635369788499, 11.192148875000004, 0.08812676113266846, 39135.60141520202, 365.4749197954012, 512.9250485624999, 106.04328232801427, 1.6470913642505618, 0.04767900903373926, 312.40625, 0, 244.6127225786059, 27.141767131019424, 465.6874694375, 106.30511669395577, 24.233902124999997, 1.9442675235556535, 0.2189158125, 0.00905780390891433, 22.318872562500008, 0.1252824122233289, 39879.51328731701, 359.69639363546827, 316.296497, 34.380764801926055, 2.0760652853301247, 0.05973315248909932, 156.203125, 0, 137.88898611268573, 18.36028106878923, 219.732450125, 35.43844405881963, 50.467055312499994, 1.231704979426167, 0.99894575, 0.01759782136551283, 44.461512, 0.34483217161305474, 40682.11072773114, 362.4362216015289, 307.14318543750005, 22.55686715118193, 2.610428680473299, 0.06569291945222813, 78.1015625, 0, 72.79103882293938, 11.09472956006246, 106.50853543750002, 23.88249988277008, 106.15965175000001, 2.042444973572223, 4.747885624999999, 0.29192300961723516, 89.13691118749996, 1.7989658678448504
19992, 0, 14, 1428, 37778.022421091795, 279.4364081756468, 67460.70795306249, 2056.45803124084, 37902.4947562702, 283.766034154064, 1754.9966831875006, 312.2701382645212, 1.0352321696142335, 0.0045655285113917815, 1249.5, 0, 329.84384786928786, 18.82808966098373, 1723.2029751875002, 307.0458899983542, 5.063176875, 0.1580609067451829, 0.0122421875, 0.0023073760047603318, 14.967171437499998, 35.70326172066504, 38578.56340321526, 296.6802801710014, 814.5321447500002, 218.3708194400201, 1.3123471648082736, 0.017269093581423846, 624.75, 0, 330.50828491447874, 27.473356577595546, 791.5497089375001, 218.54931070603962, 10.656057625000003, 0.11221491317716807, 0.053399999999999996, 0.01768050815516907, 11.277498187500003, 0.33070421290222063, 39257.13754084706, 283.02823694566456, 459.40825137499996, 51.04814232609391, 1.638592027042565, 0.028856554052316383, 312.375, 0, 225.4033827018375, 19.515033972401035, 412.35631356249996, 50.811360617095886, 23.680314250000002, 0.37162260648514395, 0.2169250625, 0.0034733898692190816, 22.372867625, 0.1082708642605868, 39996.764951102436, 297.74639466306206, 339.389521125, 137.84106610965685, 2.0599512869042886, 0.03999155204215038, 156.1875, 0, 131.87670136867078, 11.310924069496778, 207.11090475, 20.46004020341357, 50.754801875000005, 0.7944749042760009, 1.0303376874999999, 0.07620315893937626, 44.75651781249999, 0.587771974050547, 40796.20220456272, 299.27799309959033, 315.5292175625, 45.22859880541705, 2.5918543816495077, 0.05834442367820252, 78.09375, 0, 69.54436811189157, 7.2961090772904695, 103.29942925, 23.575899299012146, 108.97511631249999, 10.467084895672361, 4.701437374999999, 0.2075799350635421, 88.92526012500001, 0.5226743230154008
19995, 0, 15, 1333, 37972.759476777166, 422.98216182642176, 66347.2812355, 2207.8011906218903, 38045.956824515015, 421.89934634470336, 1633.3649279375, 474.4110349574416, 1.0167352973674417, 0.0013609515940866523, 1249.6875, 0, 228.6213540681179, 9.432692235532523, 1620.468445625, 474.07180160912515, 5.0460518125, 0.14102396859852356, 0.011367500000000001, 0.0014546117179508765, 5.7226124375000005, 0.21508698381758506, 38710.389907963574, 421.787752290895, 720.0866389375, 48.94594188695612, 1.2817509998845986, 0.024737396182055955, 624.84375, 0, 313.4472715300796, 43.43100627761293, 697.3170386249999, 49.106289232529086, 10.602628124999999, 0.06832012891699168, 0.04807443750000001, 0.003720972973711817, 11.1882566875, 0.07868714332621206, 39402.56255495921, 429.15168309726016, 444.9823544375001, 34.08772048107965, 1.6027301831523033, 0.030625289314348752, 312.421875, 0, 223.83013400092358, 20.906426798666185, 397.670932375, 34.12016982130234, 23.9310313125, 1.0906916094541068, 0.24264768750000001, 0.07183895310668749, 22.3628096875, 0.1634068195814202, 40160.45644837245, 434.36212037240807, 301.185654125, 18.87664850807239, 2.0250778072038775, 0.04733229617120116, 156.2109375, 0, 128.55696536851363, 12.456041944469355, 204.29848831249996, 19.561169676958805, 50.4510180625, 1.2204460204907912, 0.9956829375000001, 0.011560313887762465, 44.52581487500001, 0.23834139512364277, 40979.17120837048, 451.32281657958134, 294.7273578125, 11.559491789742976, 2.5644005602228903, 0.05233903737027637, 78.10546875, 0, 67.74009593257976, 7.287498532172376, 94.71098887499998, 12.751739887438784, 106.02831987499998, 1.4881273741886103, 4.659840125, 0.20453574296680868, 88.7852329375, 0.15082296086656827
20000, 0, 16, 1250, 37982.63285658881, 264.6482416774853, 68513.64961050001, 1609.1188470822506, 38006.492441188544, 264.4358904927642, 1745.3859666874998, 503.47234882608296, 1, 0, 1250, 0, 0, 0, 1731.7186698749997, 505.3352972421658, 4.8711129375, 0.12658876901233604, 0.011589375, 0.0011967328897356333, 5.673849187499999, 0.14506155505776616, 38667.94272727519, 266.70987534566774, 730.1569249999999, 136.61779762133725, 1.2588713025428446, 0.016687512273887872, 625, 0, 299.02872133071236, 30.491347245065235, 707.8320695625, 136.64488224024782, 10.583853000000001, 0.09527026994031236, 0.04818631250000001, 0.0022781201603172194, 11.1448815625, 0.07390624438855696, 39339.8238668479, 273.7653613284865, 452.13849587500005, 38.348552554916274, 1.560419798738119, 0.021406285624577578, 312.5, 0, 226.83764908609155, 13.685120371966057, 405.43906725, 38.585143064066685, 23.463677500000003, 0.7525917224813864, 0.21625631249999994, 0.002188391496017967, 22.50062125, 0.9101164878899088, 40104.22398702055, 288.8550716580308, 296.13343193749995, 16.611850948812354, 1.9841919766515799, 0.0342920656106494, 156.25, 0, 127.89914673451625, 9.03442109837048, 199.30934100000002, 15.729724254997063, 50.2875325625, 1.0784501569353453, 1.009825, 0.04186596633155621, 44.8157521875, 1.298182430286775, 40917.856784678996, 283.35936395704556, 291.68481525, 7.366636139943546, 2.5095261880212725, 0.03607859567354193, 78.125, 0, 65.68959544275981, 4.479456119781856, 91.28781068750001, 7.162338259450495, 106.29521481249996, 1.4855888599279508, 4.7148319375, 0.2073873782946628, 88.77970875, 0.9336886374790251
19992, 0, 17, 1176, 38291.467111088336, 308.48010900701286, 65282.848734499996, 2300.8516546032038, 38335.63071735948, 314.78480814269057, 1885.6493921875, 497.89362538007146, 1.00395052298274, 0.005972619147217095, 1249.5, 0, 268.12484303890926, 27.727295583238913, 1872.5339721875, 498.12627316887, 4.968683749999999, 0.23166659391448197, 0.011882312500000002, 0.0010862072614578444, 5.7833599375, 0.16333670260709504, 38920.53580060974, 307.75856886659665, 721.718686875, 66.04802379106813, 1.2298596808560665, 0.0201364206681652, 624.75, 0, 297.7655768525311, 34.01971383153302, 699.2558550625001, 66.07238030535123, 10.560836375, 0.08095840319716274, 0.047279062499999996, 0.0019239891978890498, 11.128829000000003, 0.07030701197515796, 39632.21526547521, 317.0327984072821, 426.18330237500004, 33.97257709494447, 1.5525841739326387, 0.03032299541582703, 312.375, 0, 210.77368515754029, 21.759932461638904, 379.6256576249999, 34.184408416335835, 23.308195124999997, 0.22781068982404967, 0.21563250000000003, 0.0033195101671782867, 22.310230187500004, 0.06664259480356628, 40393.698814142495, 334.59775452698597, 291.99454575, 21.5206596755951, 1.9640270840315157, 0.04921329751204865, 156.1875, 0, 124.33088707644298, 14.912258067099891, 194.67909525, 22.430157273008387, 50.8670069375, 1.941564964910956, 1.0473814375000001, 0.13637812415714293, 44.70144524999999, 0.8124379484197932, 41210.90314800292, 341.9003659757735, 293.3448330625, 11.93818191948117, 2.4815087589389484, 0.050765898656282865, 78.09375, 0, 66.09299447420211, 6.007544685796102, 93.0825988125, 12.397585779012608, 105.75071106250002, 1.4110026934041648, 4.7079545, 0.3445147458418869, 89.05774512500003, 1.4882255988780253
