N, GaussCount, PointsPerGauss, MST_Cost, MST_Runtime, C16_MFC_Cost, C16_MFC_Runtime, C16_Gamma, C16_Cluster_Size_Mu, C16_Cluster_Size_Sigma, C16_Sub_Clustering_Runtime, C16_Completion_Edges_Runtime, C16_Completion_Runtime, C16_Clustering_Runtime, C32_MFC_Cost, C32_MFC_Runtime, C32_Gamma, C32_Cluster_Size_Mu, C32_Cluster_Size_Sigma, C32_Sub_Clustering_Runtime, C32_Completion_Edges_Runtime, C32_Completion_Runtime, C32_Clustering_Runtime, C64_MFC_Cost, C64_MFC_Runtime, C64_Gamma, C64_Cluster_Size_Mu, C64_Cluster_Size_Sigma, C64_Sub_Clustering_Runtime, C64_Completion_Edges_Runtime, C64_Completion_Runtime, C64_Clustering_Runtime, C128_MFC_Cost, C128_MFC_Runtime, C128_Gamma, C128_Cluster_Size_Mu, C128_Cluster_Size_Sigma, C128_Sub_Clustering_Runtime, C128_Completion_Edges_Runtime, C128_Completion_Runtime, C128_Clustering_Runtime, C256_MFC_Cost, C256_MFC_Runtime, C256_Gamma, C256_Cluster_Size_Mu, C256_Cluster_Size_Sigma, C256_Sub_Clustering_Runtime, C256_Completion_Edges_Runtime, C256_Completion_Runtime, C256_Clustering_Runtime
20000, 8, 2500, 669.4764723325934, 66981.70484, 683.368591963299, 4164.855783, 1.037933608100649, 1250, 1309.4042061181872, 4161.439704, 0.713967, 0.015008, 1.379775, 689.890514491577, 1545.070999, 1.0567181993966392, 625, 727.4793381945634, 1540.811079, 1.599797, 0.048491, 2.314326, 697.5320093012269, 699.268422, 1.0773712185645747, 312.5, 400.19319553185807, 691.011275, 3.398826, 0.217768, 4.346061, 707.6905467882607, 319.07674, 1.1035547993558645, 156.25, 195.1253203072323, 302.358653, 7.266502, 1.018397, 8.164284, 718.4967939787166, 157.897791, 1.136715865853469, 78.125, 93.91826566222356, 122.283067, 15.265035, 4.57517, 15.527297
20000, 8, 2500, 688.836587963815, 60531.029494, 702.3778107801481, 6007.43085, 1.0367689052154776, 1250, 1010.4898564557686, 6004.588295, 0.721462, 0.013315, 1.566365, 708.5566377900104, 1652.219474, 1.05805397957432, 625, 654.2337120632045, 1647.990463, 1.631236, 0.04797, 2.355262, 715.7023045930109, 935.001068, 1.0803807183266827, 312.5, 365.833039103906, 926.823649, 3.466995, 0.214091, 4.325182, 727.927686536641, 275.264459, 1.1053330805685355, 156.25, 174.49691078927444, 258.65764, 7.289275, 0.996306, 8.12521, 740.0548192152783, 145.535233, 1.142649077936016, 78.125, 86.75022514380007, 109.980231, 15.43331, 4.520268, 15.36963
20000, 8, 2500, 659.7353681636159, 59434.504784, 673.3966101955739, 6852.183681, 1.041355339769233, 1250, 1276.1702472632717, 6694.025061, 0.744435, 0.011762, 1.654579, 679.6729456440662, 2565.724125, 1.0586402529778278, 625, 789.2669066925332, 2561.604517, 1.586903, 0.049162, 2.313614, 688.6044727631961, 632.472126, 1.0862679185759299, 312.5, 359.17252992120655, 624.278227, 3.416059, 0.218018, 4.321445, 698.569517099706, 292.742208, 1.113631072355768, 156.25, 186.2784793662435, 276.182128, 7.231587, 0.996667, 8.091808, 710.1685903702746, 153.776632, 1.146508467076603, 78.125, 88.74256130797669, 118.122954, 15.504213, 4.565753, 15.359972
20000, 8, 2500, 662.3992167412798, 61933.014478, 678.022249169604, 5212.481955, 1.0430000096628003, 1250, 1058.9013174040347, 5202.532517, 0.716081, 0.011773, 1.453202, 682.2935681519593, 3039.311911, 1.0619593559700444, 625, 864.3993579359022, 3034.887883, 1.706286, 0.046107, 2.370721, 691.5255055084854, 624.907316, 1.0860151826085969, 312.5, 362.56904514864476, 616.46977, 3.589905, 0.218379, 4.410642, 700.3486443399015, 304.000889, 1.117482166897417, 156.25, 191.0143973631307, 287.349196, 7.282924, 1.007076, 8.169664, 712.2812074096437, 155.341813, 1.1589640046414107, 78.125, 90.66701612218193, 119.457754, 15.467074, 4.576162, 15.541884
20000, 8, 2500, 620.3502620499858, 60528.477613, 633.0652462676444, 6449.196997, 1.038701686469713, 1250, 1045.1440092159548, 6312.772139, 0.784389, 0.011171, 1.642898, 638.6410380463858, 2556.844671, 1.0559482445858754, 625, 804.5799758258963, 2552.650704, 1.570222, 0.047879, 2.37546, 646.6148423963969, 755.912391, 1.077743596299741, 312.5, 404.1684750818648, 747.476037, 3.486671, 0.21322, 4.453782, 658.3067262416516, 318.808327, 1.1188809367604475, 156.25, 195.60602943161032, 302.013476, 7.307859, 0.995064, 8.270943, 668.9853691413809, 170.279005, 1.146994482468241, 78.125, 99.75387680436285, 134.454035, 15.493824, 4.564911, 15.538207
20000, 8, 2500, 669.4512556332738, 59302.425977, 682.023042105382, 5923.093946, 1.0388966640910278, 1250, 976.7683962946385, 5919.949746, 0.748291, 0.012354, 1.709161, 689.4908965185859, 2247.89385, 1.061240002393664, 625, 691.4727489207365, 2243.617769, 1.608493, 0.047329, 2.416256, 698.0618124511202, 710.742927, 1.0803696725485112, 312.5, 374.0141207227342, 702.351968, 3.529291, 0.212508, 4.462049, 709.9155476647538, 312.507234, 1.1127422174643187, 156.25, 195.8507882292027, 295.767616, 7.333337, 0.984565, 8.233793, 722.962896463705, 159.469566, 1.1567560095047627, 78.125, 93.23445748488055, 121.097676, 15.318355, 6.785972, 15.481771
20000, 8, 2500, 744.2478216162053, 61930.185639, 759.3803638766622, 4071.00122, 1.0336261697324052, 1250, 906.8804358899799, 4060.691317, 0.759383, 0.011401, 1.331555, 769.5243382064727, 1384.085553, 1.0571949164077021, 625, 529.3069761490018, 1380.030197, 1.607501, 0.048481, 2.207365, 775.4857323864344, 780.091594, 1.0743725890357587, 312.5, 393.61620742799704, 771.892745, 3.516878, 0.213049, 4.283804, 787.105745177214, 299.894085, 1.1044448732888434, 156.25, 191.05140833032348, 283.399016, 7.241785, 0.989664, 8.07668, 803.7413808230413, 160.827059, 1.1456055632362714, 78.125, 93.99534562945125, 125.377203, 15.381624, 4.567155, 15.274573
20000, 8, 2500, 654.0876665938995, 61929.212044, 666.4820301606669, 6940.553009, 1.0354868848973473, 1250, 1513.691638016145, 6933.836106, 0.710701, 0.012002, 1.472829, 675.5873693711474, 1895.981211, 1.0631228687584602, 625, 740.9089856385871, 1891.582611, 1.674988, 0.045916, 2.428229, 684.404477792501, 590.946669, 1.087506756467772, 312.5, 340.2775521541202, 582.5069, 3.519644, 0.218188, 4.440128, 691.7295144504751, 274.254356, 1.113368510984836, 156.25, 177.83406064362362, 257.509408, 7.325272, 1.002729, 8.227973, 705.4330842012423, 135.456854, 1.1548473162509347, 78.125, 80.79231669843365, 99.54893, 15.578863, 4.611439, 15.474588
20000, 8, 2500, 646.8468254062318, 62736.598398, 657.8899145706528, 7348.934668, 1.0339090827867614, 1250, 1519.342621004229, 7343.149812, 0.905356, 0.012884, 1.879611, 665.8513848064904, 1616.929588, 1.0591004807142612, 625, 739.7036568788882, 1612.244502, 1.751631, 0.049343, 2.529228, 675.3217843103193, 798.453911, 1.078919326072713, 312.5, 413.551651852583, 789.784461, 3.564838, 0.216235, 4.494058, 686.5508080218424, 375.729404, 1.1111562177219516, 156.25, 215.6401081663613, 358.808748, 7.395614, 1.012266, 8.296512, 695.4584734142263, 166.387375, 1.1447749136966827, 78.125, 96.3060713299011, 130.518113, 15.403625, 4.552739, 15.571038
20000, 8, 2500, 582.1207459434518, 68518.326882, 592.3835864440189, 4887.610291, 1.038998591763388, 1250, 1610.694454264992, 4884.35343, 0.72598, 0.009888, 1.637117, 601.4364776579314, 1877.634182, 1.0622755900361716, 625, 818.1491306601749, 1873.259878, 1.551696, 0.052419, 2.470799, 606.9827278135926, 866.594515, 1.0798841710196658, 312.5, 444.3510014616823, 858.30639, 3.402964, 0.217117, 4.445347, 617.5773669550545, 342.184346, 1.1163277219455034, 156.25, 209.20440811560354, 325.449908, 7.271351, 1.00337, 8.264913, 626.6949174902984, 181.004435, 1.1493466292357142, 78.125, 103.01740599287093, 141.768257, 15.396621, 4.608183, 18.891729
