N_mu, N_sigma, N, MST_Cost_mu, MST_Cost_sigma, MST_Runtime_mu, MST_Runtime_sigma, C16_MFC_Cost_mu, C16_MFC_Cost_sigma, C16_MFC_Runtime_mu, C16_MFC_Runtime_sigma, C16_Gamma_mu, C16_Gamma_sigma, C16_Cluster_Size_Mu_mu, C16_Cluster_Size_Mu_sigma, C16_Cluster_Size_Sigma_mu, C16_Cluster_Size_Sigma_sigma, C16_Sub_Clustering_Runtime_mu, C16_Sub_Clustering_Runtime_sigma, C16_Completion_Edges_Runtime_mu, C16_Completion_Edges_Runtime_sigma, C16_Completion_Runtime_mu, C16_Completion_Runtime_sigma, C16_Clustering_Runtime_mu, C16_Clustering_Runtime_sigma, C32_MFC_Cost_mu, C32_MFC_Cost_sigma, C32_MFC_Runtime_mu, C32_MFC_Runtime_sigma, C32_Gamma_mu, C32_Gamma_sigma, C32_Cluster_Size_Mu_mu, C32_Cluster_Size_Mu_sigma, C32_Cluster_Size_Sigma_mu, C32_Cluster_Size_Sigma_sigma, C32_Sub_Clustering_Runtime_mu, C32_Sub_Clustering_Runtime_sigma, C32_Completion_Edges_Runtime_mu, C32_Completion_Edges_Runtime_sigma, C32_Completion_Runtime_mu, C32_Completion_Runtime_sigma, C32_Clustering_Runtime_mu, C32_Clustering_Runtime_sigma, C64_MFC_Cost_mu, C64_MFC_Cost_sigma, C64_MFC_Runtime_mu, C64_MFC_Runtime_sigma, C64_Gamma_mu, C64_Gamma_sigma, C64_Cluster_Size_Mu_mu, C64_Cluster_Size_Mu_sigma, C64_Cluster_Size_Sigma_mu, C64_Cluster_Size_Sigma_sigma, C64_Sub_Clustering_Runtime_mu, C64_Sub_Clustering_Runtime_sigma, C64_Completion_Edges_Runtime_mu, C64_Completion_Edges_Runtime_sigma, C64_Completion_Runtime_mu, C64_Completion_Runtime_sigma, C64_Clustering_Runtime_mu, C64_Clustering_Runtime_sigma, C128_MFC_Cost_mu, C128_MFC_Cost_sigma, C128_MFC_Runtime_mu, C128_MFC_Runtime_sigma, C128_Gamma_mu, C128_Gamma_sigma, C128_Cluster_Size_Mu_mu, C128_Cluster_Size_Mu_sigma, C128_Cluster_Size_Sigma_mu, C128_Cluster_Size_Sigma_sigma, C128_Sub_Clustering_Runtime_mu, C128_Sub_Clustering_Runtime_sigma, C128_Completion_Edges_Runtime_mu, C128_Completion_Edges_Runtime_sigma, C128_Completion_Runtime_mu, C128_Completion_Runtime_sigma, C128_Clustering_Runtime_mu, C128_Clustering_Runtime_sigma, C256_MFC_Cost_mu, C256_MFC_Cost_sigma, C256_MFC_Runtime_mu, C256_MFC_Runtime_sigma, C256_Gamma_mu, C256_Gamma_sigma, C256_Cluster_Size_Mu_mu, C256_Cluster_Size_Mu_sigma, C256_Cluster_Size_Sigma_mu, C256_Cluster_Size_Sigma_sigma, C256_Sub_Clustering_Runtime_mu, C256_Sub_Clustering_Runtime_sigma, C256_Completion_Edges_Runtime_mu, C256_Completion_Edges_Runtime_sigma, C256_Completion_Runtime_mu, C256_Completion_Runtime_sigma, C256_Clustering_Runtime_mu, C256_Clustering_Runtime_sigma
500, 0, 500, 5833.60401982069, 6.424229809278178, 52.012458062499995, 0.39712794052239386, 5993.161689043045, 13.007257175512082, 12.9170655625, 1.6086629660560885, 5.29982214999322, 0.9907611618748531, 31.25, 0, 26.724552688483616, 9.609232336688668, 5.236508000000001, 1.7213671136836635, 2.6304409375, 0.12064669572582001, 0.009738937500000001, 0.00040552596537552307, 4.9769663125, 0.013233715113861401, 6016.9775049090385, 12.372416401874663, 18.528358249999997, 0.7173945167627872, 6.705100206956869, 1.1229134512906846, 15.625, 0, 13.56876048382029, 4.753911698035313, 2.5800760625, 0.8936920875525635, 5.898314375000001, 0.18822223588449732, 0.04420593750000001, 0.001973961608946271, 9.9601274375, 0.02121245766044332, 5999.0596697330475, 7.587299545207727, 34.346623375, 0.21630068003443625, 5.835903157855755, 0.5505892829822622, 7.8125, 0, 6.584871852919523, 2.032165607333275, 1.2151151249999999, 0.395256144899873, 12.9277049375, 0.29464084550335795, 0.21101756249999998, 0.003549374310507943, 19.941318375000005, 0.041975823740986386, 5935.9865609407425, 6.340083653499499, 70.2446785, 0.3378942247244316, 3.8625394760258986, 0.27012319529243006, 3.90625, 0, 2.9539888982410654, 0.4856579573820841, 0.513017375, 0.07233970270266098, 28.678350125, 0.3426230254981182, 1.0834326875000002, 0.07878650753596611, 39.902387499999996, 0.0884755694259719, 5861.388596057892, 6.667848033822492, 151.9569698125, 0.3982184333725022, 1.8085701886711034, 0.1410353552959017, 1.953125, 0, 1.2481309830663947, 0.09391187217127914, 0.19222075, 0.010885637116747003, 66.1753275625, 0.18020431229682476, 5.5738825625, 0.24048355337656904, 79.9358105625, 0.38249087398622517
600, 0, 600, 6991.480806052685, 8.08903394234553, 74.6741878125, 0.4533679968782574, 7180.4301834106445, 27.400505433291865, 17.129946375000003, 4.978883816142126, 5.790182929441233, 1.2341465859433374, 37.5, 0, 32.10250530001377, 15.897113447496931, 7.913073000000001, 5.185703735414811, 3.160776875, 0.21651703849058715, 0.0091845625, 0.00028469215144388875, 5.986663937499999, 0.060280898826316515, 7213.396945655346, 29.56892234617254, 23.1351125625, 3.010364503511307, 7.114230690278091, 1.3704333252275693, 18.75, 0, 16.025662912733495, 9.112491602599048, 3.9986828125000002, 3.364398397720873, 7.0854118124999985, 0.3784155247038662, 0.04384668750000001, 0.0008870252053035188, 11.953113625, 0.022386698938418315, 7206.090116381645, 25.623771243015096, 41.548438125000004, 1.4914881855464397, 7.000380662503286, 1.1196561092096904, 9.375, 0, 7.7200919448147864, 5.137920516960711, 1.9806279375, 2.0362877425504444, 15.3603729375, 0.5759349135912047, 0.2104590625, 0.004310852155733681, 23.93697125, 0.03858198196778556, 7136.280042767525, 14.104603656533268, 83.81113168750001, 1.273762784034507, 4.548625557502008, 0.44955074268815165, 4.6875, 0, 3.7687154597903922, 2.2808018810578212, 0.910788125, 0.8424066780324895, 33.828622625, 1.1577534661950843, 1.0106039375, 0.07451554095578712, 47.956683187500005, 0.2903325848600651, 7044.515859186649, 9.316705210583683, 177.3651554375, 1.9552732192686342, 2.2741281482832134, 0.12734564471301932, 2.34375, 0, 1.6557204882937837, 0.5902824871569505, 0.33542974999999997, 0.1462001157337521, 76.2392543125, 1.6360894532035357, 4.702556625, 0.28268620204828604, 95.9753628125, 0.335896727683565
700, 0, 700, 8143.048555195332, 8.55313475576612, 102.3575970625, 3.4474413301619724, 8372.47044402361, 11.197518769262821, 18.9835040625, 1.4201853129602258, 6.802111409195806, 1.1997581774041814, 43.75, 0, 28.362440803569243, 7.8612030990192805, 8.078752687500002, 1.5054895365566192, 3.8648584999999995, 0.12527137330761176, 0.0091684375, 0.00037928385952179646, 6.958103375000001, 0.00903087515744593, 8421.062428057194, 12.82645497850209, 26.4568225, 0.569372655697479, 8.383987913888813, 0.9388185959435769, 21.875, 0, 14.255766516971043, 3.4685636095662615, 3.9497348750000003, 0.6929057233247784, 8.4411304375, 0.17428331054312424, 0.043574062499999996, 0.000837593910313195, 13.9608271875, 0.022689877112984477, 8423.219351649284, 14.461085259986563, 48.3190375625, 0.1481725718191331, 8.186957185872632, 0.8683697014925723, 10.9375, 0, 7.069927264754537, 1.250982252504184, 1.9137446249999999, 0.24861468233666206, 18.170831875, 0.22771951928108697, 0.21109624999999999, 0.002268078550778168, 27.955567812500004, 0.03610052269050064, 8343.247042953968, 10.041663438407092, 97.01495106250002, 0.3232138230948046, 5.543701666300803, 0.40222290740834776, 5.46875, 0, 3.85413458999848, 0.3738812474265664, 0.9768355625, 0.07026863253522937, 39.01426562499999, 0.2892816669938399, 0.9884669375, 0.011102922416354799, 55.9539793125, 0.18194833927200244, 8231.643801629543, 7.55868125428603, 203.84897393750003, 0.7499375491233794, 2.898609704693094, 0.21503296879480377, 2.734375, 0, 1.8087622488929018, 0.10874921887026466, 0.42865056250000005, 0.019815090079812758, 86.5826846875, 0.340156599934817, 4.579841999999999, 0.05704900428688475, 112.15951612500001, 0.6379742507811215
800, 0, 800, 9293.421506464481, 12.350500844695919, 135.53298431250002, 0.8644432545888792, 9549.428547084332, 18.95572170500444, 24.603524375, 4.441897370443512, 6.334215138353195, 1.2433283009314708, 50, 0, 37.84294199416686, 15.282420169139526, 12.2723515, 4.633316340975044, 4.2864464374999995, 0.23648716838683045, 0.0095916875, 0.00040899690077523816, 7.956276312499999, 0.010630111786328654, 9604.15741109848, 16.475711894139266, 31.706736437500002, 2.229554771643012, 8.176939843845213, 1.14827990502846, 25, 0, 19.210692019588045, 7.754289111745593, 6.086352062499999, 2.562585404924475, 9.558027874999999, 0.3825018764425991, 0.044279125, 0.0017372513086410385, 15.948608624999999, 0.019534029528220215, 9612.44942253828, 15.479450799410452, 55.739924249999994, 0.7894700754322876, 8.09781833416368, 0.7724636382555703, 12.5, 0, 9.39657540239572, 3.1407844493202175, 2.8962776874999996, 0.9046528777708552, 20.4753481875, 0.4749312203702785, 0.21380537500000002, 0.011736126180915707, 32.029016375, 0.32430790475755417, 9543.306588411331, 10.04807087674613, 110.50342693750002, 0.7138629479106487, 5.832670095596734, 0.5408832886703737, 6.25, 0, 4.604115506707839, 1.0880975776061683, 1.3594122499999999, 0.27912348797116215, 44.082769625, 0.6042022432130933, 1.0101756875, 0.08630832028671888, 63.918800250000004, 0.08585430624137284, 9418.621633470058, 8.638803468121955, 230.5487368125, 2.033077582139765, 3.32894736639692, 0.1379843375262967, 3.125, 0, 2.1551116399578376, 0.2500501336097206, 0.5922313749999999, 0.05522192530810905, 97.0787660625, 1.4345025661611968, 4.621926875, 0.352904670434856, 128.144066875, 0.4246880907042088
900, 0, 900, 10434.144452035427, 12.205284234612582, 169.660032625, 3.747897143099028, 10719.601426005363, 26.575381750104977, 29.357069312500002, 5.839270254108222, 6.359871571816097, 1.310870386763517, 56.25, 0, 41.847328740679586, 17.638854902444557, 15.466148062500002, 6.065945381053357, 4.841908, 0.2295949310383397, 0.009375562499999998, 0.00047798456679452536, 8.94681575, 0.011879619188446301, 10792.169606208801, 21.404149854384585, 36.217186749999996, 2.4553115753846426, 9.145472018710668, 1.6216510310960484, 28.125, 0, 20.651568797948837, 8.411592814894579, 7.446994187499999, 2.8086556356443295, 10.7026126875, 0.3748533139877384, 0.04385225000000001, 0.0005803157007181525, 17.944774, 0.02379497076064618, 10809.566225528717, 20.239471177427777, 62.7736335, 0.7125969404809065, 8.822711907832687, 1.1528331193747312, 14.0625, 0, 10.46285837112229, 3.761347541883926, 3.6502133749999994, 1.2203598075634738, 22.901264812500003, 0.5377177115521696, 0.21190693750000003, 0.002061296026434277, 35.925447750000004, 0.047693060478569034, 10742.155836701393, 14.66454418239339, 123.7977929375, 0.4403641529313361, 6.6019810294825225, 0.6705609881093704, 7.03125, 0, 4.920139598396421, 1.0112838781922242, 1.65244125, 0.27132956086729204, 49.135280562499986, 0.5414751885432945, 0.9930141250000002, 0.008380298875002894, 71.91653787499997, 0.165148577909739, 10603.906005740166, 11.806497634433631, 256.96718250000004, 0.8307783163504778, 3.712298842926545, 0.26061233670247325, 3.515625, 0, 2.463862740754949, 0.1924744407564517, 0.7727664375000001, 0.0447937621452038, 107.35615775000001, 0.34703070571861827, 4.534706999999999, 0.022993637842890394, 144.1817106875, 0.7371524314815844
1000, 0, 1000, 11583.12755894661, 14.112263678689578, 211.01584493749996, 1.4986307107640988, 11887.790972828865, 29.696252828102665, 38.00326787499999, 8.652218476740256, 5.785006289799474, 1.176445071512061, 62.5, 0, 56.28548853918457, 20.9604918216468, 22.6868550625, 8.885490738429255, 5.245142437500001, 0.28693943993397125, 0.0094765, 0.0003561718335298286, 9.94583475, 0.028652523450169356, 11971.847518861294, 28.644182419179888, 42.68401131249998, 4.278326951528785, 8.322885416069305, 1.4774833342705747, 31.25, 0, 27.718887630575416, 10.919055294462673, 10.9484336875, 4.706539040274176, 11.6603185625, 0.46180466991724023, 0.044321875000000004, 0.0015241838338517447, 19.936069937499997, 0.027933009577534324, 12001.998637080193, 27.272450829865, 70.5228040625, 1.6363809486114655, 9.21618836260615, 1.0731028003960403, 15.625, 0, 13.375664218982656, 5.263914342105799, 5.165858125000001, 2.2498406193048397, 25.137582749999996, 0.6839457747226291, 0.21073731249999997, 0.0029312337786065006, 39.915834625, 0.04296967243282609, 11942.416509449482, 20.99774197602785, 137.2225703125, 0.3695457736004602, 7.0520859256427615, 0.49154446576065564, 7.8125, 0, 6.2705526200457, 2.1502393388267262, 2.3544884375, 0.879806265115577, 53.88053343750001, 0.9494869894324496, 0.9917784374999998, 0.007358249604769717, 79.8879266875, 0.09121387063977816, 11796.761587917805, 12.690431506350732, 285.06180025, 5.851856357541182, 4.294542874698655, 0.19349434614588126, 3.90625, 0, 2.8864985794403832, 0.6000170682061048, 1.0514460625, 0.22408890514717275, 118.08522487500001, 2.5335877368268176, 4.688327437500001, 0.46871609011639037, 161.0287681875, 2.8002112197843503
1100, 0, 1100, 12730.051424384117, 15.644780157352576, 260.14656831249994, 1.0039033589170026, 13073.426217675209, 23.276022532647136, 40.143463687499995, 5.91156662907269, 6.43106726148743, 0.9765389607141426, 68.75, 0, 51.787833827901395, 16.709745058308712, 23.012263937499995, 6.258512909115846, 6.010154749999999, 0.3546525459681454, 0.009764249999999999, 0.0005507417157797292, 10.988922625000002, 0.08179330842654159, 13164.982428193092, 21.37944947272975, 46.170232937499996, 2.2237855463888736, 9.35284415667296, 1.276526477798306, 34.375, 0, 25.324479188754275, 7.487936385837645, 10.8976373125, 2.613162147068249, 13.193489437499998, 0.4637289409994768, 0.0441915625, 0.00041590413089286516, 21.93509425, 0.019733691467576336, 13205.936657369137, 23.880551453809726, 77.4762439375, 0.5701147134273131, 10.181753286408478, 0.9061967585373665, 17.1875, 0, 12.639734498673693, 2.7987166573338618, 5.259298375, 0.8881906491816576, 27.9842071875, 0.6073665582215587, 0.21148981250000004, 0.0020953192542769567, 43.92038150000001, 0.03674510673205313, 13147.14573442936, 16.1137003109973, 151.0717000625, 0.7955948740597713, 7.72840209649365, 0.4228851496239308, 8.59375, 0, 5.950105468286783, 0.7976741056118862, 2.4551401250000002, 0.23128679850292877, 59.492136, 0.6610428678072802, 1.0153340000000002, 0.07216286666458034, 87.93651781250001, 0.1773902384223201, 12989.137189030647, 11.16648092843074, 310.5204805625, 1.8178960826859327, 4.6085132289881345, 0.21643202661296787, 4.296875, 0, 2.993065413941921, 0.30186085327461504, 1.1780525624999998, 0.08634445643755073, 128.439200625, 1.4632482961067228, 4.656183312499999, 0.2993228638309557, 176.04633643749997, 0.5378874431587573
1200, 0, 1200, 13871.908140301704, 16.621895009512635, 303.15063875000004, 3.288451142908746, 14224.20969492197, 32.339468662827244, 54.9061735, 13.952138013242141, 5.628894278831602, 1.4705927184041627, 75, 0, 74.1454076534591, 29.38745627648586, 36.535632375, 14.374985751798347, 6.2982471875, 0.43092868163047277, 0.009566, 0.0007156478708135729, 11.920216062499998, 0.020904702746836507, 14322.286022484303, 30.794677369515956, 55.919687875, 6.818797957397531, 8.100423884207787, 1.850375882009432, 37.5, 0, 37.22532793513734, 14.647070658376848, 17.882043624999998, 7.445099617766104, 13.9132323125, 0.7045474297051192, 0.044209625, 0.0006702603855032762, 23.9530858125, 0.06001237094051833, 14380.090223312378, 30.06574251096247, 86.55299975, 2.4782427706463324, 9.501033703707817, 1.4788291136761327, 18.75, 0, 18.07067304852304, 6.777547533834263, 8.413034437499999, 3.4226808046681767, 29.902152562500003, 1.0487605333424528, 0.21859768750000003, 0.024548343853809027, 47.904965125, 0.030244112005221636, 14340.496275126934, 22.37749380347826, 164.50087168750002, 1.00584209270763, 8.217550593729356, 0.6870070624478725, 9.375, 0, 7.983926276490761, 2.128922693890116, 3.527767125, 0.8701181478337348, 63.839848687499995, 1.2302920998897333, 1.0197573125, 0.10188863011379062, 95.86442600000001, 0.08627767806912728, 14182.049291968346, 17.145373494348195, 338.7304793125, 2.7986813284464973, 5.073320544527715, 0.2443066189472224, 4.6875, 0, 3.580956349829891, 0.6107705650348467, 1.5239631875000004, 0.22060975082915607, 139.80883862500002, 2.254759837125839, 4.799262999999999, 0.31301369556937925, 192.438742125, 1.0303645564973543
1300, 0, 1300, 15020.195005595684, 11.248228132107648, 361.67742812499995, 3.233941377732113, 15423.00428378582, 23.616083102771846, 51.395501437499995, 7.027034546822338, 6.666114972615993, 1.0107446608241861, 81.25, 0, 58.37069047624017, 18.354452615835903, 31.1920058125, 7.2956714678997345, 7.111139937499999, 0.3205927356995298, 0.0097628125, 0.0004787201973426124, 12.9170365625, 0.017378023783534632, 15527.513347864151, 27.723357212869356, 56.845451, 2.7681128193240014, 9.506293848499944, 1.3350589034666533, 40.625, 0, 29.899189123378672, 7.834183254458267, 15.231442625000003, 3.106703869392343, 15.484591124999998, 0.4185296336976744, 0.044018062499999996, 0.0008413944132175778, 25.959151687500004, 0.04887630396945826, 15598.21501070261, 21.54446717897346, 92.2573399375, 0.6731034688508596, 11.309757008695486, 0.8847312017121723, 20.3125, 0, 14.401077819258044, 2.8830682689929437, 7.161467437500002, 1.099671633822966, 32.89118975, 0.5866173846941773, 0.21135537499999998, 0.0017223249865733834, 51.8738249375, 0.04802066905181105, 15552.83420842886, 17.73632227973536, 177.98683250000002, 0.5219405168066342, 9.02098570813688, 0.3708562982924403, 10.15625, 0, 7.275657011821734, 1.0469312519593912, 3.5230494375, 0.38719472508916114, 69.51908218749999, 0.7494664970418297, 0.9974073750000001, 0.013230533586532891, 103.81432499999998, 0.09922659679113353, 15381.938925266266, 13.790185012737632, 364.71365712500005, 3.682964794100122, 5.491271701005971, 0.22966009991444652, 5.078125, 0, 3.5459137564812813, 0.25384066798250904, 1.6720161250000003, 0.08326423943076872, 150.07056431249998, 3.4423918134180487, 4.762017437499999, 0.23027388298420018, 208.04231118750002, 0.6492710651284447
1400, 0, 1400, 16158.101897418499, 10.257754061929257, 418.593056375, 2.00039450611673, 16580.49765318632, 33.12287838271699, 63.640223125, 16.758410296924705, 6.305267278313522, 1.3755923862183466, 87.5, 0, 70.84151225703482, 29.312760935066894, 41.80910081249999, 17.236468600242596, 7.6104561875000005, 0.5494675244806578, 0.010054625000000001, 0.0011278775351850042, 14.012623999999999, 0.09697174679062467, 16699.66983574629, 32.159488310820336, 64.847405625, 8.162372633796773, 8.981917945229933, 1.6076919974815083, 43.75, 0, 35.886979315363945, 14.606816580577714, 20.2326260625, 8.761417355031572, 16.485531875000003, 0.6797326459553666, 0.04418906250000001, 0.0009550209728554391, 27.935825875000003, 0.0945372815420426, 16775.727876126766, 30.89016474089703, 101.1964196875, 3.2812633749022413, 10.582542268258411, 1.752988317588091, 21.875, 0, 17.840884302394393, 6.6389678552902485, 9.723222812500001, 4.155014998370256, 35.2181601875, 1.005375764844992, 0.2117560625, 0.003863629793807084, 55.90897412500001, 0.10763660556641222, 16741.70729494095, 26.95004272734637, 192.07076487499998, 1.557719367739378, 9.054258277980606, 0.6868756800688895, 10.9375, 0, 8.433172190564406, 2.8461125775856346, 4.581293812500001, 1.7354602563529153, 74.269573125, 1.3678998945207872, 1.0135568125, 0.056708901897341825, 111.959803, 0.37828645836686975, 16572.34300982952, 17.19478065464792, 393.3726241875, 4.070224123771136, 5.881742821576647, 0.25533646544271354, 5.46875, 0, 4.072606132551461, 0.9482778346055758, 2.0870140625, 0.4995295690879405, 160.924721375, 3.8980797464363577, 4.998396875000001, 0.7175744994952508, 224.80068800000004, 1.5684020209073462
