N, N, MST_Cost, MST_Runtime, C16_MFC_Cost, C16_MFC_Runtime, C16_Gamma, C16_Cluster_Size_Mu, C16_Cluster_Size_Sigma, C16_Sub_Clustering_Runtime, C16_Completion_Edges_Runtime, C16_Completion_Runtime, C16_Clustering_Runtime, C32_MFC_Cost, C32_MFC_Runtime, C32_Gamma, C32_Cluster_Size_Mu, C32_Cluster_Size_Sigma, C32_Sub_Clustering_Runtime, C32_Completion_Edges_Runtime, C32_Completion_Runtime, C32_Clustering_Runtime, C64_MFC_Cost, C64_MFC_Runtime, C64_Gamma, C64_Cluster_Size_Mu, C64_Cluster_Size_Sigma, C64_Sub_Clustering_Runtime, C64_Completion_Edges_Runtime, C64_Completion_Runtime, C64_Clustering_Runtime, C128_MFC_Cost, C128_MFC_Runtime, C128_Gamma, C128_Cluster_Size_Mu, C128_Cluster_Size_Sigma, C128_Sub_Clustering_Runtime, C128_Completion_Edges_Runtime, C128_Completion_Runtime, C128_Clustering_Runtime, C256_MFC_Cost, C256_MFC_Runtime, C256_Gamma, C256_Cluster_Size_Mu, C256_Cluster_Size_Sigma, C256_Sub_Clustering_Runtime, C256_Completion_Edges_Runtime, C256_Completion_Runtime, C256_Clustering_Runtime
500, 500, 2562.670718193054, 23.124433, 2713.855450630188, 5.764169, 5.1851472972260835, 31.25, 15.22128443988877, 2.811397, 0.553197, 0.010019, 1.294305, 2733.8412346839905, 4.377812, 5.997984362642567, 15.625, 8.388049534903809, 0.518752, 1.221859, 0.044063, 2.571779, 2715.7222876548767, 8.470318, 5.410438724208975, 7.8125, 4.471699201645835, 0.251772, 2.820433, 0.237485, 5.130131, 2653.794874191284, 17.617475, 3.3157845183086145, 3.90625, 2.191736968137372, 0.113553, 6.052319, 1.148071, 10.260813, 2583.496673107147, 41.307058, 1.4969306835881409, 1.953125, 1.2646601260318917, 0.05865, 14.831626, 5.893712, 20.469028
500, 500, 2556.7518453598022, 23.128721, 2710.356578350067, 5.208087, 4.959891299890057, 31.25, 12.666392540893401, 2.501506, 0.56054, 0.009818, 1.2975, 2714.3759474754333, 4.383422, 4.727694589813473, 15.625, 8.045767520877048, 0.507992, 1.237408, 0.043702, 2.575425, 2700.8346614837646, 8.560628, 4.940781551510827, 7.8125, 4.653207898858593, 0.25638, 2.90921, 0.237785, 5.12928, 2643.456358909607, 17.59314, 3.048319501501515, 3.90625, 2.7398605689888673, 0.132919, 6.055595, 1.116251, 10.248911, 2582.3865694999695, 41.529835, 1.5365231788377511, 1.953125, 1.2397036881347898, 0.056576, 14.956451, 6.01567, 20.44866
500, 500, 2572.40554189682, 24.068712, 2714.970690727234, 3.115466, 5.2040374847311375, 31.25, 18.525320510047862, 1.213754, 0.57133, 0.01043, 1.300256, 2736.656087398529, 4.420703, 5.529794544458353, 15.625, 8.791864136802843, 0.540121, 1.237087, 0.044053, 2.580555, 2719.212320327759, 8.308696, 5.0575251959742, 7.8125, 4.5582171679287065, 0.251982, 2.670814, 0.212027, 5.149558, 2660.794143676758, 17.526916, 3.1143823677786737, 3.90625, 2.2094877092891916, 0.113783, 5.992407, 1.088068, 10.289076, 2593.5975732803345, 41.248278, 1.5253441357324014, 1.953125, 1.06697129032369, 0.051958, 14.702755, 5.897398, 20.541885
500, 500, 2568.647165775299, 23.105317, 2718.643111228943, 2.974653, 5.203541830291151, 31.25, 15.323592920721955, 1.086685, 0.558726, 0.010741, 1.295016, 2733.0906648635864, 4.386278, 5.446025214545128, 15.625, 9.303057293169811, 0.550812, 1.202694, 0.044032, 2.569905, 2719.802474975586, 8.290632, 4.841449158824891, 7.8125, 4.619506873033095, 0.251882, 2.646358, 0.232516, 5.130422, 2659.9304761886597, 17.504915, 3.085974584832618, 3.90625, 2.2024045807934565, 0.112992, 6.011112, 1.087858, 10.253119, 2589.955080509186, 41.245261, 1.506500451741941, 1.953125, 1.1582541752029216, 0.054292, 14.672829, 5.978931, 20.487142
500, 500, 2562.626378059387, 23.196688, 2704.89603471756, 2.978841, 5.015730589893074, 31.25, 15.493950432346168, 1.104589, 0.548498, 0.010159, 1.294515, 2732.130784511566, 4.354098, 6.158470185011717, 15.625, 8.241472865938466, 0.515145, 1.210428, 0.044954, 2.565176, 2710.9461464881897, 8.240628, 5.224145169729414, 7.8125, 4.516895366288663, 0.249898, 2.629857, 0.208231, 5.128368, 2646.9570989608765, 17.476001, 3.0610553719631532, 3.90625, 2.854375752682187, 0.136526, 5.94587, 1.098137, 10.252327, 2582.406984806061, 41.024117, 1.4692968315667114, 1.953125, 1.2800108336943872, 0.059121, 14.546021, 5.880818, 20.484657
500, 500, 2559.094578266144, 23.433592, 2673.5839614868164, 5.064829, 3.1885906714932277, 31.25, 39.55613100392909, 3.267873, 0.485359, 0.009017, 1.281882, 2694.9127168655396, 4.908787, 4.009240224954445, 15.625, 19.416085470557654, 1.157408, 1.13161, 0.044784, 2.55688, 2694.0857949256897, 8.376693, 4.282167882595286, 7.8125, 9.164938284025704, 0.502131, 2.521273, 0.21323, 5.115073, 2644.126033782959, 17.310481, 3.195970508929785, 3.90625, 2.96447059987108, 0.141405, 5.868424, 1.03565, 10.228553, 2581.581503868103, 40.867263, 1.586029775558551, 1.953125, 1.0922981435372854, 0.051968, 14.913831, 5.374208, 20.473186
500, 500, 2553.9828672409058, 23.444703, 2695.692726612091, 3.082455, 5.271821360842656, 31.25, 18.599395151455866, 1.208814, 0.550571, 0.01052, 1.294065, 2714.366015434265, 4.460386, 5.852238556916083, 15.625, 10.534912197071222, 0.602379, 1.224765, 0.044102, 2.570386, 2698.4851202964783, 8.313675, 5.025854112392122, 7.8125, 5.496803048136253, 0.286808, 2.662808, 0.211296, 5.128197, 2644.6103372573853, 17.477634, 3.391222956043878, 3.90625, 2.620345575968941, 0.12784, 5.974733, 1.087207, 10.246556, 2574.6081857681274, 41.310344, 1.6195739254022297, 1.953125, 1.2302145074640438, 0.056145, 14.744142, 5.958874, 20.499896
500, 500, 2556.24524641037, 23.405469, 2690.9796476364136, 3.12827, 3.969360033860323, 31.25, 20.09197601033806, 1.255963, 0.542206, 0.010319, 1.299525, 2710.318171977997, 4.491885, 5.3727423710114355, 15.625, 11.770593655376945, 0.654166, 1.203004, 0.043672, 2.570947, 2709.9247398376465, 8.482021, 5.079071047693086, 7.8125, 5.346947142996647, 0.279774, 2.835852, 0.208902, 5.131344, 2636.8823657035828, 17.370333, 2.862897831014557, 3.90625, 2.5293202520637834, 0.125104, 5.933546, 1.013348, 10.260042, 2583.6234169006348, 41.273915, 1.5865716180066551, 1.953125, 1.164979714147418, 0.054633, 14.673961, 6.008838, 20.479788
500, 500, 2573.1070518493652, 23.384781, 2708.349395275116, 3.006593, 4.414193168241611, 31.25, 16.626409714667805, 1.127833, 0.553788, 0.010068, 1.296859, 2730.076756477356, 4.343527, 5.554463499380005, 15.625, 7.884914393955079, 0.504646, 1.205889, 0.044063, 2.570756, 2713.0370469093323, 8.454138, 4.942972536733684, 7.8125, 4.653207898858593, 0.252643, 2.836934, 0.211256, 5.12931, 2660.618166446686, 17.343863, 3.103356140125836, 3.90625, 2.4540702796578584, 0.121307, 5.923488, 1.000584, 10.262156, 2594.3848628997803, 41.123314, 1.5449389774278308, 1.953125, 1.1100350149319616, 0.05303, 14.645999, 5.896356, 20.472936
500, 500, 2571.7034249305725, 23.191399, 2708.3058881759644, 3.057698, 4.366176599246055, 31.25, 18.21572123194687, 1.187665, 0.544921, 0.009378, 1.298002, 2732.83416557312, 4.369606, 5.279227996437074, 15.625, 8.81316486853616, 0.534411, 1.202022, 0.045425, 2.570345, 2718.808756828308, 8.26239, 5.12437576643394, 7.8125, 4.340488883754916, 0.250479, 2.644594, 0.210074, 5.133318, 2655.905337333679, 17.488133, 3.179604019015175, 3.90625, 2.4187984491271695, 0.120876, 5.932283, 1.006717, 10.39197, 2592.8594670295715, 41.278895, 1.6088682763728923, 1.953125, 1.1849273118529253, 0.055324, 14.595244, 5.948274, 20.6252
500, 500, 2555.568305015564, 23.706544, 2692.9748334884644, 3.05284, 4.599428519797479, 31.25, 18.38987493160299, 1.191502, 0.536325, 0.010139, 1.292542, 2715.9005918502808, 4.379555, 5.518544196881051, 15.625, 9.088969963642745, 0.545682, 1.199667, 0.043642, 2.571368, 2691.4815154075623, 8.356536, 4.932787065511682, 7.8125, 5.080215915687049, 0.268072, 2.712101, 0.213791, 5.138166, 2643.004048347473, 17.350997, 3.3649423450840144, 3.90625, 2.84340657266948, 0.135954, 5.918207, 1.004041, 10.257037, 2579.666325569153, 41.159501, 1.664478511807744, 1.953125, 1.3131508802780434, 0.058981, 14.663331, 5.889935, 20.490468
500, 500, 2567.781949520111, 23.083987, 2712.851836681366, 2.981246, 4.773148156770247, 31.25, 16.056540723331413, 1.109919, 0.542797, 0.010329, 1.298582, 2742.435255050659, 4.328629, 6.652726606831974, 15.625, 7.188315171164938, 0.484788, 1.204276, 0.044453, 2.573582, 2715.1966485977173, 8.270675, 4.681777081802159, 7.8125, 4.513434806220203, 0.251901, 2.644985, 0.213099, 5.131694, 2657.2623295783997, 17.359202, 3.4406773675114883, 3.90625, 2.1007346185322886, 0.112631, 5.933817, 1.010704, 10.258399, 2592.5624294281006, 41.168218, 1.489495019575161, 1.953125, 1.2077831901359615, 0.05895, 14.610132, 5.943865, 20.490408
500, 500, 2554.916088581085, 23.477264, 2691.0434231758118, 3.264226, 4.5695376896663085, 31.25, 23.442749412131676, 1.40896, 0.537968, 0.009428, 1.283394, 2723.783139705658, 4.445519, 6.105200073537868, 15.625, 10.61764451279096, 0.602669, 1.208344, 0.044333, 2.572419, 2704.8254680633545, 8.247672, 4.813390535056466, 7.8125, 4.092199133717713, 0.236112, 2.648021, 0.213089, 5.126003, 2644.6702089309692, 17.344475, 3.067253188763071, 3.90625, 2.544717260817005, 0.125736, 5.928146, 1.0087, 10.245054, 2580.4211320877075, 41.088609, 1.5268230217704883, 1.953125, 1.2677451377840105, 0.057948, 14.766786, 5.717742, 20.490348
500, 500, 2562.7795357704163, 23.349995, 2690.160198688507, 4.190321, 3.525187198518103, 31.25, 37.40738563439044, 2.392092, 0.482745, 0.008896, 1.281231, 2711.041301727295, 4.646475, 5.099844944223971, 15.625, 15.731636119615786, 0.893143, 1.134125, 0.043361, 2.557381, 2693.105071544647, 8.329405, 4.356378493031721, 7.8125, 7.849910429425294, 0.407474, 2.569624, 0.210014, 5.117397, 2648.349020957947, 17.295252, 3.2387520313123894, 3.90625, 3.2821427356987387, 0.154179, 5.857724, 0.991708, 10.255934, 2586.407654285431, 40.606565, 1.5140968067029394, 1.953125, 1.2677451377840105, 0.057898, 14.685093, 5.346867, 20.461825
500, 500, 2556.4241547584534, 21.76697, 2660.9535269737244, 5.99983, 2.66684834362332, 31.25, 55.61081279751268, 4.242088, 0.446967, 0.009438, 1.285047, 2689.911241054535, 5.770471, 3.50973276282699, 15.625, 28.39756811771036, 2.091419, 1.059675, 0.044684, 2.555818, 2691.8071069717407, 8.511045, 4.23935649192226, 7.8125, 11.551345971357623, 0.706704, 2.448117, 0.208911, 5.122497, 2639.4499773979187, 17.212246, 2.89234522734335, 3.90625, 4.1447208515773415, 0.205555, 5.74349, 0.991037, 10.234855, 2581.0405855178833, 39.682154, 1.5561023530322575, 1.953125, 1.1915023014560233, 0.056235, 14.003876, 5.122858, 20.450333
500, 500, 2568.7164463996887, 22.150178, 2701.088065624237, 2.91437, 5.081451135166152, 31.25, 13.836094102021711, 1.038155, 0.556733, 0.009598, 1.292813, 2714.581386566162, 4.381338, 5.21903437663331, 15.625, 8.788308995478026, 0.535062, 1.21202, 0.043051, 2.57276, 2701.412154197693, 8.253823, 4.820522367422292, 7.8125, 4.24218030616333, 0.23988, 2.636128, 0.211836, 5.140681, 2648.421947479248, 17.336149, 3.126440157149735, 3.90625, 2.363252195069329, 0.118752, 5.927956, 0.994413, 10.25874, 2595.5937190055847, 40.476441, 1.6088016175758253, 1.953125, 1.148091997348209, 0.054041, 14.211455, 5.690961, 20.471042
600, 600, 3051.2204489707947, 30.844315, 3217.831519126892, 4.042464, 4.693845991854933, 37.5, 23.094912859761994, 1.808799, 0.658063, 0.008897, 1.545526, 3259.409062385559, 5.380591, 5.971122165472813, 18.75, 11.313708498984761, 0.821159, 1.41459, 0.043361, 3.07968, 3247.571629524231, 9.863208, 5.763268613630992, 9.375, 5.197655721572947, 0.376245, 3.088196, 0.210675, 6.160962, 3175.5086002349854, 20.471582, 3.444657519156736, 4.6875, 3.0841074478688317, 0.194234, 6.900648, 1.005684, 12.329619, 3092.938045978546, 45.304317, 1.908024835325117, 2.34375, 1.6246994914444948, 0.089217, 16.017478, 4.571715, 24.572075
600, 600, 3062.5577969551086, 31.245597, 3225.592251777649, 3.996076, 5.010434933363077, 37.5, 22.073740054644116, 1.761951, 0.659466, 0.008726, 1.544113, 3259.3265380859375, 5.383727, 6.78484163077192, 18.75, 10.764525070805492, 0.801141, 1.440238, 0.044804, 3.076924, 3245.8417496681213, 9.895639, 5.583233153281137, 9.375, 5.789268088454706, 0.382887, 3.101231, 0.219912, 6.164138, 3183.0274081230164, 20.421639, 3.403624937036316, 4.6875, 3.2349410736518833, 0.191949, 6.870972, 1.007849, 12.310944, 3102.8553895950317, 45.344051, 1.9401241936383011, 2.34375, 1.8068338156842205, 0.098995, 16.089233, 4.535708, 24.566395
