N, GaussCount, PointsPerGauss, MST_Cost, MST_Runtime, C16_MFC_Cost, C16_MFC_Runtime, C16_Gamma, C16_Cluster_Size_Mu, C16_Cluster_Size_Sigma, C16_Sub_Clustering_Runtime, C16_Completion_Edges_Runtime, C16_Completion_Runtime, C16_Clustering_Runtime, C32_MFC_Cost, C32_MFC_Runtime, C32_Gamma, C32_Cluster_Size_Mu, C32_Cluster_Size_Sigma, C32_Sub_Clustering_Runtime, C32_Completion_Edges_Runtime, C32_Completion_Runtime, C32_Clustering_Runtime, C64_MFC_Cost, C64_MFC_Runtime, C64_Gamma, C64_Cluster_Size_Mu, C64_Cluster_Size_Sigma, C64_Sub_Clustering_Runtime, C64_Completion_Edges_Runtime, C64_Completion_Runtime, C64_Clustering_Runtime, C128_MFC_Cost, C128_MFC_Runtime, C128_Gamma, C128_Cluster_Size_Mu, C128_Cluster_Size_Sigma, C128_Sub_Clustering_Runtime, C128_Completion_Edges_Runtime, C128_Completion_Runtime, C128_Clustering_Runtime, C256_MFC_Cost, C256_MFC_Runtime, C256_Gamma, C256_Cluster_Size_Mu, C256_Cluster_Size_Sigma, C256_Sub_Clustering_Runtime, C256_Completion_Edges_Runtime, C256_Completion_Runtime, C256_Clustering_Runtime
20000, 8, 2500, 109110.76538515091, 48018.863344, 110017.07332706451, 3553.284717, 1.255655935366001, 1250, 840.0918848554603, 3473.529932, 22.738209, 0.009678, 50.325852, 111313.71208238602, 1967.256125, 1.790128211281544, 625, 535.7744978066798, 1813.320879, 48.227541, 0.056877, 101.265474, 112570.38324546814, 1325.726906, 2.5036564875314675, 312.5, 326.7392882712454, 1014.05997, 101.458315, 0.210324, 203.052965, 114070.759059906, 1133.63222, 3.6637065189659785, 156.25, 174.20915052028695, 509.992806, 211.592403, 1.002769, 406.096202, 115719.33488893509, 1471.308853, 5.682341581402259, 78.125, 79.80513376343654, 215.245397, 435.256202, 4.584529, 813.976386
20000, 8, 2500, 108584.21593236923, 48960.016939, 109535.68565940857, 3373.39107, 1.2822321913224384, 1250, 834.0771097446567, 3293.855957, 22.590502, 0.011301, 50.678683, 110662.43213033676, 2091.524012, 1.7410627974521005, 625, 572.8304177503146, 1934.547488, 47.473709, 0.046868, 102.494536, 111863.0210981369, 1553.457312, 2.3066021668318566, 312.5, 370.4428515304351, 1239.401131, 104.505924, 0.212769, 203.859166, 113310.95613574982, 1275.271621, 3.325399447838766, 156.25, 203.307494943005, 643.465176, 210.823193, 0.976068, 414.715149, 114771.30608320236, 1569.023454, 4.6845390573611665, 78.125, 103.46836775072853, 309.329647, 435.294112, 4.465646, 815.239063
20000, 8, 2500, 108622.64050912857, 62755.302922, 109777.30161905289, 3748.12623, 1.4024091378269279, 1250, 623.0308981101981, 3623.693333, 23.131245, 0.011762, 50.637226, 110911.3785147667, 1804.748889, 1.8928430627381436, 625, 471.5212084307555, 1651.229392, 48.823327, 0.04768, 101.295129, 112232.11749696732, 1173.347934, 2.766882168783793, 312.5, 276.1461343202182, 863.980146, 103.280699, 0.218339, 203.197205, 113711.23330497742, 1039.614024, 4.052381752494797, 156.25, 143.91609969006248, 408.019786, 213.497192, 0.998811, 414.540082, 115249.78769016266, 1447.700726, 5.809791613977861, 78.125, 72.39998489295422, 192.152684, 436.042404, 4.613875, 813.060321
20000, 8, 2500, 108898.96817398071, 59069.826923, 109943.40816020966, 6309.056863, 1.328861829372902, 1250, 739.5470742285443, 6115.21346, 22.26947, 0.01065, 50.650991, 110958.7936873436, 2293.380526, 1.7037818312418302, 625, 598.0278526122341, 2140.298729, 49.581818, 0.049192, 102.524081, 112154.28061532974, 1744.01049, 2.206983315547311, 312.5, 399.1710551254938, 1427.213274, 108.723887, 0.214161, 204.66756, 113558.01225423813, 1511.646353, 2.955056037159298, 156.25, 246.44281791117388, 894.494322, 206.382564, 1.011344, 406.248257, 115025.07403945923, 1732.296756, 4.02562277194294, 78.125, 136.6607627027597, 489.130672, 423.631994, 4.582365, 812.206542
20000, 8, 2500, 108860.9093465805, 59876.081264, 110011.76214075089, 5058.919267, 1.41800212943082, 1250, 570.1845096107048, 4784.625839, 22.066811, 0.01054, 51.28568, 111100.5788769722, 1829.99177, 1.8988707843825026, 625, 481.64970414192095, 1677.638237, 48.6804, 0.050594, 102.855844, 112286.90851068497, 1443.600754, 2.472451478115316, 312.5, 339.5991662975632, 1128.846985, 101.381741, 0.21873, 208.581393, 113704.23508882523, 1287.624584, 3.3774095278226715, 156.25, 200.5901449473528, 667.132987, 207.776364, 1.002499, 408.373048, 115271.48496246338, 1566.935724, 4.860265643167621, 78.125, 104.28229415869215, 312.26689, 428.54576, 4.573689, 818.535588
20000, 8, 2500, 108337.08792686462, 59991.395187, 109379.00330162048, 5227.069767, 1.3393703942913338, 1250, 723.1842780370713, 5143.784647, 21.922841, 0.011732, 53.729327, 110523.0590467453, 1887.109647, 1.8224166730576725, 625, 515.6412876215403, 1736.050658, 48.568349, 0.047669, 101.559664, 111656.20306825638, 1371.654969, 2.4381509996078563, 312.5, 337.11663411940975, 1062.455836, 102.214581, 0.217838, 203.570775, 113101.69803905487, 1163.752729, 3.5166305177870716, 156.25, 183.3269364414297, 536.703867, 209.801608, 1.009712, 413.547021, 114651.8068318367, 1509.60559, 5.092805020721537, 78.125, 88.1707771174781, 242.297387, 438.050827, 5.809113, 820.462298
20000, 8, 2500, 108007.56511092186, 61878.079896, 108840.0708296299, 5046.09897, 1.2383270343182957, 1250, 884.9210416754706, 4961.159923, 22.697893, 0.010951, 53.043123, 109995.67420649529, 2251.842287, 1.7131253435163714, 625, 584.4046650224483, 2098.90467, 49.058447, 0.048461, 101.256317, 111187.62663340569, 1448.320306, 2.3231147690181544, 312.5, 365.9831792582823, 1134.976699, 101.213336, 0.215033, 203.080808, 112662.78377580643, 1231.894317, 3.3922363723557187, 156.25, 199.4878207435231, 606.497991, 210.571781, 1.007387, 405.695833, 114233.18524837494, 1535.943913, 4.861422622339917, 78.125, 99.20972892060536, 279.18841, 433.817737, 5.885155, 814.711224
20000, 8, 2500, 107815.7887403965, 61854.353988, 108972.12759327888, 3945.295342, 1.4026344171078242, 1250, 608.2930009460902, 3858.360796, 23.374371, 0.012393, 54.246457, 110224.37185502052, 1577.533658, 2.0303033161348694, 625, 398.2531387195837, 1424.663787, 49.92442, 0.046006, 101.238002, 111565.14037919044, 1038.97161, 2.9712887296300945, 312.5, 235.51373367597907, 727.063061, 105.287008, 0.212108, 203.011828, 113015.20154547691, 984.329301, 4.393639118023203, 156.25, 125.56771081770982, 359.62373, 213.519684, 1.00902, 407.444959, 114532.57060670853, 1426.863708, 6.190067313868781, 78.125, 60.75546528914086, 162.099722, 439.177047, 4.58021, 818.163872
20000, 8, 2500, 108518.27358961105, 60177.074494, 109482.14723682404, 5519.182358, 1.290527522440786, 1250, 785.9964217475803, 5436.049004, 22.277346, 0.0161, 53.292459, 110472.31754589081, 2351.062519, 1.6384566002859986, 625, 623.3087617706011, 2196.740338, 48.745201, 0.046197, 102.067807, 111797.88686656952, 1590.428165, 2.2845352337542386, 312.5, 379.83680706324395, 1277.976768, 105.049623, 0.287699, 203.571767, 113260.19705057144, 1289.789409, 3.2985771736326397, 156.25, 209.1930179284194, 665.344436, 213.920505, 0.986859, 406.920928, 114923.78010177612, 1574.812159, 4.944971683949515, 78.125, 103.34030554435186, 308.578179, 444.17954, 4.533232, 814.706365
20000, 8, 2500, 108246.48593759537, 64608.191308, 109354.9122710228, 3344.384729, 1.389883914069593, 1250, 624.3084173707736, 3243.357351, 23.066063, 0.011551, 50.739477, 110505.81560945511, 1597.657639, 1.9517816357282087, 625, 427.0812276370855, 1442.776339, 50.524043, 0.047729, 101.145258, 111844.84690952301, 1096.72697, 2.7588810056973925, 312.5, 260.22136009559244, 781.738101, 107.547653, 0.216486, 203.477541, 113388.03666210175, 1005.764208, 4.175636624544734, 156.25, 133.05620288058728, 372.122785, 221.956831, 1.046441, 407.61638, 114823.32029771805, 1445.92081, 5.781714951411955, 78.125, 65.17362628011426, 170.77226, 454.580044, 4.886825, 814.813847
20000, 8, 2500, 109317.26091480255, 60278.847799, 110487.59325933456, 4615.928416, 1.4249291683989493, 1250, 568.2151881109831, 4538.480252, 22.677234, 0.011121, 50.563718, 111666.5223903656, 1538.022887, 1.9996936810590498, 625, 405.67998471701804, 1384.682264, 51.184971, 0.045626, 101.285482, 113008.22098493576, 1046.407691, 2.907497600095024, 312.5, 239.78238832324612, 727.718189, 107.648973, 0.245039, 207.15505, 114474.7367348671, 1013.16301, 4.207813763130074, 156.25, 124.6772082218719, 367.295332, 219.584817, 1.013188, 414.12287, 116050.0614862442, 1441.642324, 6.052626610110251, 78.125, 59.57886055473032, 158.045887, 451.400236, 4.684065, 817.038103
20000, 8, 2500, 109145.55641508102, 61910.24227, 110304.40215063095, 3677.873646, 1.3999019736631213, 1250, 618.038631478648, 3593.96003, 23.362868, 0.011772, 52.263622, 111476.57869577408, 1722.114811, 1.9544167441784293, 625, 441.6246285025327, 1568.665584, 49.568404, 0.046206, 101.358798, 112837.74396944046, 1058.36898, 2.8757427783392933, 312.5, 243.0973313304776, 747.765145, 103.39832, 0.218038, 203.739892, 114268.64496898651, 974.347592, 4.23139398666497, 156.25, 122.7883723118765, 343.761925, 218.414434, 1.244321, 408.05923, 115829.02772140503, 1427.285528, 6.072905125392595, 78.125, 60.6937754221963, 160.581027, 440.388056, 5.234596, 818.390246
20000, 8, 2500, 109131.88961744308, 61145.860085, 110175.05412054062, 4083.930716, 1.3439356545271397, 1250, 723.5637497829753, 3998.678742, 22.72812, 0.013135, 53.370917, 111216.533847332, 2240.440877, 1.732579569147362, 625, 594.213661068138, 2089.0138, 48.0774, 0.046357, 101.800435, 112388.284450531, 1648.510609, 2.3075710918536614, 312.5, 385.7921234291856, 1343.250955, 99.142176, 0.215854, 203.652299, 113866.4661898613, 1416.882028, 3.2580768854391904, 156.25, 226.33989926656767, 798.523668, 206.93085, 0.990957, 407.438908, 115253.91584587097, 1728.14609, 4.275282557669032, 78.125, 135.06662129297527, 475.8921, 424.785877, 5.513359, 819.242953
20000, 8, 2500, 108273.52759361267, 61709.291935, 109367.40613126755, 3919.919111, 1.377685760938268, 1250, 650.8063267977656, 3718.316183, 23.056164, 0.01578, 133.068063, 110444.70882225037, 1738.643917, 1.873000193702969, 625, 474.59548565067496, 1585.85681, 49.60939, 0.047659, 101.303315, 111697.37749195099, 1256.873063, 2.6023971262915055, 312.5, 303.13523178607926, 936.263804, 104.630167, 0.212839, 211.91675, 113242.19266033173, 1026.785941, 3.952620010972315, 156.25, 140.9709079030138, 401.88291, 214.378142, 1.011034, 407.230357, 114814.45137405396, 1451.704406, 5.62389118954353, 78.125, 69.5755547049393, 184.680777, 443.441827, 5.296503, 815.300598
20000, 8, 2500, 109925.61889886856, 65093.194287, 110869.10713338852, 3484.089556, 1.287174429095229, 1250, 801.3516706165901, 3375.472309, 22.08274, 0.013535, 53.410411, 111954.86654376984, 2446.287106, 1.6475637760494612, 625, 628.3500716161334, 2293.571043, 48.673025, 0.048261, 101.311119, 113164.9501748085, 1790.708747, 2.2020421666067724, 312.5, 408.4474797939143, 1480.665953, 101.243412, 0.215534, 203.057464, 114558.22553920746, 1550.41881, 3.025045947797766, 156.25, 244.7454034297682, 920.493489, 203.566557, 1.129356, 411.882112, 116174.64445066452, 1776.282029, 4.3968297891900106, 78.125, 128.04125311789167, 517.658056, 430.487658, 5.036957, 813.825404
