N_mu, N_sigma, N, MST_Cost_mu, MST_Cost_sigma, MST_Runtime_mu, MST_Runtime_sigma, C16_MFC_Cost_mu, C16_MFC_Cost_sigma, C16_MFC_Runtime_mu, C16_MFC_Runtime_sigma, C16_Gamma_mu, C16_Gamma_sigma, C16_Cluster_Size_Mu_mu, C16_Cluster_Size_Mu_sigma, C16_Cluster_Size_Sigma_mu, C16_Cluster_Size_Sigma_sigma, C16_Sub_Clustering_Runtime_mu, C16_Sub_Clustering_Runtime_sigma, C16_Completion_Edges_Runtime_mu, C16_Completion_Edges_Runtime_sigma, C16_Completion_Runtime_mu, C16_Completion_Runtime_sigma, C16_Clustering_Runtime_mu, C16_Clustering_Runtime_sigma, C32_MFC_Cost_mu, C32_MFC_Cost_sigma, C32_MFC_Runtime_mu, C32_MFC_Runtime_sigma, C32_Gamma_mu, C32_Gamma_sigma, C32_Cluster_Size_Mu_mu, C32_Cluster_Size_Mu_sigma, C32_Cluster_Size_Sigma_mu, C32_Cluster_Size_Sigma_sigma, C32_Sub_Clustering_Runtime_mu, C32_Sub_Clustering_Runtime_sigma, C32_Completion_Edges_Runtime_mu, C32_Completion_Edges_Runtime_sigma, C32_Completion_Runtime_mu, C32_Completion_Runtime_sigma, C32_Clustering_Runtime_mu, C32_Clustering_Runtime_sigma, C64_MFC_Cost_mu, C64_MFC_Cost_sigma, C64_MFC_Runtime_mu, C64_MFC_Runtime_sigma, C64_Gamma_mu, C64_Gamma_sigma, C64_Cluster_Size_Mu_mu, C64_Cluster_Size_Mu_sigma, C64_Cluster_Size_Sigma_mu, C64_Cluster_Size_Sigma_sigma, C64_Sub_Clustering_Runtime_mu, C64_Sub_Clustering_Runtime_sigma, C64_Completion_Edges_Runtime_mu, C64_Completion_Edges_Runtime_sigma, C64_Completion_Runtime_mu, C64_Completion_Runtime_sigma, C64_Clustering_Runtime_mu, C64_Clustering_Runtime_sigma, C128_MFC_Cost_mu, C128_MFC_Cost_sigma, C128_MFC_Runtime_mu, C128_MFC_Runtime_sigma, C128_Gamma_mu, C128_Gamma_sigma, C128_Cluster_Size_Mu_mu, C128_Cluster_Size_Mu_sigma, C128_Cluster_Size_Sigma_mu, C128_Cluster_Size_Sigma_sigma, C128_Sub_Clustering_Runtime_mu, C128_Sub_Clustering_Runtime_sigma, C128_Completion_Edges_Runtime_mu, C128_Completion_Edges_Runtime_sigma, C128_Completion_Runtime_mu, C128_Completion_Runtime_sigma, C128_Clustering_Runtime_mu, C128_Clustering_Runtime_sigma, C256_MFC_Cost_mu, C256_MFC_Cost_sigma, C256_MFC_Runtime_mu, C256_MFC_Runtime_sigma, C256_Gamma_mu, C256_Gamma_sigma, C256_Cluster_Size_Mu_mu, C256_Cluster_Size_Mu_sigma, C256_Cluster_Size_Sigma_mu, C256_Cluster_Size_Sigma_sigma, C256_Sub_Clustering_Runtime_mu, C256_Sub_Clustering_Runtime_sigma, C256_Completion_Edges_Runtime_mu, C256_Completion_Edges_Runtime_sigma, C256_Completion_Runtime_mu, C256_Completion_Runtime_sigma, C256_Clustering_Runtime_mu, C256_Clustering_Runtime_sigma
500, 0, 500, 153.27538651169743, 1.6647514540200803, 26.088144375, 1.5185627918352558, 167.30411436862778, 1.977717269084864, 3.9216095625000005, 2.412965832390374, 1.418203704921976, 0.03740596469228309, 31.25, 0, 18.316096114945154, 2.6993051157827774, 3.788267625, 2.426352108754953, 0.035391874999999996, 0.010451362099476556, 0.0110876875, 0.003286393173350345, 0.07211449999999998, 0.026009548402942333, 172.11028621543664, 2.1572320763690924, 0.48168568750000007, 0.12464322294188258, 1.6106884311493543, 0.07130254037411678, 15.625, 0, 8.325550137140771, 1.065097959793028, 0.2359419375, 0.06672526301790495, 0.07847868749999999, 0.020322731852899203, 0.04421412499999999, 0.0016636861511039277, 0.10855218749999998, 0.033674373127459155, 170.64917823148426, 1.9125603608466426, 0.7068657499999998, 0.14050096604360948, 1.584087470995747, 0.05934483754172196, 7.8125, 0, 4.005317659247744, 0.40069370910730623, 0.08937318749999999, 0.005106470726181024, 0.1522564375, 0.005253632540546944, 0.2783576875, 0.14140081627757614, 0.1662370625, 0.002943676113058935, 163.99701993714552, 2.009759001554405, 2.2069703124999998, 0.1494258996035823, 1.3404017857659583, 0.047514774933750295, 3.90625, 0, 2.1055837139039677, 0.1903780088202829, 0.046849125, 0.0023573964419195603, 0.50194675, 0.10086735194768177, 1.3087066875, 0.11065001726542947, 0.30935606250000003, 0.003113330541171908, 156.4657012828393, 1.7868674132657036, 9.099169499999999, 0.25332547970348335, 1.040334871331957, 0.014229238026616062, 1.953125, 0, 1.0507186749836168, 0.04681279649489276, 0.027770874999999993, 0.001318248453204099, 1.9016156250000003, 0.3501781760966257, 6.4849901249999995, 0.1830695265172071, 0.58916925, 0.004929368969503078
600, 0, 600, 176.63730965112336, 1.8243658817847994, 23.053709249999997, 1.1696864500444928, 192.42644169484265, 2.1943791258577074, 1.1151768125000001, 0.5785636628125097, 1.4246655617128108, 0.02361270606840751, 37.5, 0, 22.99151230337619, 5.687133461041801, 0.986294625, 0.5824976851965674, 0.0357, 0.0011833656979142171, 0.009010125, 0.0003103012397252061, 0.07207300000000001, 0.016514226317784313, 197.18323755590245, 2.466950359247751, 0.5490286249999999, 0.021303269789738278, 1.5732055885891478, 0.05778998589944109, 18.75, 0, 9.80672830831813, 1.2215328021923213, 0.29980993750000007, 0.022789179327777336, 0.081092625, 0.0010458397269060883, 0.043626125, 0.0004372717797605966, 0.11119975000000001, 0.0033856458301925203, 197.9115587209817, 2.8658288293637635, 0.7400965625, 0.007810151622797958, 1.618198614899601, 0.04381148304355115, 9.375, 0, 4.925062058086528, 0.40458076943483606, 0.13238175, 0.006199968744880896, 0.1761895, 0.001472803958441177, 0.21110731249999995, 0.0016269136316485122, 0.19985818749999998, 0.004543489988691924, 191.65742604946718, 2.789306002575459, 1.8524786249999998, 0.009603219739200735, 1.4363988904836427, 0.04431206194541107, 4.6875, 0, 2.461592883090083, 0.12935359647205508, 0.0645546875, 0.0016260087914410986, 0.3841004375, 0.003120218100725289, 0.99914125, 0.00872604844345367, 0.37205831250000004, 0.005540881120349343, 182.00672135292552, 1.7295862604287915, 6.233900312499999, 0.042876479718953656, 1.084560713340363, 0.02162719569322124, 2.34375, 0, 1.2795071260214272, 0.07036588811624311, 0.0379641875, 0.0008881061464395735, 0.8898801875, 0.007233084181546885, 4.5546365625, 0.04040547778452929, 0.7036678124999999, 0.0033840325282632616
700, 0, 700, 196.37836215365678, 2.2850142397482993, 26.471737124999997, 0.5117547111750504, 212.83237377926707, 2.5861639926671347, 1.2565410625, 0.16614546378567968, 1.3927298683383749, 0.03724697840657003, 43.75, 0, 27.13219066378489, 5.45010135539004, 1.1203045624999999, 0.16874339152281223, 0.041389937499999994, 0.0014985121566386272, 0.009303, 0.0006127091479650031, 0.0729423125, 0.005531449976257921, 219.60924245673232, 3.4786200778255534, 0.7061905, 0.020679044565090517, 1.5797828313971658, 0.04844432273932421, 21.875, 0, 11.458704044785968, 0.842508376222866, 0.42182206250000004, 0.02065261778040725, 0.095159875, 0.004050492483559869, 0.0436375625, 0.0004312451403711696, 0.131245125, 0.006756722429134928, 221.41462510917336, 2.9988239687540035, 0.8447281874999999, 0.00756747899087562, 1.6648798252651604, 0.05279412788716599, 10.9375, 0, 5.314827260459213, 0.2589677904288968, 0.17588756250000004, 0.004425317007977364, 0.2034155, 0.001201189254447443, 0.21104987499999997, 0.0026292128545203413, 0.23268268750000004, 0.005625144006142757, 216.0323420013301, 2.8537709154300788, 1.9910695, 0.010606989488068744, 1.5238724898956093, 0.06756538073159797, 5.46875, 0, 2.798721442285581, 0.14714100716971382, 0.0862435, 0.0027377473175952526, 0.4416403750000001, 0.0026161391609344827, 0.9937743125, 0.007857742453455961, 0.4342861249999999, 0.005372058228405105, 204.44168160296977, 2.0353391414446946, 6.507906187500001, 0.03578308039985307, 1.1577335687610626, 0.02279435723833683, 2.734375, 0, 1.501643727861975, 0.05132712682189271, 0.050968374999999996, 0.004749175479425349, 1.0012589375, 0.00840276746426997, 4.5716813125, 0.031977499684775874, 0.8302960000000001, 0.011103778838755752
800, 0, 800, 216.82643854396883, 1.9600430245086333, 48.051786812500005, 2.3052958676623057, 234.12310067086946, 2.1262239374421976, 1.7882090000000002, 0.21622575427750276, 1.3707057567042698, 0.031103551033948008, 50, 0, 32.825289441109334, 4.577499110583919, 1.6120236874999996, 0.20138672155914314, 0.046841562499999996, 0.002084048912836201, 0.009623, 0.0006108836836910934, 0.10389287500000001, 0.03152233121708125, 240.97854234918486, 2.4913884703007003, 0.8947506875000001, 0.040217369383014644, 1.5466363586327199, 0.030516800097125596, 25, 0, 13.714458974005801, 1.4920171079152593, 0.5824223750000002, 0.0424144083344254, 0.1058181875, 0.0012089182260780706, 0.04348074999999999, 0.0005867159129425416, 0.1477901875, 0.003772110089504775, 244.28168300783727, 3.018024231435373, 0.9719371875, 0.012138091701430832, 1.6574929301578565, 0.04406908711170748, 12.5, 0, 6.4126207917365035, 0.6022205421510398, 0.24204412499999994, 0.012098308243691552, 0.23063212500000002, 0.0018663561381405745, 0.21203774999999997, 0.003075823517775358, 0.26421750000000005, 0.003945611692120756, 239.35183574690018, 2.528530924680005, 2.145908875, 0.007111724104208195, 1.537757082048032, 0.052247003314037616, 6.25, 0, 3.232098150316658, 0.2774509807509035, 0.11396274999999999, 0.004632405685764147, 0.5000336875, 0.003795617599922797, 1.0013355000000002, 0.006623912127662932, 0.4933330625, 0.003968316999509215, 227.71181899413932, 1.7852675903282669, 6.7083674375, 0.036186680272181575, 1.2124196222936765, 0.024287250136695984, 3.125, 0, 1.7135621147365514, 0.07482920679519574, 0.063376875, 0.0029764782435581475, 1.1136764375000001, 0.0062396770145652525, 4.5385276875, 0.03462864869352901, 0.9374970625, 0.0055007765073300015
900, 0, 900, 236.16045311104972, 1.908800672061456, 44.28965975, 1.2918833717519498, 254.7185464418726, 2.524770995941616, 2.2787493125, 0.30525074198286545, 1.3628618754613417, 0.022870209172376983, 56.25, 0, 38.375831735657925, 6.745269720068283, 2.10698075, 0.3058265602718108, 0.05412581250000001, 0.007547698599728514, 0.009797624999999999, 0.0008991345752305381, 0.093016375, 0.007344250539324962, 262.26966873847414, 2.4482546883328915, 1.0823516875, 0.04424407315211658, 1.534947039794104, 0.040211395275008076, 28.125, 0, 14.804302709579286, 1.4592793711772414, 0.736754625, 0.0454521662119571, 0.1193053125, 0.0037680972273607463, 0.0437769375, 0.0005516989066454182, 0.16622762500000002, 0.007172461753775687, 266.1182187778177, 2.2118579814821206, 1.095719, 0.014033348446646653, 1.6505171440516841, 0.0373485941013083, 14.0625, 0, 6.937904458739183, 0.6298664314018974, 0.3050615625, 0.013189010519978128, 0.2575800625, 0.0019631253611508736, 0.210396, 0.0012162814230267602, 0.29881093749999993, 0.007199947391029585, 262.7369888132671, 2.7162406638808645, 2.3028510625, 0.04442972367327522, 1.5643787926537445, 0.03721746974291916, 7.03125, 0, 3.5284305426581977, 0.19360421776598233, 0.1413953125, 0.00390679580536835, 0.5688869375, 0.04613842770466495, 0.998840125, 0.010249782710349282, 0.5553943124999999, 0.006977411722110423, 250.63810175273102, 2.4320953629313045, 6.974527249999999, 0.03169084705893022, 1.280121896247561, 0.02405081157233641, 3.515625, 0, 1.8451291874586295, 0.07680281383684932, 0.0751256875, 0.002186455113841525, 1.2279179374999998, 0.002608044129916842, 4.559091375, 0.030469071227793777, 1.0535556875, 0.006854264609704215
1000, 0, 1000, 255.64442412438802, 2.186590595908392, 62.8540825, 0.6223354394665314, 275.5497577432543, 2.2308534422189052, 2.8250508125000002, 0.3966867539120475, 1.3592290986556057, 0.026282137800557593, 62.5, 0, 41.899419088557934, 8.381597702191803, 2.635942750000001, 0.3934762716012079, 0.0585353125, 0.0017877091737314966, 0.0094714375, 0.0004984153600098518, 0.104956625, 0.005721828465130266, 282.7128004473634, 2.640191408416846, 1.3027040625000001, 0.0516106819847751, 1.5144499416336052, 0.041072678879738554, 31.25, 0, 16.266543503803877, 1.5603585129244681, 0.9245376875000001, 0.05219157477591421, 0.131141375, 0.0009915465744860417, 0.043827750000000006, 0.0004874487793604569, 0.18594256250000002, 0.005996613366817452, 287.4561775960028, 3.0436367888171367, 1.2409042499999998, 0.024738369142134235, 1.6294640397448223, 0.03903861042497482, 15.625, 0, 7.741588872283814, 0.6842458312123132, 0.3853726250000001, 0.01954420156937538, 0.2860206875000001, 0.0027754323248538612, 0.21148118749999997, 0.0037498628011360313, 0.33335325000000005, 0.00617149050574495, 286.0223987454083, 2.52270392388707, 2.4457759375, 0.013945441932172512, 1.6364214142111413, 0.04518556880071352, 7.8125, 0, 3.9099716930839765, 0.210125222860138, 0.1763126875, 0.004209204032812349, 0.6154078750000002, 0.004939590011769709, 0.9939414999999998, 0.010241034023720447, 0.6205011249999999, 0.007309519160613431, 272.8810435179621, 3.2891591905554884, 7.2522229375, 0.03967610409218121, 1.3303531235459822, 0.030896110095911023, 3.90625, 0, 2.0506693317360702, 0.11621227076835833, 0.0917825625, 0.003219440284598203, 1.3542991250000003, 0.005217934347936465, 4.5740935625, 0.04123859953667312, 1.172129625, 0.008102246493064458
1100, 0, 1100, 274.58889985166024, 1.8645584633307095, 92.14185724999999, 7.352876903203581, 294.71582152473275, 2.611335047066503, 3.3197029375, 0.3444639783251053, 1.3460014033574212, 0.027599951963113815, 68.75, 0, 44.3182978449183, 6.300871061139859, 3.1176349999999995, 0.3446883881422828, 0.06298374999999999, 0.0016870875607092833, 0.0096723125, 0.0007134439990943578, 0.11182006249999998, 0.004880671232893458, 302.24597428238485, 2.416175065741991, 1.5666126875000006, 0.06783533979121681, 1.4888512280848931, 0.04095871702404831, 34.375, 0, 18.345022735130645, 1.7486557973311583, 1.1578749375, 0.06844337438392846, 0.144388625, 0.0033944883427955686, 0.04387918749999999, 0.0007563174117682002, 0.202053, 0.0064501486320084145, 308.98394854099024, 2.6944052485972567, 1.3929070625, 0.01868426976920944, 1.6318441132299848, 0.04533875417547851, 17.1875, 0, 8.677780550158404, 0.6318621078150837, 0.479972375, 0.02006566677771698, 0.3122105625, 0.003076613173782788, 0.2125299375, 0.0035469550580171905, 0.36261556250000004, 0.004605640373074495, 308.4991156255128, 2.3311284969216923, 2.6151514375, 0.011390736636455711, 1.6525906230974403, 0.04506527216234791, 8.59375, 0, 4.301091346787367, 0.18652858786477783, 0.21390012500000002, 0.004841714441638933, 0.6761266875, 0.006866770062397888, 1.006047875, 0.008562631669608089, 0.67831075, 0.005309297452347165, 296.3573474540608, 2.6754501373258748, 7.503577874999999, 0.03445877839331185, 1.413135844511725, 0.029609765529349172, 4.296875, 0, 2.2172816321704647, 0.0693162445930226, 0.10867825, 0.0026781756033725647, 1.48394025, 0.014811227799797707, 4.563627437500001, 0.030572768612297786, 1.285749875, 0.00488777284244827
1200, 0, 1200, 292.1270404958632, 2.733435361088346, 81.82349206250001, 2.0449804949665618, 312.73789870762266, 3.060847809433973, 4.5183440625, 0.6047613367661524, 1.3187489099249101, 0.03323601545235377, 75, 0, 55.94966679055111, 8.433217714864345, 4.2945101875, 0.6004702099797729, 0.06937893749999999, 0.0025275122024618897, 0.009696875, 0.0006091868427461315, 0.1250378125, 0.006766835783979374, 320.9277507679071, 2.821662311454643, 1.8748248124999998, 0.09003051289161552, 1.4761908931230898, 0.023201330164676008, 37.5, 0, 20.564800500397876, 1.9771931819716564, 1.431801, 0.0912860298991582, 0.156883375, 0.0013087040285622278, 0.0435591875, 0.0007928472597819526, 0.22282356249999996, 0.006539447845276674, 327.29806341743097, 3.0226018200171665, 1.5530900625, 0.01916968069135722, 1.6053135953570086, 0.03171214492144773, 18.75, 0, 9.189211234305501, 0.6122116801512087, 0.572269625, 0.019351031509570096, 0.34128812500000005, 0.002966128260776154, 0.21297531249999999, 0.004855485528229259, 0.3997599999999999, 0.005941834438959068, 328.4158403442707, 3.445230215749004, 2.768135, 0.01537158570219739, 1.6427175220180752, 0.04927058394498949, 9.375, 0, 4.615733216196706, 0.30247520873356654, 0.2558505625, 0.0084479125377867, 0.7315662500000001, 0.0032536512278515638, 0.9956560625, 0.010031651356262024, 0.742776625, 0.005739011466217432, 316.562090548221, 3.1173762322412193, 7.8134821875, 0.05294914735411074, 1.4238636320359064, 0.02980887870033763, 4.6875, 0, 2.38632033561723, 0.09533381912873938, 0.126666, 0.002909115307958763, 1.6024481875, 0.0077567135696984466, 4.608325499999999, 0.04816899253280073, 1.4112370625, 0.007640064900483077
1300, 0, 1300, 309.82886942930054, 1.5168346490937519, 112.75351693750001, 0.9598157578105473, 331.6983702502912, 2.1854442517492374, 5.5291563125000005, 0.6280231691343798, 1.325442019472153, 0.019277293391520137, 81.25, 0, 62.27774058173745, 7.435045597292086, 5.2820466875, 0.6233552946961427, 0.07565425, 0.0027609404987250286, 0.010586625, 0.0037693757088376047, 0.13879512500000002, 0.008042306812064248, 340.38977558596525, 2.0314134743673913, 2.1597330625000004, 0.07705880714953087, 1.4741997533669207, 0.016464797035961657, 40.625, 0, 21.578494437951253, 1.6821163132515329, 1.6773025, 0.08025975068332819, 0.1725964375, 0.003942441295833556, 0.043734875, 0.0005137732811026678, 0.24513931250000004, 0.007858266886842406, 346.9257292273687, 2.4395822082206973, 1.7300620000000002, 0.0359832327046223, 1.6012992488409865, 0.04476442110178156, 20.3125, 0, 9.99675268740512, 0.9166931503281253, 0.6837153125000001, 0.03320496259920861, 0.36835518749999996, 0.0018996574105200508, 0.2115144375, 0.005045368680393313, 0.4383105, 0.009222180334660563, 349.8206238775747, 3.197212662165579, 2.9378614375, 0.014417778283116087, 1.6897441264698618, 0.03582749749439519, 10.15625, 0, 4.808542826400534, 0.306163680360637, 0.297887375, 0.009530238106121748, 0.7904783749999998, 0.005420711102740578, 0.9970266875, 0.011264223667871831, 0.8093926875, 0.008216344417674062, 337.852674477268, 2.3244331070898245, 8.0921591875, 0.04609599322503381, 1.4726891101506474, 0.03872249608625992, 5.078125, 0, 2.5170667268641718, 0.1399989353112533, 0.14665275, 0.003898810659996202, 1.7263120625, 0.005448664738593642, 4.6241114375, 0.04575038631663218, 1.5265010625000002, 0.008036696899758854
1400, 0, 1400, 327.0115341498167, 2.3950693371824316, 129.54189812500002, 0.8704743135243059, 350.09347609622637, 3.054522642758027, 5.980547875, 0.8703105363344364, 1.322439569202491, 0.03224282388221077, 87.5, 0, 60.14290615269851, 10.480020968857833, 5.71603425, 0.8640923867194048, 0.08194856249999999, 0.0026849994638907747, 0.00972375, 0.0007491881856382947, 0.14788375, 0.007035505441153461, 358.34893631219165, 2.4117112676695878, 2.4834861249999998, 0.0774760621279849, 1.4675389036339688, 0.024197232057156275, 43.75, 0, 23.198540270651907, 1.5735840654193929, 1.9721698125, 0.07901273182549343, 0.184325875, 0.00314357383949781, 0.043799500000000005, 0.0008917842367972194, 0.2601938125, 0.007091099775587978, 365.3636652313289, 2.461819518921236, 1.9093353750000004, 0.02466387393252275, 1.582894056164427, 0.031749007134969386, 21.875, 0, 10.726915834499751, 0.6447468918564031, 0.8019116249999999, 0.025761487197158775, 0.3974433125, 0.0031848347625652008, 0.21127643750000002, 0.0028074977508617443, 0.46867181249999995, 0.007501786972271594, 368.7587719113217, 2.1890222765325325, 3.1223805000000007, 0.011970754785100271, 1.6613702834085888, 0.02536752255940414, 10.9375, 0, 5.315599348786521, 0.32365896508564, 0.35312206249999994, 0.010224383199420577, 0.854990625, 0.006298807117968843, 0.9989108125000001, 0.011464888770823016, 0.8712949375, 0.008101657897220414, 357.73246694082627, 3.191051031733399, 8.3861548125, 0.04733086898000449, 1.4992846795240136, 0.03379044950651023, 5.46875, 0, 2.7441598471420536, 0.12246178825780614, 0.1725858125, 0.005175613553226686, 1.8608669374999998, 0.010269896527404449, 4.636217562499999, 0.03973829340505313, 1.6460433125, 0.007905081259218285
