N, N, MST_Cost, MST_Runtime, C16_MFC_Cost, C16_MFC_Runtime, C16_Gamma, C16_Cluster_Size_Mu, C16_Cluster_Size_Sigma, C16_Sub_Clustering_Runtime, C16_Completion_Edges_Runtime, C16_Completion_Runtime, C16_Clustering_Runtime, C32_MFC_Cost, C32_MFC_Runtime, C32_Gamma, C32_Cluster_Size_Mu, C32_Cluster_Size_Sigma, C32_Sub_Clustering_Runtime, C32_Completion_Edges_Runtime, C32_Completion_Runtime, C32_Clustering_Runtime, C64_MFC_Cost, C64_MFC_Runtime, C64_Gamma, C64_Cluster_Size_Mu, C64_Cluster_Size_Sigma, C64_Sub_Clustering_Runtime, C64_Completion_Edges_Runtime, C64_Completion_Runtime, C64_Clustering_Runtime, C128_MFC_Cost, C128_MFC_Runtime, C128_Gamma, C128_Cluster_Size_Mu, C128_Cluster_Size_Sigma, C128_Sub_Clustering_Runtime, C128_Completion_Edges_Runtime, C128_Completion_Runtime, C128_Clustering_Runtime, C256_MFC_Cost, C256_MFC_Runtime, C256_Gamma, C256_Cluster_Size_Mu, C256_Cluster_Size_Sigma, C256_Sub_Clustering_Runtime, C256_Completion_Edges_Runtime, C256_Completion_Runtime, C256_Clustering_Runtime
500, 500, 155.5093613192439, 24.300596, 169.60159499198198, 7.134927, 1.4324615797953912, 31.25, 23.01222501193659, 7.025452, 0.030617, 0.009408, 0.058149, 173.65105808526278, 0.46437, 1.5905558853279709, 15.625, 10.623529309979805, 0.241362, 0.068869, 0.045275, 0.097002, 171.02334966510534, 0.657663, 1.539970588822319, 7.8125, 4.626266718424263, 0.097022, 0.151003, 0.220634, 0.170149, 166.23568921536207, 2.347899, 1.3555404655277146, 3.90625, 2.005607373715005, 0.045606, 0.573014, 1.38248, 0.312155, 157.76873547583818, 9.126658, 1.0426860789545471, 1.953125, 1.06697129032369, 0.027201, 1.832343, 6.599003, 0.593161
500, 500, 149.9716343358159, 24.67097, 163.60133757442236, 6.585628, 1.4361892738568693, 31.25, 15.658464164789597, 6.478667, 0.030617, 0.008917, 0.055975, 167.72043595463037, 0.409678, 1.5808852684304522, 15.625, 7.279036680770334, 0.188102, 0.06932, 0.043342, 0.096831, 166.94644439965487, 0.684924, 1.549384852540161, 7.8125, 3.600672680208519, 0.084338, 0.156543, 0.252073, 0.170028, 159.57933156192303, 2.361474, 1.3044437712946269, 3.90625, 2.0365315950163896, 0.045886, 0.513642, 1.453253, 0.313628, 152.4736492857337, 9.39928, 1.0411429186312815, 1.953125, 1.0144223648830895, 0.027301, 2.468204, 6.092134, 0.592279
500, 500, 152.17121180519462, 25.77038, 166.75119454041123, 5.378727, 1.468019592555358, 31.25, 18.026022855860358, 5.272928, 0.030598, 0.008996, 0.053881, 175.74039394035935, 0.406892, 1.793789279322644, 15.625, 7.368641326594748, 0.18686, 0.068718, 0.045114, 0.094667, 169.83367900922894, 0.660227, 1.5560655086441362, 7.8125, 3.6609211614018675, 0.084118, 0.148809, 0.239518, 0.168596, 162.23624941334128, 2.291353, 1.3275395349875978, 3.90625, 1.7474870350019769, 0.04266, 0.4534, 1.451759, 0.309279, 155.4388726837933, 9.346019, 1.0267313862636813, 1.953125, 1.0220947775891431, 0.02697, 1.765939, 6.687639, 0.590917
500, 500, 154.0800085105002, 24.754025, 168.8200726993382, 6.332143, 1.45242755000168, 31.25, 16.31908392036759, 6.229009, 0.030026, 0.009437, 0.050815, 173.17250187695026, 0.409167, 1.53724577209538, 15.625, 8.018533219984812, 0.198372, 0.066955, 0.04299, 0.088516, 170.91554382815957, 0.670716, 1.5362161292100005, 7.8125, 3.8522517765587443, 0.087634, 0.159949, 0.235201, 0.162605, 163.7523325867951, 2.34841, 1.3375351767289843, 3.90625, 1.96229099205495, 0.045075, 0.55459, 1.410783, 0.30418, 157.1806375272572, 9.319199, 1.0218845557989022, 1.953125, 0.9384110156935499, 0.02654, 2.427147, 6.214884, 0.585146
500, 500, 154.6147823780775, 23.530844, 168.72808391600847, 7.560685, 1.3938663452748024, 31.25, 18.440783605910028, 7.455478, 0.029565, 0.008717, 0.048701, 172.44579115509987, 0.431248, 1.53486959461225, 15.625, 9.45631402820359, 0.219041, 0.067206, 0.043872, 0.088055, 173.2180127799511, 0.648755, 1.6721679458574277, 7.8125, 3.8400642898264086, 0.087895, 0.146835, 0.231043, 0.162815, 164.30873488634825, 2.34825, 1.3379646242732945, 3.90625, 2.0441895551782863, 0.047148, 0.594644, 1.361791, 0.305953, 157.75847490131855, 9.043753, 1.0263841898685722, 1.953125, 1.0596238645741234, 0.027842, 1.839296, 6.528601, 0.584535
500, 500, 154.84416672587395, 27.497235, 167.26600252091885, 3.128341, 1.4257803382814516, 31.25, 14.863966496194749, 2.977008, 0.061305, 0.018926, 0.053921, 170.66362109780312, 0.770604, 1.6051412053219967, 15.625, 6.599005606907756, 0.369693, 0.128441, 0.044052, 0.193463, 173.05909791588783, 0.679894, 1.6892139693299921, 7.8125, 3.9877742852373177, 0.09093, 0.155421, 0.237505, 0.166472, 166.08039113879204, 2.300149, 1.3557009997175755, 3.90625, 2.0669932117692116, 0.048431, 0.715881, 1.162618, 0.30935, 157.72815668582916, 8.953344, 1.0221490854753663, 1.953125, 1.0182657975081948, 0.032471, 1.783632, 6.481943, 0.585677
500, 500, 153.95020469278097, 26.600635, 169.19746519625187, 4.069234, 1.435629803551951, 31.25, 20.3914810644053, 3.883425, 0.039264, 0.011021, 0.115547, 176.21404198557138, 0.518261, 1.7495786705191663, 15.625, 8.524780055813757, 0.255789, 0.087053, 0.043792, 0.116979, 170.23368154466152, 0.65124, 1.588950010316206, 7.8125, 4.182833220438032, 0.091352, 0.149981, 0.223368, 0.167634, 161.06244575232267, 2.300109, 1.2804083936479616, 3.90625, 2.6529391130404782, 0.0534, 0.584986, 1.303011, 0.310061, 156.66364230960608, 9.089169, 1.0213758326466698, 1.953125, 1.1029744939820685, 0.027461, 1.959661, 6.448241, 0.589995
500, 500, 152.8251863308251, 25.950598, 166.65755892172456, 4.33959, 1.4249079345201396, 31.25, 13.631305880215585, 4.135127, 0.062317, 0.020198, 0.104737, 171.89492400363088, 0.824675, 1.5797470365917101, 15.625, 8.83441424204231, 0.432881, 0.131055, 0.044564, 0.194395, 170.0994434095919, 0.684873, 1.560261076809675, 7.8125, 3.9956030521061523, 0.087023, 0.167734, 0.241903, 0.166151, 165.15636264160275, 2.255455, 1.3829878444543626, 3.90625, 2.191736968137372, 0.047379, 0.591278, 1.23874, 0.308819, 156.88714185729623, 9.052349, 1.0680481526920236, 1.953125, 1.0922981435372854, 0.027732, 1.947369, 6.366788, 0.589915
500, 500, 151.08800465613604, 24.387168, 166.05060332268476, 5.669001, 1.4142736247442111, 31.25, 22.114757516192665, 5.568652, 0.029987, 0.009558, 0.049512, 170.16536965221167, 0.444643, 1.5520289522935184, 15.625, 10.030422473654836, 0.231053, 0.068298, 0.044374, 0.088546, 169.7162943854928, 0.650719, 1.5902172105727788, 7.8125, 4.879405061070458, 0.099978, 0.148548, 0.220884, 0.162214, 164.08087464421988, 2.144477, 1.2589476885764106, 3.90625, 2.3097534365165475, 0.04815, 0.409678, 1.346382, 0.305513, 154.76160898059607, 9.653566, 1.0365782117408946, 1.953125, 1.1100350149319616, 0.028073, 2.677937, 6.305493, 0.581038
500, 500, 151.27253890037537, 28.521514, 162.26846624910831, 1.38249, 1.336298094346463, 31.25, 20.379217354942757, 1.210739, 0.029796, 0.009988, 0.11248, 170.3650719821453, 0.417602, 1.6353583709557993, 15.625, 8.11922871952749, 0.200205, 0.070362, 0.04274, 0.092533, 168.72323939204216, 0.636102, 1.587481203588499, 7.8125, 3.8603553916705646, 0.087083, 0.153588, 0.211015, 0.16566, 161.88404566049576, 2.192758, 1.3110769606875412, 3.90625, 2.001708254841349, 0.044654, 0.446617, 1.353736, 0.311123, 154.24282264709473, 9.124434, 1.0384222951390407, 1.953125, 1.0334966058846058, 0.027311, 1.8044, 6.653886, 0.585497
500, 500, 156.7145710363984, 25.006348, 169.47749385982752, 5.115624, 1.3257500439773502, 31.25, 21.515982431671578, 4.976362, 0.039894, 0.011392, 0.074089, 174.2731061205268, 0.515726, 1.578823410825677, 15.625, 7.577722283113838, 0.24018, 0.086912, 0.050014, 0.123702, 174.19452036172152, 0.653264, 1.6560487624957714, 7.8125, 3.999511688944039, 0.089077, 0.149059, 0.223839, 0.171982, 167.86384527385235, 2.331808, 1.4423427926122236, 3.90625, 2.0783012143334756, 0.045205, 0.603471, 1.322838, 0.316123, 160.70795234292746, 9.030728, 1.0454920122453413, 1.953125, 1.1412669426453217, 0.028564, 2.010266, 6.268183, 0.596368
